matchday,date,time,home_team,away_team,result,status
1,11/09/2020,13:45,Eintracht Braunschweig,Hertha BSC,5-4,Final
1,11/09/2020,13:45,Havelse,FSV Mainz 05,1-5,Final
1,12/09/2020,08:30,1. FC Nürnberg,RB Leipzig,0-3,Final
1,12/09/2020,08:30,TSV 1860 Munich,Eintracht Frankfurt,1-2,Final
1,12/09/2020,08:30,Oberneuland,Borussia Mönchengladbach,0-8,Final
1,12/09/2020,08:30,Altglienicke,1. FC Köln,0-6,Final
1,12/09/2020,08:30,Union Fürstenwalde,VfL Wolfsburg,1-4,Final
1,12/09/2020,08:30,Eintracht Celle,FC Augsburg,0-7,Final
2,12/09/2020,08:30,FV Engers 07,VfL Bochum,0-3,Final
2,12/09/2020,08:30,Meinerzhagen,SpVgg Greuther Fürth,1-6,Final
2,12/09/2020,08:30,Todesfelde,VfL Osnabrück,0-1,Final
2,12/09/2020,11:30,FC Ingolstadt 04,Fortuna Düsseldorf,0-1,Final
2,12/09/2020,11:30,Karlsruher SC,Union Berlin,0-1,Final
2,12/09/2020,11:30,SSV ULM 1846,Erzgebirge Aue,2-0,Final
2,12/09/2020,13:45,FC Carl Zeiss Jena,Werder Bremen,0-2,Final
2,13/09/2020,08:30,1. FC Kaiserslautern,SSV Jahn Regensburg,1-1,Final
3,13/09/2020,08:30,Hansa Rostock,VfB Stuttgart,0-1,Final
3,13/09/2020,08:30,Chemnitzer FC,1899 Hoffenheim,2-2,Final
3,13/09/2020,08:30,Eintracht Norderstedt,Bayer Leverkusen,0-7,Final
3,13/09/2020,08:30,FC Rielasingen-Arlen,Holstein Kiel,1-7,Final
3,13/09/2020,08:30,TSV Steinbach,SV Sandhausen,1-2,Final
3,13/09/2020,08:30,SV Elversberg,FC St. Pauli,4-2,Final
3,13/09/2020,08:30,Wiedenbrück,SC Paderborn 07,0-5,Final
3,13/09/2020,11:30,1. FC Magdeburg,SV Darmstadt 98,2-3,Final
3,13/09/2020,11:30,SV Wehen,1. FC Heidenheim,1-0,Final
4,13/09/2020,11:30,Waldhof Mannheim,SC Freiburg,1-2,Final
4,14/09/2020,11:30,Dynamo Dresden,Hamburger SV,4-1,Final
4,14/09/2020,11:30,Würzburger Kickers,Hannover 96,2-3,Final
4,14/09/2020,11:30,Rot-Weiß Essen,Arminia Bielefeld,1-0,Final
4,14/09/2020,13:45,MSV Duisburg,Borussia Dortmund,0-5,Final
4,15/10/2020,13:45,Düren Merzenich,Bayern München,0-3,Final
4,03/11/2020,10:30,FC Schweinfurt 05,FC Schalke 04,1-4,Final
4,22/12/2020,12:30,1899 Hoffenheim,SpVgg Greuther Fürth,2-2,Final
4,22/12/2020,12:30,FC Augsburg,RB Leipzig,0-3,Final
5,22/12/2020,12:30,1. FC Köln,VfL Osnabrück,1-0,Final
5,22/12/2020,12:30,SSV ULM 1846,FC Schalke 04,1-3,Final
5,22/12/2020,14:00,Eintracht Braunschweig,Borussia Dortmund,0-2,Final
5,22/12/2020,14:45,Union Berlin,SC Paderborn 07,2-3,Final
5,22/12/2020,14:45,Dynamo Dresden,SV Darmstadt 98,0-3,Final
5,22/12/2020,14:45,SV Elversberg,Borussia Mönchengladbach,0-5,Final
5,23/12/2020,12:30,VfL Wolfsburg,SV Sandhausen,4-0,Final
5,23/12/2020,12:30,Rot-Weiß Essen,Fortuna Düsseldorf,3-2,Final
5,23/12/2020,14:45,FSV Mainz 05,VfL Bochum,2-2,Final
6,23/12/2020,14:45,Hannover 96,Werder Bremen,0-3,Final
6,23/12/2020,14:45,VfB Stuttgart,SC Freiburg,1-0,Final
6,23/12/2020,14:45,SV Wehen,SSV Jahn Regensburg,0-0,Final
6,12/01/2021,14:45,Bayer Leverkusen,Eintracht Frankfurt,4-1,Final
6,13/01/2021,14:45,Holstein Kiel,Bayern München,2-2,Final
6,02/02/2021,12:30,Holstein Kiel,SV Darmstadt 98,1-1,Final
6,02/02/2021,12:30,Rot-Weiß Essen,Bayer Leverkusen,2-1,Final
6,02/02/2021,14:45,Werder Bremen,SpVgg Greuther Fürth,2-0,Final
6,02/02/2021,14:45,Borussia Dortmund,SC Paderborn 07,3-2,Final
7,03/02/2021,12:30,VfL Wolfsburg,FC Schalke 04,1-0,Final
7,03/02/2021,12:30,RB Leipzig,VfL Bochum,4-0,Final
7,03/02/2021,14:45,VfB Stuttgart,Borussia Mönchengladbach,1-2,Final
7,03/02/2021,14:45,SSV Jahn Regensburg,1. FC Köln,2-2,Final
7,02/03/2021,14:45,Borussia Mönchengladbach,Borussia Dortmund,0-1,Final
7,03/03/2021,12:30,Rot-Weiß Essen,Holstein Kiel,0-3,Final
7,03/03/2021,14:45,RB Leipzig,VfL Wolfsburg,2-0,Final
7,07/04/2021,11:30,SSV Jahn Regensburg,Werder Bremen,0-1,Final
7,30/04/2021,13:30,Werder Bremen,RB Leipzig,1-2,Final
8,01/05/2021,13:30,Borussia Dortmund,Holstein Kiel,5-0,Final
8,13/05/2021,13:45,RB Leipzig,Borussia Dortmund,1-4,Final
