Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
21/08/2020,1,Zagłębie Lubin,Lech Poznań,2-1
22/08/2020,1,KS Cracovia,Pogoń Szczecin,2-1
22/08/2020,1,Śląsk Wrocław,Piast Gliwice,2-0
22/08/2020,1,Raków Częstochowa,Legia Warszawa,1-2
23/08/2020,1,Wisła Płock,FKS Stal Mielec,1-1
23/08/2020,1,Warta Poznań,Lechia Gdańsk,0-1
23/08/2020,1,Górnik Zabrze,Podbeskidzie Bielsko-Biała,4-2
24/08/2020,1,Jagiellonia Białystok,Wisła Kraków,1-1
28/08/2020,2,Zagłębie Lubin,Warta Poznań,1-0
28/08/2020,2,FKS Stal Mielec,Górnik Zabrze,0-2
29/08/2020,2,Lechia Gdańsk,Raków Częstochowa,1-3
29/08/2020,2,Wisła Kraków,Śląsk Wrocław,1-3
29/08/2020,2,Legia Warszawa,Jagiellonia Białystok,1-2
30/08/2020,2,Piast Gliwice,Pogoń Szczecin,0-1
30/08/2020,2,Podbeskidzie Bielsko-Biała,KS Cracovia,2-2
30/08/2020,2,Lech Poznań,Wisła Płock,2-2
11/09/2020,3,Jagiellonia Białystok,Podbeskidzie Bielsko-Biała,2-2
11/09/2020,3,Wisła Płock,Legia Warszawa,0-1
12/09/2020,3,KS Cracovia,FKS Stal Mielec,1-1
12/09/2020,3,Warta Poznań,Piast Gliwice,0-0
12/09/2020,3,Śląsk Wrocław,Lech Poznań,3-3
13/09/2020,3,Pogoń Szczecin,Wisła Kraków,2-2
13/09/2020,3,Górnik Zabrze,Lechia Gdańsk,3-0
14/09/2020,3,Raków Częstochowa,Zagłębie Lubin,2-1
18/09/2020,4,Podbeskidzie Bielsko-Biała,Raków Częstochowa,1-4
18/09/2020,4,Wisła Kraków,Wisła Płock,0-3
19/09/2020,4,Lechia Gdańsk,FKS Stal Mielec,4-2
19/09/2020,4,Pogoń Szczecin,Śląsk Wrocław,1-0
19/09/2020,4,Legia Warszawa,Górnik Zabrze,1-3
20/09/2020,4,Zagłębie Lubin,KS Cracovia,1-1
20/09/2020,4,Lech Poznań,Warta Poznań,1-0
21/09/2020,4,Piast Gliwice,Jagiellonia Białystok,0-1
25/09/2020,5,Wisła Płock,Warta Poznań,1-3
25/09/2020,5,Górnik Zabrze,Wisła Kraków,0-0
26/09/2020,5,KS Cracovia,Raków Częstochowa,2-2
26/09/2020,5,Lechia Gdańsk,Podbeskidzie Bielsko-Biała,4-0
26/09/2020,5,Jagiellonia Białystok,Zagłębie Lubin,0-1
28/09/2020,5,FKS Stal Mielec,Piast Gliwice,3-2
21/10/2020,5,Legia Warszawa,Śląsk Wrocław,2-1
16/12/2020,5,Lech Poznań,Pogoń Szczecin,0-4
02/10/2020,6,Raków Częstochowa,Wisła Płock,3-0
02/10/2020,6,Śląsk Wrocław,KS Cracovia,3-1
03/10/2020,6,Podbeskidzie Bielsko-Biała,FKS Stal Mielec,1-0
03/10/2020,6,Zagłębie Lubin,Górnik Zabrze,2-0
04/10/2020,6,Piast Gliwice,Lech Poznań,1-4
28/10/2020,6,Wisła Kraków,Lechia Gdańsk,1-3
30/10/2020,6,Pogoń Szczecin,Jagiellonia Białystok,3-0
02/11/2020,6,Warta Poznań,Legia Warszawa,0-3
17/10/2020,7,KS Cracovia,Piast Gliwice,1-0
17/10/2020,7,Górnik Zabrze,Raków Częstochowa,1-3
17/10/2020,7,Jagiellonia Białystok,Lech Poznań,2-1
18/10/2020,7,Wisła Płock,Śląsk Wrocław,1-0
18/10/2020,7,FKS Stal Mielec,Wisła Kraków,0-6
18/10/2020,7,Legia Warszawa,Zagłębie Lubin,2-1
19/10/2020,7,Podbeskidzie Bielsko-Biała,Warta Poznań,1-2
19/10/2020,7,Lechia Gdańsk,Pogoń Szczecin,0-1
23/10/2020,8,Piast Gliwice,Wisła Płock,2-2
23/10/2020,8,Zagłębie Lubin,Lechia Gdańsk,1-1
24/10/2020,8,Wisła Kraków,Podbeskidzie Bielsko-Biała,3-0
24/10/2020,8,Śląsk Wrocław,Jagiellonia Białystok,1-0
24/10/2020,8,Pogoń Szczecin,Legia Warszawa,0-0
25/10/2020,8,Raków Częstochowa,FKS Stal Mielec,2-1
25/10/2020,8,Lech Poznań,KS Cracovia,1-1
26/10/2020,8,Warta Poznań,Górnik Zabrze,0-1
07/11/2020,9,FKS Stal Mielec,Warta Poznań,0-1
07/11/2020,9,KS Cracovia,Jagiellonia Białystok,3-1
08/11/2020,9,Legia Warszawa,Lech Poznań,2-1
08/11/2020,9,Raków Częstochowa,Wisła Kraków,0-0
20/11/2020,9,Lechia Gdańsk,Śląsk Wrocław,3-2
20/11/2020,9,Górnik Zabrze,Piast Gliwice,1-2
24/11/2020,9,Podbeskidzie Bielsko-Biała,Zagłębie Lubin,2-1
02/12/2020,9,Wisła Płock,Pogoń Szczecin,0-0
07/11/2020,10,Śląsk Wrocław,Górnik Zabrze,0-0
09/11/2020,10,Pogoń Szczecin,Podbeskidzie Bielsko-Biała,1-1
21/11/2020,10,Zagłębie Lubin,FKS Stal Mielec,2-2
21/11/2020,10,Warta Poznań,Wisła Kraków,2-1
22/11/2020,10,Lech Poznań,Raków Częstochowa,3-3
22/11/2020,10,KS Cracovia,Legia Warszawa,0-1
23/11/2020,10,Piast Gliwice,Lechia Gdańsk,2-0
23/11/2020,10,Jagiellonia Białystok,Wisła Płock,5-2
27/11/2020,11,Wisła Płock,KS Cracovia,0-1
27/11/2020,11,Górnik Zabrze,Pogoń Szczecin,2-1
28/11/2020,11,FKS Stal Mielec,Jagiellonia Białystok,3-1
28/11/2020,11,Podbeskidzie Bielsko-Biała,Śląsk Wrocław,0-2
28/11/2020,11,Wisła Kraków,Zagłębie Lubin,1-2
29/11/2020,11,Raków Częstochowa,Warta Poznań,1-0
29/11/2020,11,Legia Warszawa,Piast Gliwice,2-2
