matchday,date,time,home_team,away_team,result,status
1,09/05/2021,03:00,FK Bodø/Glimt,Tromsø IL,3-0,Final
1,09/05/2021,03:00,Molde FK,Kristiansund BK,2-0,Final
1,09/05/2021,03:00,Viking FK,SK Brann,3-1,Final
1,09/05/2021,03:00,Vålerenga IF,Rosenborg BK,1-1,Final
1,21/07/2021,03:00,Sandefjord Fotball,FK Haugesund,1-1,Final
1,21/07/2021,03:00,Sarpsborg 08,Mjøndalen IF,1-1,Final
1,21/07/2021,03:00,Stabæk IF,Lillestrøm SK,2-3,Final
1,21/07/2021,03:00,Strømsgodset IF,Odds BK,3-0,Final
2,12/05/2021,03:00,Kristiansund BK,FK Bodø/Glimt,0-2,Final
2,12/05/2021,03:00,SK Brann,Vålerenga IF,0-3,Final
2,13/05/2021,03:00,Tromsø IL,Molde FK,3-3,Final
2,13/05/2021,03:00,Rosenborg BK,Viking FK,5-0,Final
2,28/07/2021,03:00,FK Haugesund,Strømsgodset IF,2-1,Final
2,28/07/2021,03:00,Lillestrøm SK,Sarpsborg 08,2-0,Final
2,28/07/2021,03:00,Mjøndalen IF,Stabæk IF,1-2,Final
2,28/07/2021,03:00,Odds BK,Sandefjord Fotball,2-3,Final
3,16/05/2021,03:00,Sarpsborg 08,FK Haugesund,0-0,Final
3,16/05/2021,03:00,Viking FK,Tromsø IL,0-1,Final
3,16/05/2021,03:00,Vålerenga IF,Kristiansund BK,1-2,Final
3,16/05/2021,03:00,FK Bodø/Glimt,Rosenborg BK,2-2,Final
3,16/05/2021,03:00,Sandefjord Fotball,Mjøndalen IF,0-3,Final
3,16/05/2021,03:00,Strømsgodset IF,Lillestrøm SK,3-1,Final
3,16/05/2021,03:00,Molde FK,SK Brann,4-0,Final
3,19/05/2021,03:00,Stabæk IF,Odds BK,2-2,Final
4,24/05/2021,03:00,Odds BK,Sarpsborg 08,1-1,Final
4,24/05/2021,03:00,SK Brann,FK Bodø/Glimt,1-2,Final
4,24/05/2021,03:00,FK Haugesund,Stabæk IF,0-0,Final
4,24/05/2021,03:00,Kristiansund BK,Strømsgodset IF,1-0,Final
4,24/05/2021,03:00,Lillestrøm SK,Viking FK,1-3,Final
4,24/05/2021,03:00,Mjøndalen IF,Vålerenga IF,1-1,Final
4,24/05/2021,03:00,Tromsø IL,Sandefjord Fotball,1-3,Final
4,24/05/2021,03:00,Rosenborg BK,Molde FK,2-3,Final
5,27/05/2021,03:00,FK Bodø/Glimt,FK Haugesund,2-0,Final
5,27/05/2021,03:00,Lillestrøm SK,Odds BK,1-0,Final
5,27/05/2021,03:00,Sandefjord Fotball,Rosenborg BK,1-2,Final
