matchday,date,time,home_team,away_team,result,status
1,12/09/2020,03:00,Sc Heerenveen,Willem II,2-0,Final
1,12/09/2020,03:00,PEC Zwolle,Feyenoord,0-2,Final
1,12/09/2020,03:00,FC Twente,Fortuna Sittard,2-0,Final
1,13/09/2020,03:00,FC Emmen,VVV-Venlo,3-5,Final
1,13/09/2020,03:00,Heracles Almelo,ADO Den Haag,2-0,Final
1,13/09/2020,03:00,Sparta Rotterdam,AFC Ajax,0-1,Final
1,13/09/2020,03:00,FC Groningen,PSV Eindhoven,1-3,Final
1,13/09/2020,03:00,RKC Waalwijk,Vitesse,0-1,Final
1,27/12/2020,03:00,FC Utrecht,AZ Alkmaar,2-2,Final
2,18/09/2020,03:00,VVV-Venlo,FC Utrecht,1-1,Final
2,19/09/2020,03:00,AZ Alkmaar,PEC Zwolle,1-1,Final
2,19/09/2020,03:00,Vitesse,Sparta Rotterdam,2-0,Final
2,19/09/2020,03:00,PSV Eindhoven,FC Emmen,2-1,Final
2,19/09/2020,03:00,Fortuna Sittard,Sc Heerenveen,1-3,Final
2,20/09/2020,03:00,ADO Den Haag,FC Groningen,0-1,Final
2,20/09/2020,03:00,Feyenoord,FC Twente,1-1,Final
2,20/09/2020,03:00,Willem II,Heracles Almelo,4-0,Final
2,20/09/2020,03:00,AFC Ajax,RKC Waalwijk,3-0,Final
3,25/09/2020,03:00,FC Twente,FC Groningen,3-1,Final
3,26/09/2020,03:00,PEC Zwolle,Sparta Rotterdam,4-0,Final
3,26/09/2020,03:00,Fortuna Sittard,AZ Alkmaar,3-3,Final
3,26/09/2020,03:00,Sc Heerenveen,VVV-Venlo,1-0,Final
3,26/09/2020,03:00,AFC Ajax,Vitesse,2-1,Final
3,27/09/2020,03:00,Feyenoord,ADO Den Haag,4-2,Final
3,27/09/2020,03:00,FC Utrecht,RKC Waalwijk,3-1,Final
3,27/09/2020,03:00,Heracles Almelo,PSV Eindhoven,1-1,Final
3,27/09/2020,03:00,FC Emmen,Willem II,1-1,Final
4,02/10/2020,03:00,FC Utrecht,Sc Heerenveen,1-1,Final
4,03/10/2020,03:00,Vitesse,Heracles Almelo,3-0,Final
4,03/10/2020,03:00,VVV-Venlo,ADO Den Haag,1-2,Final
4,03/10/2020,03:00,FC Twente,FC Emmen,1-1,Final
4,04/10/2020,03:00,FC Groningen,AFC Ajax,1-0,Final
4,04/10/2020,03:00,Sparta Rotterdam,AZ Alkmaar,4-4,Final
4,04/10/2020,03:00,Willem II,Feyenoord,1-4,Final
4,04/10/2020,03:00,PSV Eindhoven,Fortuna Sittard,2-0,Final
4,21/10/2020,03:00,RKC Waalwijk,PEC Zwolle,1-1,Final
5,17/10/2020,03:00,Heracles Almelo,RKC Waalwijk,0-1,Final
5,17/10/2020,03:00,AZ Alkmaar,VVV-Venlo,2-2,Final
5,17/10/2020,03:00,Willem II,FC Twente,0-3,Final
5,18/10/2020,03:00,Feyenoord,Sparta Rotterdam,1-1,Final
5,18/10/2020,03:00,AFC Ajax,Sc Heerenveen,5-1,Final
5,18/10/2020,03:00,ADO Den Haag,Vitesse,0-2,Final
5,18/10/2020,03:00,FC Groningen,FC Utrecht,0-0,Final
5,18/10/2020,03:00,PEC Zwolle,PSV Eindhoven,0-3,Final
5,18/10/2020,03:00,FC Emmen,Fortuna Sittard,2-2,Final
6,24/10/2020,03:00,VVV-Venlo,AFC Ajax,0-13,Final
6,24/10/2020,03:00,FC Utrecht,FC Twente,2-1,Final
6,24/10/2020,03:00,PEC Zwolle,Willem II,0-0,Final
6,24/10/2020,03:00,Sc Heerenveen,FC Emmen,4-0,Final
6,25/10/2020,03:00,Fortuna Sittard,FC Groningen,1-3,Final
6,25/10/2020,03:00,Vitesse,PSV Eindhoven,2-1,Final
6,25/10/2020,03:00,Sparta Rotterdam,Heracles Almelo,1-1,Final
6,25/10/2020,03:00,RKC Waalwijk,Feyenoord,2-2,Final
