Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
22/10/2020,1,BSC Young Boys,AS Roma,1-2
22/10/2020,1,CSKA Sofia,CFR Cluj,0-2
29/10/2020,2,AS Roma,CSKA Sofia,0-0
29/10/2020,2,CFR Cluj,BSC Young Boys,1-1
05/11/2020,3,AS Roma,CFR Cluj,5-0
05/11/2020,3,BSC Young Boys,CSKA Sofia,3-0
26/11/2020,4,CSKA Sofia,BSC Young Boys,0-1
26/11/2020,4,CFR Cluj,AS Roma,0-2
03/12/2020,5,AS Roma,BSC Young Boys,3-1
03/12/2020,5,CFR Cluj,CSKA Sofia,0-0
10/12/2020,6,CSKA Sofia,AS Roma,3-1
10/12/2020,6,BSC Young Boys,CFR Cluj,2-1
22/10/2020,1,Rapid Wien,Arsenal FC,1-2
22/10/2020,1,Dundalk FC,Molde FK,1-2
29/10/2020,2,Arsenal FC,Dundalk FC,3-0
29/10/2020,2,Molde FK,Rapid Wien,1-0
05/11/2020,3,Rapid Wien,Dundalk FC,4-3
05/11/2020,3,Arsenal FC,Molde FK,4-1
26/11/2020,4,Molde FK,Arsenal FC,0-3
26/11/2020,4,Dundalk FC,Rapid Wien,1-3
03/12/2020,5,Arsenal FC,Rapid Wien,4-1
03/12/2020,5,Molde FK,Dundalk FC,3-1
10/12/2020,6,Dundalk FC,Arsenal FC,2-4
10/12/2020,6,Rapid Wien,Molde FK,2-2
22/10/2020,1,Bayer Leverkusen,OGC Nice,6-2
22/10/2020,1,Hapoel Be'er Sheva,Slavia Praha,3-1
29/10/2020,2,Slavia Praha,Bayer Leverkusen,1-0
29/10/2020,2,OGC Nice,Hapoel Be'er Sheva,1-0
05/11/2020,3,Hapoel Be'er Sheva,Bayer Leverkusen,2-4
05/11/2020,3,Slavia Praha,OGC Nice,3-2
26/11/2020,4,Bayer Leverkusen,Hapoel Be'er Sheva,4-1
26/11/2020,4,OGC Nice,Slavia Praha,1-3
03/12/2020,5,OGC Nice,Bayer Leverkusen,2-3
03/12/2020,5,Slavia Praha,Hapoel Be'er Sheva,3-0
10/12/2020,6,Bayer Leverkusen,Slavia Praha,4-0
10/12/2020,6,Hapoel Be'er Sheva,OGC Nice,1-0
22/10/2020,1,Lech Poznań,SL Benfica,2-4
