Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
06/11/2020,,Harrogate Town,Skelmersdale United,4-1
07/11/2020,,Tonbridge Angels,Bradford City,0-7
07/11/2020,,Exeter City,AFC Fylde,2-1
07/11/2020,,Leyton Orient,Newport County,1-2
07/11/2020,,Sunderland AFC,Mansfield Town,0-1
07/11/2020,,Bolton Wanderers,Crewe Alexandra,2-3
07/11/2020,,Oxford United,Peterborough United,1-2
07/11/2020,,Walsall FC,Bristol Rovers,1-2
07/11/2020,,Rochdale AFC,Stockport County,1-2
07/11/2020,,Swindon Town,Darlington FC,1-2
07/11/2020,,Tranmere Rovers,Accrington Stanley,2-1
07/11/2020,,Bromley FC,Yeovil Town,0-1
07/11/2020,,Cheltenham Town,South Shields FC,3-1
07/11/2020,,Stevenage FC,Concord Rangers,5-4
07/11/2020,,Gillingham FC,Woking FC,3-2
07/11/2020,,Charlton Athletic,Plymouth Argyle,0-1
07/11/2020,,Salford City,Hartlepool United,2-0
07/11/2020,,Hull City,Fleetwood Town,2-0
07/11/2020,,Colchester United,Marine AFC,3-5
07/11/2020,,Dagenham & Redbridge,Grimsby Town,3-1
07/11/2020,,Cambridge United,Shrewsbury Town,0-2
07/11/2020,,Boreham Wood,Southend United,4-3
07/11/2020,,Ipswich Town,Portsmouth FC,2-3
07/11/2020,,Lincoln City,Forest Green Rovers,6-2
07/11/2020,,Banbury United FC,Canvey Island,1-2
07/11/2020,,Port Vale FC,King's Lynn,0-1
07/11/2020,,Brackley Town,Bishop's Stortford,3-2
07/11/2020,,United of Manchester,Doncaster Rovers,1-5
08/11/2020,,Scunthorpe United,Solihull Moors,2-3
08/11/2020,,Havant & Waterlooville,Cray Valley (PM),1-0
08/11/2020,,Barnet FC,Burton Albion,1-0
08/11/2020,,Wigan Athletic,Chorley FC,2-3
08/11/2020,,Maldon & Tiptree FC,Morecambe FC,0-1
08/11/2020,,Torquay United,Crawley Town,5-6
08/11/2020,,Hayes & Yeading United,Carlisle United,3-4
08/11/2020,,Eastleigh FC,Milton Keynes Dons,3-4
08/11/2020,,Hampton & Richmond Borough,Oldham Athletic,2-3
08/11/2020,,Eastbourne Borough,Blackpool FC,0-3
09/11/2020,,Oxford City,Northampton Town,2-1
26/11/2020,,Barrow AFC,AFC Wimbledon,2-4
27/11/2020,,Tranmere Rovers,Brackley Town,1-0
28/11/2020,,Morecambe FC,Solihull Moors,4-2
28/11/2020,,Newport County,Salford City,3-0
28/11/2020,,Gillingham FC,Exeter City,2-3
28/11/2020,,Harrogate Town,Blackpool FC,0-4
28/11/2020,,Plymouth Argyle,Lincoln City,2-0
28/11/2020,,Portsmouth FC,King's Lynn,6-1
28/11/2020,,Cheltenham Town,Crewe Alexandra,2-1
28/11/2020,,Bradford City,Oldham Athletic,1-2
28/11/2020,,Peterborough United,Chorley FC,1-2
29/11/2020,,Stevenage FC,Hull City,6-5
29/11/2020,,AFC Wimbledon,Crawley Town,1-2
29/11/2020,,Stockport County,Yeovil Town,3-2
29/11/2020,,Shrewsbury Town,Oxford City,1-0
29/11/2020,,Mansfield Town,Dagenham & Redbridge,2-1
29/11/2020,,Carlisle United,Doncaster Rovers,1-2
29/11/2020,,Barnet FC,Milton Keynes Dons,0-1
29/11/2020,,Bristol Rovers,Darlington FC,6-0
29/11/2020,,Marine AFC,Havant & Waterlooville,1-0
30/11/2020,,Canvey Island,Boreham Wood,0-3
08/01/2021,,Wolverhampton Wanderers,Crystal Palace,1-0
08/01/2021,,Aston Villa,Liverpool FC,1-4
09/01/2021,,Everton FC,Rotherham United,2-1
09/01/2021,,Nottingham Forest,Cardiff City,1-0
