matchday,date,time,home_team,away_team,result,status
1,25/07/2020,03:00,Club Necaxa,UANL Tigres,0-3,Final
1,26/07/2020,03:00,Deportivo Guadalajara,Club León,0-0,Final
1,26/07/2020,03:00,Club Tijuana,Atlas Guadalajara,3-1,Final
1,26/07/2020,03:00,Cruz Azul,Santos Laguna,2-0,Final
1,26/07/2020,03:00,Pumas UNAM,Gallos Blancos,3-2,Final
1,28/07/2020,03:00,Atlético San Luis,FC Juárez,1-1,Final
1,28/07/2020,03:00,CF Pachuca,CF América,1-2,Final
1,28/07/2020,03:00,Mazatlán FC,Puebla FC,1-4,Final
1,29/07/2020,03:00,CF Monterrey,Deportivo Toluca,3-1,Final
2,01/08/2020,03:00,Puebla FC,Cruz Azul,1-1,Final
2,01/08/2020,03:00,FC Juárez,Club Necaxa,1-0,Final
2,02/08/2020,03:00,UANL Tigres,CF Pachuca,1-1,Final
2,02/08/2020,03:00,CF América,Club Tijuana,4-0,Final
2,02/08/2020,03:00,Deportivo Toluca,Atlético San Luis,3-2,Final
2,03/08/2020,03:00,Gallos Blancos,Mazatlán FC,1-1,Final
2,03/08/2020,03:00,Santos Laguna,Deportivo Guadalajara,2-0,Final
2,04/08/2020,03:00,Atlas Guadalajara,Pumas UNAM,1-2,Final
2,04/08/2020,03:00,Club León,CF Monterrey,1-0,Final
3,07/08/2020,03:00,CF Pachuca,Gallos Blancos,1-0,Final
3,07/08/2020,03:00,Club Tijuana,UANL Tigres,0-0,Final
3,08/08/2020,03:00,Club Necaxa,CF América,1-1,Final
3,08/08/2020,03:00,Mazatlán FC,Deportivo Toluca,2-1,Final
3,09/08/2020,03:00,Cruz Azul,Club León,2-0,Final
3,09/08/2020,03:00,CF Monterrey,Santos Laguna,2-2,Final
3,09/08/2020,03:00,Deportivo Guadalajara,Puebla FC,0-1,Final
3,09/08/2020,03:00,Pumas UNAM,FC Juárez,1-1,Final
3,10/08/2020,03:00,Atlético San Luis,Atlas Guadalajara,1-1,Final
4,12/08/2020,03:00,Club Necaxa,Mazatlán FC,1-0,Final
4,12/08/2020,03:00,CF Pachuca,Club León,0-1,Final
4,12/08/2020,03:00,UANL Tigres,Puebla FC,2-1,Final
4,13/08/2020,03:00,Gallos Blancos,Cruz Azul,1-0,Final
4,13/08/2020,03:00,FC Juárez,Deportivo Guadalajara,0-2,Final
4,13/08/2020,03:00,Pumas UNAM,CF Monterrey,1-1,Final
4,13/08/2020,03:00,Club Tijuana,Atlético San Luis,0-2,Final
4,14/08/2020,03:00,Atlas Guadalajara,Deportivo Toluca,1-2,Final
4,14/08/2020,03:00,CF América,Santos Laguna,3-1,Final
5,15/08/2020,03:00,Puebla FC,CF Pachuca,0-1,Final
5,16/08/2020,03:00,Deportivo Guadalajara,Atlético San Luis,2-1,Final
5,16/08/2020,03:00,Cruz Azul,FC Juárez,3-2,Final
5,16/08/2020,03:00,Mazatlán FC,Pumas UNAM,0-0,Final
5,16/08/2020,03:00,CF Monterrey,Club Necaxa,1-1,Final
5,16/08/2020,03:00,Deportivo Toluca,UANL Tigres,3-2,Final
5,17/08/2020,03:00,Santos Laguna,Atlas Guadalajara,0-0,Final
5,17/08/2020,03:00,Gallos Blancos,CF América,4-1,Final
5,18/08/2020,03:00,Club León,Club Tijuana,2-1,Final
6,22/08/2020,03:00,Club Necaxa,Santos Laguna,2-1,Final
6,22/08/2020,03:00,FC Juárez,Club León,0-0,Final
6,23/08/2020,03:00,Atlas Guadalajara,Gallos Blancos,1-0,Final
6,23/08/2020,03:00,UANL Tigres,Pumas UNAM,1-1,Final
6,23/08/2020,03:00,CF América,CF Monterrey,1-3,Final
6,24/08/2020,03:00,Deportivo Toluca,Deportivo Guadalajara,1-0,Final
6,24/08/2020,03:00,Atlético San Luis,Cruz Azul,1-3,Final
6,24/08/2020,03:00,Club Tijuana,Puebla FC,1-0,Final
6,25/08/2020,03:00,CF Pachuca,Mazatlán FC,4-3,Final
7,29/08/2020,03:00,Puebla FC,Deportivo Toluca,4-1,Final
7,29/08/2020,03:00,Mazatlán FC,UANL Tigres,1-1,Final
7,30/08/2020,03:00,Atlético San Luis,CF América,1-2,Final
7,30/08/2020,03:00,Deportivo Guadalajara,CF Pachuca,0-0,Final
7,30/08/2020,03:00,Cruz Azul,Club Necaxa,3-0,Final
7,30/08/2020,03:00,Pumas UNAM,Club Tijuana,3-0,Final
7,31/08/2020,03:00,Santos Laguna,Gallos Blancos,2-1,Final
7,31/08/2020,03:00,CF Monterrey,FC Juárez,2-1,Final
7,01/09/2020,03:00,Club León,Atlas Guadalajara,2-1,Final
8,03/09/2020,03:00,CF América,Mazatlán FC,3-1,Final
8,04/09/2020,03:00,Gallos Blancos,Deportivo Toluca,4-1,Final
8,04/09/2020,03:00,CF Pachuca,Atlético San Luis,3-1,Final
8,05/09/2020,03:00,Club Necaxa,Club León,0-2,Final
8,05/09/2020,03:00,Club Tijuana,CF Monterrey,2-1,Final
8,05/09/2020,03:00,FC Juárez,Santos Laguna,1-1,Final
8,06/09/2020,03:00,Pumas UNAM,Puebla FC,4-1,Final
8,06/09/2020,03:00,Atlas Guadalajara,Cruz Azul,1-0,Final
8,06/09/2020,03:00,UANL Tigres,Deportivo Guadalajara,1-3,Final
9,09/09/2020,03:00,Atlético San Luis,Club Necaxa,2-1,Final
9,09/09/2020,03:00,Deportivo Toluca,FC Juárez,0-1,Final
9,09/09/2020,03:00,CF Monterrey,Atlas Guadalajara,1-1,Final
9,09/09/2020,03:00,Deportivo Guadalajara,Gallos Blancos,1-1,Final
9,09/09/2020,03:00,Puebla FC,CF América,2-3,Final
9,10/09/2020,03:00,Club León,UANL Tigres,1-1,Final
9,10/09/2020,03:00,Cruz Azul,CF Pachuca,1-0,Final
9,10/09/2020,03:00,Mazatlán FC,Club Tijuana,1-0,Final
9,10/09/2020,03:00,Santos Laguna,Pumas UNAM,1-2,Final
10,12/09/2020,03:00,Club Necaxa,Deportivo Guadalajara,1-2,Final
10,12/09/2020,03:00,FC Juárez,Puebla FC,1-0,Final
10,13/09/2020,03:00,Atlas Guadalajara,Mazatlán FC,1-1,Final
10,13/09/2020,03:00,UANL Tigres,Santos Laguna,2-0,Final
10,13/09/2020,03:00,CF América,Deportivo Toluca,1-1,Final
10,13/09/2020,03:00,Pumas UNAM,Atlético San Luis,3-0,Final
10,14/09/2020,03:00,Gallos Blancos,Club León,2-3,Final
10,14/09/2020,03:00,Club Tijuana,Cruz Azul,1-2,Final
10,15/09/2020,03:00,CF Pachuca,CF Monterrey,1-1,Final
11,19/09/2020,03:00,Club Necaxa,Puebla FC,0-1,Final
11,19/09/2020,03:00,Mazatlán FC,Cruz Azul,2-3,Final
11,20/09/2020,03:00,Atlas Guadalajara,CF Pachuca,0-1,Final
11,20/09/2020,03:00,UANL Tigres,Gallos Blancos,3-0,Final
11,20/09/2020,03:00,CF América,Deportivo Guadalajara,1-0,Final
11,20/09/2020,03:00,Deportivo Toluca,Santos Laguna,1-2,Final
11,21/09/2020,03:00,Atlético San Luis,CF Monterrey,1-2,Final
11,22/09/2020,03:00,Club León,Pumas UNAM,2-0,Final
11,01/10/2020,03:00,Club Tijuana,FC Juárez,2-1,Final
12,25/09/2020,03:00,CF Pachuca,Deportivo Toluca,0-0,Final
12,26/09/2020,03:00,Puebla FC,Gallos Blancos,3-3,Final
12,26/09/2020,03:00,FC Juárez,Atlas Guadalajara,0-1,Final
12,27/09/2020,03:00,Deportivo Guadalajara,Mazatlán FC,2-1,Final
12,27/09/2020,03:00,Pumas UNAM,Club Necaxa,1-1,Final
12,27/09/2020,03:00,CF Monterrey,UANL Tigres,0-2,Final
12,28/09/2020,03:00,Atlético San Luis,Club León,0-2,Final
12,28/09/2020,03:00,Cruz Azul,CF América,0-0,Final
12,12/10/2020,03:00,Santos Laguna,Club Tijuana,2-0,Final
13,03/10/2020,03:00,Puebla FC,Santos Laguna,0-2,Final
13,03/10/2020,03:00,Club León,Mazatlán FC,2-1,Final
13,04/10/2020,03:00,Atlas Guadalajara,Club Necaxa,0-1,Final
13,04/10/2020,03:00,UANL Tigres,Atlético San Luis,3-0,Final
13,04/10/2020,03:00,CF América,Pumas UNAM,2-2,Final
13,04/10/2020,03:00,Deportivo Toluca,Cruz Azul,2-0,Final
13,05/10/2020,03:00,FC Juárez,CF Pachuca,1-1,Final
13,05/10/2020,03:00,Gallos Blancos,CF Monterrey,1-2,Final
13,05/10/2020,03:00,Club Tijuana,Deportivo Guadalajara,0-0,Final
14,16/10/2020,03:00,Atlético San Luis,Gallos Blancos,2-1,Final
14,17/10/2020,03:00,Club Necaxa,Club Tijuana,2-0,Final
14,17/10/2020,03:00,Mazatlán FC,FC Juárez,3-2,Final
14,18/10/2020,03:00,CF Monterrey,Puebla FC,3-1,Final
14,18/10/2020,03:00,Deportivo Guadalajara,Atlas Guadalajara,3-2,Final
14,18/10/2020,03:00,Cruz Azul,UANL Tigres,0-2,Final
14,18/10/2020,03:00,Pumas UNAM,Deportivo Toluca,1-0,Final
14,19/10/2020,03:00,Santos Laguna,CF Pachuca,1-1,Final
14,20/10/2020,03:00,Club León,CF América,3-2,Final
15,24/10/2020,03:00,Puebla FC,Club León,1-2,Final
15,25/10/2020,03:00,Gallos Blancos,Club Necaxa,0-1,Final
15,25/10/2020,03:00,UANL Tigres,FC Juárez,1-1,Final
15,25/10/2020,03:00,Mazatlán FC,CF Monterrey,1-2,Final
15,25/10/2020,03:00,CF América,Atlas Guadalajara,1-0,Final
15,25/10/2020,03:00,Deportivo Toluca,Club Tijuana,2-0,Final
15,26/10/2020,03:00,Deportivo Guadalajara,Cruz Azul,0-2,Final
15,26/10/2020,03:00,Santos Laguna,Atlético San Luis,2-1,Final
15,27/10/2020,03:00,CF Pachuca,Pumas UNAM,1-1,Final
