Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
16/01/2021,1,Millonarios,Envigado FC,1-0
17/01/2021,1,Atlético Junior,Independiente Medellín,1-0
17/01/2021,1,Deportivo Pasto,Internacional de Bogotá,2-2
18/01/2021,1,Atlético Nacional,Santa Fe,2-0
18/01/2021,1,Deportivo Cali,Jaguares de Córdoba,1-0
18/01/2021,1,Deportes Tolima,Once Caldas,1-1
20/01/2021,1,Atlético Bucaramanga,Boyacá Chicó,2-0
21/01/2021,1,Alianza FC,Deportivo Pereira,2-2
04/03/2021,1,Patriotas FC,América de Cali,0-1
23/01/2021,2,Independiente Medellín,Patriotas FC,2-1
23/01/2021,2,Envigado FC,Deportivo Pasto,0-1
24/01/2021,2,América de Cali,Águilas Doradas,1-1
25/01/2021,2,Jaguares de Córdoba,Atlético Bucaramanga,2-1
25/01/2021,2,Deportivo Pereira,Deportivo Cali,0-1
25/01/2021,2,Internacional de Bogotá,Atlético Nacional,1-0
25/01/2021,2,Once Caldas,Atlético Junior,1-2
05/03/2021,2,Boyacá Chicó,Millonarios,0-1
05/03/2021,2,Santa Fe,Deportes Tolima,3-2
30/01/2021,3,Jaguares de Córdoba,Alianza FC,2-0
30/01/2021,3,Deportivo Cali,Envigado FC,1-1
30/01/2021,3,Patriotas FC,Boyacá Chicó,1-1
30/01/2021,3,Águilas Doradas,Santa Fe,0-2
31/01/2021,3,Atlético Nacional,Deportivo Pereira,5-2
31/01/2021,3,Atlético Junior,América de Cali,2-1
31/01/2021,3,Deportes Tolima,Internacional de Bogotá,1-0
01/02/2021,3,Atlético Bucaramanga,Independiente Medellín,0-1
01/02/2021,3,Millonarios,Once Caldas,4-3
02/02/2021,4,Envigado FC,Jaguares de Córdoba,1-1
03/02/2021,4,Boyacá Chicó,Deportivo Cali,0-1
03/02/2021,4,Deportivo Pasto,Atlético Nacional,0-0
03/02/2021,4,Internacional de Bogotá,Atlético Junior,1-0
