matchday,date,time,home_team,away_team,result,status
1,05/10/2020,03:00,Bradford Park Avenue,Gateshead FC,1-2,Final
1,05/10/2020,03:00,Curzon Ashton,Alfreton Town,1-1,Final
1,06/10/2020,03:00,AFC Fylde,Darlington FC,1-0,Final
1,06/10/2020,03:00,AFC Telford United,Brackley Town,3-0,Final
1,06/10/2020,03:00,Gloucester City,Kettering Town,3-1,Final
1,06/10/2020,03:00,Guiseley AFC,Blyth Spartans,4-0,Final
1,06/10/2020,03:00,Kidderminster Harriers,Chester FC,1-2,Final
1,06/10/2020,03:00,Leamington FC,Boston United,0-4,Final
1,06/10/2020,03:00,Southport FC,Hereford FC,0-0,Final
1,06/10/2020,03:00,Spennymoor Town,Farsley Celtic,2-1,Final
1,06/10/2020,03:00,York City,Chorley FC,3-1,Final
2,10/10/2020,03:00,Alfreton Town,Spennymoor Town,1-1,Final
2,10/10/2020,03:00,Blyth Spartans,AFC Telford United,1-1,Final
2,10/10/2020,03:00,Brackley Town,Curzon Ashton,2-2,Final
2,10/10/2020,03:00,Chester FC,Leamington FC,3-2,Final
2,10/10/2020,03:00,Chorley FC,Gloucester City,1-2,Final
2,10/10/2020,03:00,Darlington FC,Kidderminster Harriers,1-3,Final
2,10/10/2020,03:00,Farsley Celtic,York City,1-1,Final
2,10/10/2020,03:00,Gateshead FC,AFC Fylde,0-1,Final
2,27/10/2020,03:00,Boston United,Guiseley AFC,1-1,Final
2,27/10/2020,03:00,Hereford FC,Bradford Park Avenue,0-2,Final
2,03/11/2020,03:00,Kettering Town,Southport FC,0-1,Final
3,17/10/2020,03:00,AFC Telford United,Gateshead FC,1-0,Final
3,17/10/2020,03:00,Curzon Ashton,Farsley Celtic,2-1,Final
3,17/10/2020,03:00,Gloucester City,Blyth Spartans,6-1,Final
3,17/10/2020,03:00,Guiseley AFC,Hereford FC,0-1,Final
3,17/10/2020,03:00,Southport FC,Chorley FC,1-0,Final
3,17/10/2020,03:00,Spennymoor Town,Chester FC,2-1,Final
3,17/10/2020,03:00,York City,Brackley Town,0-0,Final
3,28/10/2020,03:00,AFC Fylde,Kettering Town,3-2,Final
3,24/11/2020,03:00,Kidderminster Harriers,Alfreton Town,3-0,Final
3,11/01/2021,03:00,Bradford Park Avenue,Boston United,1-1,Final
3,02/02/2021,03:00,Leamington FC,Darlington FC,,
4,24/10/2020,03:00,Blyth Spartans,Southport FC,0-3,Final
4,24/10/2020,03:00,Boston United,AFC Telford United,3-2,Final
4,24/10/2020,03:00,Chorley FC,Kidderminster Harriers,0-2,Final
4,27/10/2020,03:00,Chester FC,Curzon Ashton,2-1,Final
4,03/11/2020,03:00,Alfreton Town,AFC Fylde,1-1,Final
4,03/11/2020,03:00,Farsley Celtic,Leamington FC,1-1,Final
4,24/11/2020,03:00,Gateshead FC,Gloucester City,1-0,Final
4,24/11/2020,03:00,Darlington FC,Bradford Park Avenue,0-1,Final
4,24/11/2020,03:00,Kettering Town,Guiseley AFC,1-1,Final
4,08/12/2020,03:00,Brackley Town,Spennymoor Town,1-0,Final
4,26/01/2021,03:00,Hereford FC,York City,,
5,31/10/2020,03:00,Bradford Park Avenue,Chorley FC,0-0,Final
5,31/10/2020,03:00,AFC Fylde,Farsley Celtic,2-0,Final
5,31/10/2020,03:00,AFC Telford United,Alfreton Town,0-1,Final
5,31/10/2020,03:00,Curzon Ashton,Darlington FC,0-3,Final
5,31/10/2020,03:00,Gloucester City,Chester FC,2-1,Final
5,31/10/2020,03:00,Kidderminster Harriers,Blyth Spartans,2-0,Final
5,31/10/2020,03:00,Southport FC,Boston United,0-1,Final
5,05/12/2020,03:00,Guiseley AFC,Brackley Town,1-3,Final
5,05/12/2020,03:00,Leamington FC,Gateshead FC,1-1,Final
5,08/12/2020,03:00,York City,Kettering Town,2-0,Final
5,09/03/2021,03:00,Spennymoor Town,Hereford FC,,
6,07/11/2020,03:00,Bradford Park Avenue,Alfreton Town,2-0,Final
6,07/11/2020,03:00,AFC Telford United,Southport FC,1-1,Final
6,07/11/2020,03:00,Curzon Ashton,Blyth Spartans,0-3,Final
6,07/11/2020,03:00,Farsley Celtic,Gateshead FC,1-0,Final
6,07/11/2020,03:00,Spennymoor Town,Gloucester City,2-2,Final
6,24/11/2020,03:00,Leamington FC,AFC Fylde,1-1,Final
6,28/11/2020,03:00,Hereford FC,Kettering Town,3-3,Final
6,05/12/2020,03:00,Boston United,Chorley FC,0-2,Final
6,05/12/2020,03:00,York City,Chester FC,2-1,Final
6,05/01/2021,03:00,Brackley Town,Darlington FC,2-0,Final
6,16/02/2021,03:00,Guiseley AFC,Kidderminster Harriers,,
7,24/10/2020,03:00,Kettering Town,Bradford Park Avenue,3-1,Final
7,07/11/2020,03:00,Kidderminster Harriers,Leamington FC,1-1,Final
7,10/11/2020,03:00,AFC Fylde,Spennymoor Town,1-0,Final
7,10/11/2020,03:00,Alfreton Town,Brackley Town,0-2,Final
7,10/11/2020,03:00,Blyth Spartans,Farsley Celtic,1-1,Final
7,10/11/2020,03:00,Gateshead FC,Curzon Ashton,1-0,Final
7,10/11/2020,03:00,Gloucester City,AFC Telford United,4-1,Final
7,10/11/2020,03:00,Southport FC,York City,2-3,Final
7,08/12/2020,03:00,Chester FC,Hereford FC,5-3,Final
7,08/12/2020,03:00,Chorley FC,Guiseley AFC,1-0,Final
7,16/02/2021,03:00,Darlington FC,Boston United,,
8,14/11/2020,03:00,Alfreton Town,Farsley Celtic,3-1,Final
8,14/11/2020,03:00,Blyth Spartans,Hereford FC,0-3,Final
8,14/11/2020,03:00,Darlington FC,AFC Telford United,1-2,Final
8,14/11/2020,03:00,Gateshead FC,Brackley Town,2-2,Final
8,14/11/2020,03:00,Gloucester City,Bradford Park Avenue,4-4,Final
8,14/11/2020,03:00,Kettering Town,Curzon Ashton,1-2,Final
8,14/11/2020,03:00,Southport FC,Spennymoor Town,0-2,Final
8,28/11/2020,03:00,AFC Fylde,Boston United,2-1,Final
8,05/01/2021,03:00,Chester FC,Guiseley AFC,1-0,Final
8,05/01/2021,03:00,Kidderminster Harriers,York City,2-2,Final
8,12/01/2021,03:00,Chorley FC,Leamington FC,1-2,Final
9,17/11/2020,03:00,AFC Telford United,Chorley FC,0-1,Final
9,17/11/2020,03:00,Brackley Town,Kidderminster Harriers,0-2,Final
9,17/11/2020,03:00,Bradford Park Avenue,Southport FC,0-2,Final
9,17/11/2020,03:00,Curzon Ashton,AFC Fylde,2-0,Final
9,17/11/2020,03:00,Guiseley AFC,Darlington FC,1-4,Final
9,17/11/2020,03:00,Hereford FC,Gloucester City,0-1,Final
9,17/11/2020,03:00,Leamington FC,Alfreton Town,4-3,Final
9,24/11/2020,03:00,Farsley Celtic,Chester FC,2-2,Final
9,05/01/2021,03:00,Boston United,Kettering Town,2-2,Final
9,26/01/2021,03:00,Spennymoor Town,Blyth Spartans,,
9,09/03/2021,03:00,York City,Gateshead FC,,
10,21/11/2020,03:00,Alfreton Town,Darlington FC,0-2,Final
10,21/11/2020,03:00,Brackley Town,Chester FC,1-1,Final
10,21/11/2020,03:00,Bradford Park Avenue,AFC Telford United,1-2,Final
10,21/11/2020,03:00,Curzon Ashton,Leamington FC,0-3,Final
10,21/11/2020,03:00,Farsley Celtic,Kidderminster Harriers,2-2,Final
10,21/11/2020,03:00,Gateshead FC,Southport FC,4-1,Final
10,21/11/2020,03:00,Guiseley AFC,Gloucester City,1-2,Final
10,21/11/2020,03:00,Hereford FC,Chorley FC,2-2,Final
10,05/12/2020,03:00,Kettering Town,Blyth Spartans,2-1,Final
10,16/02/2021,03:00,York City,AFC Fylde,1-3,Final
10,02/03/2021,03:00,Boston United,Spennymoor Town,,
11,28/11/2020,03:00,AFC Telford United,Guiseley AFC,2-0,Final
11,28/11/2020,03:00,Chester FC,Gateshead FC,1-2,Final
11,28/11/2020,03:00,Gloucester City,Farsley Celtic,1-2,Final
11,28/11/2020,03:00,Kidderminster Harriers,Curzon Ashton,1-0,Final
11,28/11/2020,03:00,Leamington FC,York City,2-1,Final
