matchday,date,time,home_team,away_team,result,status
1,06/10/2020,03:00,Billericay Town,Tonbridge Angels,0-2,Final
1,06/10/2020,03:00,Braintree Town,Ebbsfleet United,0-3,Final
1,06/10/2020,03:00,Dartford FC,Chelmsford City,1-0,Final
1,06/10/2020,03:00,Eastbourne Borough,Dorking FC,0-3,Final
1,06/10/2020,03:00,Hungerford Town,Chippenham Town,3-0,Final
1,06/10/2020,03:00,Maidstone United,Welling United FC,2-1,Final
1,06/10/2020,03:00,Oxford City,Bath City FC,2-0,Final
1,06/10/2020,03:00,Slough Town,Hemel Hempstead Town,1-0,Final
1,06/10/2020,03:00,St. Albans City,Hampton & Richmond Borough,1-0,Final
1,03/11/2020,03:00,Dulwich Hamlet,Concord Rangers,1-4,Final
2,10/10/2020,03:00,Bath City FC,Billericay Town,2-0,Final
2,10/10/2020,03:00,Chelmsford City,Oxford City,1-1,Final
2,10/10/2020,03:00,Chippenham Town,Braintree Town,1-0,Final
2,10/10/2020,03:00,Concord Rangers,St. Albans City,1-1,Final
2,10/10/2020,03:00,Dorking FC,Slough Town,3-1,Final
2,10/10/2020,03:00,Ebbsfleet United,Dulwich Hamlet,1-1,Final
2,10/10/2020,03:00,Hampton & Richmond Borough,Dartford FC,0-0,Final
2,10/10/2020,03:00,Havant & Waterlooville,Maidstone United,2-2,Final
2,10/10/2020,03:00,Hemel Hempstead Town,Eastbourne Borough,1-4,Final
2,10/10/2020,03:00,Tonbridge Angels,Hungerford Town,0-2,Final
3,17/10/2020,03:00,Billericay Town,Havant & Waterlooville,1-2,Final
3,17/10/2020,03:00,Braintree Town,Dorking FC,0-4,Final
3,17/10/2020,03:00,Dartford FC,Bath City FC,1-0,Final
3,17/10/2020,03:00,Dulwich Hamlet,Chippenham Town,0-2,Final
3,17/10/2020,03:00,Eastbourne Borough,Chelmsford City,1-1,Final
3,17/10/2020,03:00,Hungerford Town,Concord Rangers,1-0,Final
3,17/10/2020,03:00,Maidstone United,Hemel Hempstead Town,4-1,Final
3,17/10/2020,03:00,Oxford City,Tonbridge Angels,4-0,Final
3,17/10/2020,03:00,Slough Town,Welling United FC,4-4,Final
