matchday,date,time,home_team,away_team,result,status
1,08/08/2020,03:00,Club Brugge KV,Sporting Charleroi,0-1,Final
1,08/08/2020,03:00,Royal Antwerp FC,Royal Excel Mouscron,1-1,Final
1,08/08/2020,03:00,Standard Lieja,Cercle Brugge,1-0,Final
1,09/08/2020,03:00,Sint-Truidense VV,KAA Gent,2-1,Final
1,09/08/2020,03:00,SV Zulte Waregem,KRC Genk,1-2,Final
1,09/08/2020,03:00,KV Mechelen,RSC Anderlecht,2-2,Final
1,09/08/2020,03:00,KV Kortrijk,SK Beveren,1-3,Final
1,10/08/2020,03:00,KV Oostende,K Beerschot VA,1-2,Final
1,10/08/2020,03:00,Oud-Heverlee Leuven,KAS Eupen,1-1,Final
2,14/08/2020,03:00,Royal Excel Mouscron,KV Mechelen,0-1,Final
2,15/08/2020,03:00,KRC Genk,Oud-Heverlee Leuven,1-1,Final
2,15/08/2020,03:00,KAA Gent,KV Kortrijk,1-2,Final
2,15/08/2020,03:00,Sporting Charleroi,KV Oostende,1-0,Final
2,16/08/2020,03:00,Cercle Brugge,Royal Antwerp FC,2-1,Final
2,16/08/2020,03:00,K Beerschot VA,SV Zulte Waregem,3-1,Final
2,16/08/2020,03:00,KAS Eupen,Club Brugge KV,0-4,Final
2,16/08/2020,03:00,RSC Anderlecht,Sint-Truidense VV,3-1,Final
2,17/08/2020,03:00,SK Beveren,Standard Lieja,1-2,Final
3,21/08/2020,03:00,KV Kortrijk,KAS Eupen,0-0,Final
3,22/08/2020,03:00,SV Zulte Waregem,SK Beveren,4-1,Final
3,22/08/2020,03:00,KV Mechelen,Cercle Brugge,2-3,Final
3,22/08/2020,03:00,Oud-Heverlee Leuven,Sporting Charleroi,1-3,Final
3,22/08/2020,03:00,Royal Antwerp FC,KAA Gent,1-0,Final
3,23/08/2020,03:00,Standard Lieja,KRC Genk,0-0,Final
3,23/08/2020,03:00,Club Brugge KV,K Beerschot VA,0-1,Final
3,23/08/2020,03:00,RSC Anderlecht,Royal Excel Mouscron,1-1,Final
3,24/08/2020,03:00,Sint-Truidense VV,KV Oostende,0-0,Final
4,28/08/2020,03:00,KV Oostende,RSC Anderlecht,2-2,Final
4,29/08/2020,03:00,KAS Eupen,Sint-Truidense VV,1-1,Final
4,29/08/2020,03:00,Cercle Brugge,KV Kortrijk,0-1,Final
4,29/08/2020,03:00,SK Beveren,Oud-Heverlee Leuven,1-3,Final
4,29/08/2020,03:00,Royal Excel Mouscron,SV Zulte Waregem,0-1,Final
4,30/08/2020,03:00,KRC Genk,Club Brugge KV,1-2,Final
4,30/08/2020,03:00,K Beerschot VA,Standard Lieja,0-3,Final
4,30/08/2020,03:00,Sporting Charleroi,Royal Antwerp FC,2-0,Final
4,30/08/2020,03:00,KAA Gent,KV Mechelen,1-0,Final
5,11/09/2020,03:00,KAS Eupen,KAA Gent,2-1,Final
5,12/09/2020,03:00,KV Mechelen,KV Oostende,0-1,Final
5,12/09/2020,03:00,Oud-Heverlee Leuven,Standard Lieja,1-0,Final
5,12/09/2020,03:00,Club Brugge KV,SK Beveren,4-1,Final
5,13/09/2020,03:00,RSC Anderlecht,Cercle Brugge,2-0,Final
5,13/09/2020,03:00,Sint-Truidense VV,Royal Antwerp FC,2-3,Final
5,13/09/2020,03:00,SV Zulte Waregem,Sporting Charleroi,0-2,Final
5,13/09/2020,03:00,KV Kortrijk,Royal Excel Mouscron,3-0,Final
5,14/09/2020,03:00,K Beerschot VA,KRC Genk,5-2,Final
6,18/09/2020,03:00,Sporting Charleroi,K Beerschot VA,3-1,Final
6,19/09/2020,03:00,KV Oostende,Oud-Heverlee Leuven,3-1,Final
6,19/09/2020,03:00,Royal Excel Mouscron,KAA Gent,0-1,Final
6,19/09/2020,03:00,SK Beveren,RSC Anderlecht,2-4,Final
6,20/09/2020,03:00,SV Zulte Waregem,Club Brugge KV,0-6,Final
6,20/09/2020,03:00,Standard Lieja,KV Kortrijk,2-1,Final
6,20/09/2020,03:00,KRC Genk,KV Mechelen,3-1,Final
6,20/09/2020,03:00,Royal Antwerp FC,KAS Eupen,2-2,Final
6,21/09/2020,03:00,Cercle Brugge,Sint-Truidense VV,3-0,Final
7,25/09/2020,03:00,KV Kortrijk,Royal Antwerp FC,1-3,Final
7,26/09/2020,03:00,K Beerschot VA,SK Beveren,3-2,Final
7,26/09/2020,03:00,KV Mechelen,Sint-Truidense VV,2-0,Final
7,26/09/2020,03:00,KAA Gent,Oud-Heverlee Leuven,2-3,Final
7,27/09/2020,03:00,Standard Lieja,SV Zulte Waregem,2-2,Final
7,27/09/2020,03:00,RSC Anderlecht,KAS Eupen,1-1,Final
7,27/09/2020,03:00,Club Brugge KV,Cercle Brugge,2-1,Final
7,27/09/2020,03:00,Royal Excel Mouscron,Sporting Charleroi,1-1,Final
7,28/09/2020,03:00,KRC Genk,KV Oostende,2-2,Final
8,02/10/2020,03:00,Royal Antwerp FC,KV Mechelen,4-1,Final
8,03/10/2020,03:00,SK Beveren,KRC Genk,1-1,Final
8,03/10/2020,03:00,KAS Eupen,Cercle Brugge,1-2,Final
8,03/10/2020,03:00,Oud-Heverlee Leuven,SV Zulte Waregem,2-1,Final
8,03/10/2020,03:00,Sint-Truidense VV,KV Kortrijk,0-0,Final
8,04/10/2020,03:00,Club Brugge KV,RSC Anderlecht,3-0,Final
8,04/10/2020,03:00,KAA Gent,K Beerschot VA,5-1,Final
8,04/10/2020,03:00,Sporting Charleroi,Standard Lieja,1-2,Final
8,04/10/2020,03:00,KV Oostende,Royal Excel Mouscron,3-0,Final
9,17/10/2020,03:00,Cercle Brugge,KAA Gent,5-2,Final
9,17/10/2020,03:00,K Beerschot VA,Sint-Truidense VV,6-3,Final
9,17/10/2020,03:00,KV Mechelen,KV Kortrijk,1-2,Final
9,17/10/2020,03:00,Standard Lieja,Club Brugge KV,1-1,Final
9,18/10/2020,03:00,SV Zulte Waregem,Royal Antwerp FC,1-3,Final
9,18/10/2020,03:00,Royal Excel Mouscron,KAS Eupen,0-2,Final
9,18/10/2020,03:00,KRC Genk,Sporting Charleroi,2-1,Final
9,18/10/2020,03:00,RSC Anderlecht,Oud-Heverlee Leuven,2-2,Final
9,24/11/2020,03:00,SK Beveren,KV Oostende,2-0,Final
10,23/10/2020,03:00,KV Kortrijk,RSC Anderlecht,1-3,Final
10,24/10/2020,03:00,Oud-Heverlee Leuven,Club Brugge KV,2-1,Final
10,25/10/2020,03:00,Royal Antwerp FC,K Beerschot VA,3-2,Final
10,25/10/2020,03:00,KV Oostende,SV Zulte Waregem,3-0,Final
10,25/10/2020,03:00,Sint-Truidense VV,Standard Lieja,2-0,Final
10,26/10/2020,03:00,KAA Gent,KRC Genk,1-2,Final
10,25/11/2020,03:00,Cercle Brugge,Royal Excel Mouscron,1-2,Final
10,02/12/2020,03:00,Sporting Charleroi,SK Beveren,0-2,Final
10,03/12/2020,03:00,KAS Eupen,KV Mechelen,1-1,Final
11,30/10/2020,03:00,KRC Genk,KAS Eupen,4-0,Final
11,31/10/2020,03:00,K Beerschot VA,Oud-Heverlee Leuven,4-2,Final
11,31/10/2020,03:00,Sporting Charleroi,Cercle Brugge,3-0,Final
11,31/10/2020,03:00,Club Brugge KV,KV Mechelen,2-2,Final
11,01/11/2020,03:00,RSC Anderlecht,Royal Antwerp FC,1-0,Final
11,01/11/2020,03:00,Standard Lieja,KV Oostende,1-0,Final
11,01/11/2020,03:00,SK Beveren,KAA Gent,1-4,Final
11,02/11/2020,03:00,SV Zulte Waregem,KV Kortrijk,1-1,Final
11,01/12/2020,03:00,Royal Excel Mouscron,Sint-Truidense VV,3-2,Final
12,06/11/2020,03:00,KV Mechelen,Sporting Charleroi,3-3,Final
12,07/11/2020,03:00,KV Kortrijk,K Beerschot VA,5-5,Final
12,07/11/2020,03:00,KAS Eupen,SK Beveren,1-1,Final
12,07/11/2020,03:00,Sint-Truidense VV,KRC Genk,1-2,Final
12,08/11/2020,03:00,Royal Antwerp FC,Standard Lieja,1-1,Final
12,08/11/2020,03:00,KV Oostende,Club Brugge KV,1-3,Final
12,08/11/2020,03:00,KAA Gent,RSC Anderlecht,1-1,Final
12,08/11/2020,03:00,Cercle Brugge,SV Zulte Waregem,1-3,Final
12,08/12/2020,03:00,Oud-Heverlee Leuven,Royal Excel Mouscron,2-0,Final
13,21/11/2020,03:00,Standard Lieja,KAS Eupen,2-2,Final
13,21/11/2020,03:00,KV Oostende,Royal Antwerp FC,1-1,Final
13,21/11/2020,03:00,SK Beveren,Cercle Brugge,0-2,Final
13,21/11/2020,03:00,Club Brugge KV,KV Kortrijk,1-0,Final
13,22/11/2020,03:00,K Beerschot VA,RSC Anderlecht,2-1,Final
13,22/11/2020,03:00,SV Zulte Waregem,KV Mechelen,1-2,Final
13,22/11/2020,03:00,Sporting Charleroi,KAA Gent,0-1,Final
13,22/11/2020,03:00,KRC Genk,Royal Excel Mouscron,4-1,Final
13,23/11/2020,03:00,Oud-Heverlee Leuven,Sint-Truidense VV,2-2,Final
14,27/11/2020,03:00,KAS Eupen,Sporting Charleroi,3-1,Final
