matchday,date,time,home_team,away_team,result,status
1,19/09/2020,03:00,ACF Fiorentina,Torino FC,1-0,Final
1,19/09/2020,03:00,Hellas Verona,AS Roma,3-0,Final
1,20/09/2020,03:00,Parma Calcio 1913,SSC Napoli,0-2,Final
1,20/09/2020,03:00,Genoa CFC,FC Crotone,4-1,Final
1,20/09/2020,03:00,Sassuolo Calcio,Cagliari Calcio,1-1,Final
1,20/09/2020,03:00,Juventus,Sampdoria,3-0,Final
1,21/09/2020,03:00,AC Milan,Bologna FC,2-0,Final
1,30/09/2020,03:00,Benevento Calcio,Inter,2-5,Final
1,30/09/2020,03:00,Udinese Calcio,Spezia Calcio,0-2,Final
1,30/09/2020,03:00,Lazio Roma,Atalanta,1-4,Final
2,26/09/2020,03:00,Torino FC,Atalanta,2-4,Final
2,26/09/2020,03:00,Cagliari Calcio,Lazio Roma,0-2,Final
2,26/09/2020,03:00,Sampdoria,Benevento Calcio,2-3,Final
2,26/09/2020,03:00,Inter,ACF Fiorentina,4-3,Final
2,27/09/2020,03:00,Spezia Calcio,Sassuolo Calcio,1-4,Final
2,27/09/2020,03:00,Hellas Verona,Udinese Calcio,1-0,Final
2,27/09/2020,03:00,FC Crotone,AC Milan,0-2,Final
2,27/09/2020,03:00,SSC Napoli,Genoa CFC,6-0,Final
2,27/09/2020,03:00,AS Roma,Juventus,2-2,Final
2,28/09/2020,03:00,Bologna FC,Parma Calcio 1913,4-1,Final
3,02/10/2020,03:00,ACF Fiorentina,Sampdoria,1-2,Final
3,03/10/2020,03:00,Sassuolo Calcio,FC Crotone,4-1,Final
3,03/10/2020,03:00,Udinese Calcio,AS Roma,0-1,Final
3,04/10/2020,03:00,Atalanta,Cagliari Calcio,5-2,Final
3,04/10/2020,03:00,Benevento Calcio,Bologna FC,1-0,Final
3,04/10/2020,03:00,Lazio Roma,Inter,1-1,Final
3,04/10/2020,03:00,Parma Calcio 1913,Hellas Verona,1-0,Final
3,04/10/2020,03:00,AC Milan,Spezia Calcio,3-0,Final
3,04/11/2020,03:00,Genoa CFC,Torino FC,1-2,Final
3,07/04/2021,03:00,Juventus,SSC Napoli,2-1,Final
4,17/10/2020,03:00,SSC Napoli,Atalanta,4-1,Final
4,17/10/2020,03:00,Inter,AC Milan,1-2,Final
4,17/10/2020,03:00,Sampdoria,Lazio Roma,3-0,Final
4,17/10/2020,03:00,FC Crotone,Juventus,1-1,Final
4,18/10/2020,03:00,Bologna FC,Sassuolo Calcio,3-4,Final
4,18/10/2020,03:00,Spezia Calcio,ACF Fiorentina,2-2,Final
4,18/10/2020,03:00,Torino FC,Cagliari Calcio,2-3,Final
4,18/10/2020,03:00,Udinese Calcio,Parma Calcio 1913,3-2,Final
4,18/10/2020,03:00,AS Roma,Benevento Calcio,5-2,Final
4,19/10/2020,03:00,Hellas Verona,Genoa CFC,0-0,Final
5,23/10/2020,03:00,Sassuolo Calcio,Torino FC,3-3,Final
5,24/10/2020,03:00,Atalanta,Sampdoria,1-3,Final
5,24/10/2020,03:00,Genoa CFC,Inter,0-2,Final
5,24/10/2020,03:00,Lazio Roma,Bologna FC,2-1,Final
5,25/10/2020,03:00,Cagliari Calcio,FC Crotone,4-2,Final
5,25/10/2020,03:00,Benevento Calcio,SSC Napoli,1-2,Final
5,25/10/2020,03:00,Parma Calcio 1913,Spezia Calcio,2-2,Final
5,25/10/2020,03:00,ACF Fiorentina,Udinese Calcio,3-2,Final
5,25/10/2020,03:00,Juventus,Hellas Verona,1-1,Final
5,26/10/2020,03:00,AC Milan,AS Roma,3-3,Final
6,31/10/2020,03:00,FC Crotone,Atalanta,1-2,Final
6,31/10/2020,03:00,Inter,Parma Calcio 1913,2-2,Final
