Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
19/09/2020,1,FC Lugano,FC Luzern,2-1
19/09/2020,1,BSC Young Boys,FC Zürich,2-1
20/09/2020,1,FC Basel 1893,FC Vaduz,2-2
20/09/2020,1,FC Lausanne-Sport,Servette FC,2-1
20/09/2020,1,FC St. Gallen,FC Sion,1-0
26/09/2020,2,FC Sion,BSC Young Boys,0-0
26/09/2020,2,FC Zürich,FC Lugano,2-2
27/09/2020,2,FC Luzern,FC Lausanne-Sport,2-2
27/09/2020,2,FC Vaduz,FC St. Gallen,0-1
27/09/2020,2,Servette FC,FC Basel 1893,1-0
03/10/2020,3,FC Lausanne-Sport,FC Zürich,4-0
03/10/2020,3,FC Lugano,FC Sion,2-2
04/10/2020,3,FC Basel 1893,FC Luzern,3-2
04/10/2020,3,FC St. Gallen,Servette FC,1-0
04/10/2020,3,BSC Young Boys,FC Vaduz,1-0
17/10/2020,4,FC Vaduz,FC Lugano,1-1
17/10/2020,4,Servette FC,BSC Young Boys,0-0
18/10/2020,4,FC Luzern,FC St. Gallen,2-2
18/10/2020,4,FC Sion,FC Lausanne-Sport,0-0
04/11/2020,4,FC Zürich,FC Basel 1893,1-0
24/10/2020,5,FC Vaduz,FC Zürich,1-4
24/10/2020,5,FC Lugano,FC St. Gallen,1-0
25/10/2020,5,BSC Young Boys,FC Luzern,2-1
25/11/2020,5,FC Basel 1893,FC Lausanne-Sport,2-1
25/11/2020,5,FC Sion,Servette FC,2-0
01/11/2020,6,FC St. Gallen,FC Basel 1893,1-3
02/12/2020,6,FC Lausanne-Sport,FC Vaduz,3-0
02/12/2020,6,FC Luzern,FC Sion,2-0
02/12/2020,6,Servette FC,FC Zürich,2-1
20/01/2021,6,FC Lugano,BSC Young Boys,0-2
07/11/2020,7,FC Lausanne-Sport,FC Lugano,0-1
07/11/2020,7,FC Zürich,FC Luzern,2-0
08/11/2020,7,BSC Young Boys,FC St. Gallen,0-0
09/12/2020,7,FC Basel 1893,FC Sion,4-2
09/12/2020,7,FC Vaduz,Servette FC,0-2
21/11/2020,8,FC Luzern,FC Vaduz,1-1
21/11/2020,8,BSC Young Boys,FC Basel 1893,2-1
