matchday,date,time,home_team,away_team,result,status
1,31/07/2020,03:00,Spartak Subotica,FK Zlatibor,3-0,Final
1,31/07/2020,03:00,TSC Bačka Topola,Vojvodina,2-2,Final
1,31/07/2020,03:00,Mladost Lučani,FK Javor,2-1,Final
1,01/08/2020,03:00,FK Napredak,Partizan,1-3,Final
1,01/08/2020,03:00,FK Čukarički,FK Inđija,3-0,Final
1,01/08/2020,03:00,Mačva Šabac,OFK Bačka,1-0,Final
1,01/08/2020,03:00,FK Voždovac,Radnik Surdulica,1-3,Final
1,01/08/2020,03:00,Proleter Novi Sad,FK Rad Beograd,2-0,Final
1,01/08/2020,03:00,Radnički Niš,FK Metalac,3-0,Final
1,01/08/2020,03:00,Estrella Roja de Belgrado,FK Novi Pazar,3-0,Final
2,05/08/2020,03:00,FK Inđija,FK Voždovac,0-1,Final
2,05/08/2020,03:00,FK Novi Pazar,Partizan,3-2,Final
2,05/08/2020,03:00,OFK Bačka,Spartak Subotica,1-3,Final
2,05/08/2020,03:00,FK Javor,FK Napredak,3-0,Final
2,05/08/2020,03:00,FK Metalac,Mačva Šabac,2-1,Final
2,05/08/2020,03:00,FK Rad Beograd,TSC Bačka Topola,1-3,Final
2,05/08/2020,03:00,Radnik Surdulica,Mladost Lučani,2-3,Final
2,05/08/2020,03:00,Estrella Roja de Belgrado,Radnički Niš,3-0,Final
2,05/08/2020,03:00,FK Zlatibor,Proleter Novi Sad,0-2,Final
2,05/08/2020,03:00,Vojvodina,FK Čukarički,2-2,Final
3,09/08/2020,03:00,Mačva Šabac,Estrella Roja de Belgrado,0-3,Final
3,09/08/2020,03:00,Mladost Lučani,FK Inđija,2-0,Final
3,09/08/2020,03:00,FK Napredak,Radnik Surdulica,2-1,Final
3,09/08/2020,03:00,Radnički Niš,FK Novi Pazar,2-1,Final
3,09/08/2020,03:00,Spartak Subotica,FK Metalac,4-1,Final
3,09/08/2020,03:00,TSC Bačka Topola,FK Zlatibor,5-1,Final
