matchday,date,time,home_team,away_team,result,status
1,17/07/2021,03:00,Unión de Santa Fe,Boca Juniors,1-1,Final
1,17/07/2021,03:00,Sarmiento de Junín,Estudiantes,0-3,Final
1,17/07/2021,03:00,Aldosivi,Patronato de Paraná,0-2,Final
1,17/07/2021,03:00,Lanús,Atlético Tucumán,4-2,Final
1,17/07/2021,03:00,Newell's Old Boys,Talleres de Córdoba,3-2,Final
1,17/07/2021,03:00,Gimnasia de La Plata,Platense,2-2,Final
1,18/07/2021,03:00,Vélez Sarsfield,Racing Club,0-0,Final
1,18/07/2021,03:00,Huracán,Defensa y Justicia,2-1,Final
1,18/07/2021,03:00,Arsenal de Sarandí,San Lorenzo,1-1,Final
1,18/07/2021,03:00,River Plate,Colón de Santa Fe,1-2,Final
1,19/07/2021,03:00,Independiente,Argentinos Juniors,0-0,Final
1,19/07/2021,03:00,Central Córdoba SdE,Banfield,1-1,Final
1,20/07/2021,03:00,Godoy Cruz,Rosario Central,2-1,Final
2,24/07/2021,03:00,Atlético Tucumán,Huracán,1-0,Final
2,24/07/2021,03:00,Platense,Aldosivi,0-1,Final
2,24/07/2021,03:00,Colón de Santa Fe,Lanús,1-4,Final
2,24/07/2021,03:00,San Lorenzo,Central Córdoba SdE,1-0,Final
2,24/07/2021,03:00,Racing Club,Gimnasia de La Plata,0-0,Final
2,25/07/2021,03:00,Banfield,Boca Juniors,0-0,Final
2,25/07/2021,03:00,Patronato de Paraná,Sarmiento de Junín,2-0,Final
2,25/07/2021,03:00,Defensa y Justicia,Godoy Cruz,1-2,Final
2,25/07/2021,03:00,Rosario Central,Vélez Sarsfield,1-0,Final
2,25/07/2021,03:00,River Plate,Unión de Santa Fe,4-0,Final
2,26/07/2021,03:00,Estudiantes,Independiente,0-1,Final
2,26/07/2021,03:00,Talleres de Córdoba,Arsenal de Sarandí,2-0,Final
2,27/07/2021,03:00,Argentinos Juniors,Newell's Old Boys,1-0,Final
3,27/07/2021,03:00,Huracán,Colón de Santa Fe,1-1,Final
3,27/07/2021,03:00,Aldosivi,Racing Club,0-2,Final
3,28/07/2021,03:00,Boca Juniors,San Lorenzo,0-2,Final
3,28/07/2021,03:00,Godoy Cruz,Atlético Tucumán,1-2,Final
3,28/07/2021,03:00,Unión de Santa Fe,Banfield,0-1,Final
3,28/07/2021,03:00,Sarmiento de Junín,Platense,1-0,Final
3,28/07/2021,03:00,Vélez Sarsfield,Defensa y Justicia,0-0,Final
3,28/07/2021,03:00,Independiente,Patronato de Paraná,2-0,Final
3,29/07/2021,03:00,Lanús,River Plate,0-3,Final
3,29/07/2021,03:00,Central Córdoba SdE,Talleres de Córdoba,2-1,Final
3,29/07/2021,03:00,Arsenal de Sarandí,Argentinos Juniors,1-0,Final
3,29/07/2021,03:00,Gimnasia de La Plata,Rosario Central,1-0,Final
3,30/07/2021,03:00,Newell's Old Boys,Estudiantes,4-2,Final
4,31/07/2021,03:00,Colón de Santa Fe,Godoy Cruz,1-0,Final
4,31/07/2021,03:00,Lanús,Unión de Santa Fe,1-1,Final
4,31/07/2021,03:00,Racing Club,Sarmiento de Junín,1-0,Final
4,01/08/2021,03:00,Platense,Independiente,1-1,Final
4,01/08/2021,03:00,Defensa y Justicia,Gimnasia de La Plata,3-2,Final
4,01/08/2021,03:00,Talleres de Córdoba,Boca Juniors,0-0,Final
4,01/08/2021,03:00,River Plate,Huracán,1-1,Final
4,02/08/2021,03:00,San Lorenzo,Banfield,1-1,Final
4,02/08/2021,03:00,Argentinos Juniors,Central Córdoba SdE,1-1,Final
4,02/08/2021,03:00,Patronato de Paraná,Newell's Old Boys,0-0,Final
4,03/08/2021,03:00,Estudiantes,Arsenal de Sarandí,4-0,Final
4,03/08/2021,03:00,Rosario Central,Aldosivi,1-2,Final
4,03/08/2021,03:00,Atlético Tucumán,Vélez Sarsfield,0-0,Final
5,07/08/2021,03:00,Sarmiento de Junín,Rosario Central,1-0,Final
5,07/08/2021,03:00,Newell's Old Boys,Platense,1-0,Final
5,07/08/2021,03:00,Banfield,Talleres de Córdoba,0-1,Final
5,07/08/2021,03:00,Unión de Santa Fe,San Lorenzo,4-0,Final
5,07/08/2021,03:00,Huracán,Lanús,0-1,Final
5,08/08/2021,03:00,Godoy Cruz,River Plate,2-1,Final
5,08/08/2021,03:00,Gimnasia de La Plata,Atlético Tucumán,1-0,Final
5,08/08/2021,03:00,Vélez Sarsfield,Colón de Santa Fe,0-1,Final
5,08/08/2021,03:00,Boca Juniors,Argentinos Juniors,1-1,Final
5,09/08/2021,03:00,Independiente,Racing Club,1-0,Final
5,09/08/2021,03:00,Arsenal de Sarandí,Patronato de Paraná,2-2,Final
5,09/08/2021,03:00,Aldosivi,Defensa y Justicia,1-0,Final
5,10/08/2021,03:00,Central Córdoba SdE,Estudiantes,1-2,Final
6,14/08/2021,03:00,Colón de Santa Fe,Gimnasia de La Plata,1-0,Final
6,14/08/2021,03:00,Huracán,Unión de Santa Fe,0-0,Final
6,14/08/2021,03:00,Atlético Tucumán,Aldosivi,2-2,Final
6,14/08/2021,03:00,Argentinos Juniors,Banfield,2-0,Final
6,14/08/2021,03:00,River Plate,Vélez Sarsfield,2-0,Final
6,15/08/2021,03:00,Rosario Central,Independiente,1-2,Final
6,15/08/2021,03:00,Patronato de Paraná,Central Córdoba SdE,1-0,Final
6,15/08/2021,03:00,Platense,Arsenal de Sarandí,2-1,Final
6,15/08/2021,03:00,Estudiantes,Boca Juniors,1-0,Final
6,16/08/2021,03:00,Racing Club,Newell's Old Boys,2-0,Final
6,16/08/2021,03:00,Talleres de Córdoba,San Lorenzo,2-0,Final
6,17/08/2021,03:00,Defensa y Justicia,Sarmiento de Junín,4-2,Final
6,17/08/2021,03:00,Lanús,Godoy Cruz,3-1,Final
7,20/08/2021,03:00,Aldosivi,Colón de Santa Fe,3-0,Final
7,21/08/2021,03:00,Banfield,Estudiantes,1-1,Final
7,21/08/2021,03:00,Sarmiento de Junín,Atlético Tucumán,3-0,Final
7,21/08/2021,03:00,Independiente,Defensa y Justicia,0-0,Final
7,21/08/2021,03:00,Central Córdoba SdE,Platense,2-2,Final
