matchday,date,time,home_team,away_team,result,status
1,25/04/2021,03:00,Louisville City FC,Atlanta United II,2-0,Final
1,25/04/2021,03:00,OKC Energy FC,FC Tulsa,1-3,Final
2,01/05/2021,03:00,New York RB II,Hartford Athletic,2-3,Final
2,01/05/2021,03:00,Phoenix Rising,San Diego Loyal,4-1,Final
2,01/05/2021,03:00,Ventura County FC,Sacramento Republic,0-1,Final
2,02/05/2021,03:00,Birmingham Legion,Indy Eleven,0-1,Final
2,02/05/2021,03:00,Tampa Bay Rowdies,Charlotte Independence,3-0,Final
2,02/05/2021,03:00,FC Tulsa,Sporting Kansas City 2,2-0,Final
2,02/05/2021,03:00,OKC Energy FC,Atlanta United II,0-1,Final
2,02/05/2021,03:00,Rio Grande Valley FC,New Mexico United,1-0,Final
2,02/05/2021,03:00,San Antonio FC,Colorado Springs Switchbacks,3-0,Final
2,03/05/2021,03:00,Miami FC,Loudoun United,2-1,Final
2,06/05/2021,03:00,Ventura County FC,Las Vegas Lights FC,5-0,Final
2,07/05/2021,03:00,Rio Grande Valley FC,San Diego Loyal,1-0,Final
2,08/05/2021,03:00,New York RB II,Charleston Battery,1-1,Final
2,08/05/2021,03:00,Sporting Kansas City 2,OKC Energy FC,1-1,Final
2,09/05/2021,03:00,Indy Eleven,FC Tulsa,0-2,Final
2,09/05/2021,03:00,Louisville City FC,Birmingham Legion,1-1,Final
2,09/05/2021,03:00,Miami FC,Hartford Athletic,0-1,Final
2,09/05/2021,03:00,Tampa Bay Rowdies,Pittsburgh Riverhounds,3-0,Final
2,09/05/2021,03:00,San Antonio FC,Real Monarchs SLC,2-2,Final
2,09/05/2021,03:00,El Paso Locomotive,New Mexico United,1-1,Final
2,09/05/2021,03:00,Phoenix Rising,Oakland Roots,3-0,Final
2,10/05/2021,03:00,Ventura County FC,Tacoma Defiance,1-1,Final
2,13/05/2021,03:00,Sacramento Republic,Las Vegas Lights FC,3-1,Final
2,14/05/2021,03:00,Tacoma Defiance,San Diego Loyal,3-1,Final
2,15/05/2021,03:00,Charleston Battery,Charlotte Independence,0-3,Final
2,15/05/2021,03:00,New York RB II,Miami FC,0-1,Final
2,15/05/2021,03:00,Sporting Kansas City 2,Colorado Springs Switchbacks,0-4,Final
2,15/05/2021,03:00,Real Monarchs SLC,Ventura County FC,0-2,Final
2,15/05/2021,03:00,Birmingham Legion,Memphis 901,1-0,Final
