matchday,date,time,home_team,away_team,result,status
1,23/07/2021,03:00,FC Schalke 04,Hamburgo SV,1-3,Final
1,24/07/2021,03:00,SV Darmstadt 98,Jahn Regensburg,0-2,Final
1,24/07/2021,03:00,1. FC Heidenheim 1846,SC Paderborn 07,0-0,Final
1,24/07/2021,03:00,Dynamo Dresden,FC Ingolstadt 04,3-0,Final
1,24/07/2021,03:00,Hansa Rostock,Karlsruher SC,1-3,Final
1,24/07/2021,03:00,Werder Bremen,Hanóver 96,1-1,Final
1,25/07/2021,03:00,FC St. Pauli,Holstein Kiel,3-0,Final
1,25/07/2021,03:00,1. FC Nuremberg,Erzgebirge Aue,0-0,Final
1,25/07/2021,03:00,SV Sandhausen,Fortuna Düsseldorf,0-2,Final
2,30/07/2021,03:00,Karlsruher SC,SV Darmstadt 98,3-0,Final
2,30/07/2021,03:00,SC Paderborn 07,1. FC Nuremberg,2-2,Final
2,31/07/2021,03:00,Hanóver 96,Hansa Rostock,0-3,Final
2,31/07/2021,03:00,Jahn Regensburg,SV Sandhausen,3-0,Final
2,31/07/2021,03:00,FC Ingolstadt 04,1. FC Heidenheim 1846,1-2,Final
2,31/07/2021,03:00,Fortuna Düsseldorf,Werder Bremen,2-3,Final
2,01/08/2021,03:00,Holstein Kiel,FC Schalke 04,0-3,Final
2,01/08/2021,03:00,Hamburgo SV,Dynamo Dresden,1-1,Final
2,01/08/2021,03:00,Erzgebirge Aue,FC St. Pauli,0-0,Final
3,13/08/2021,03:00,FC Schalke 04,Erzgebirge Aue,1-1,Final
3,13/08/2021,03:00,FC St. Pauli,Hamburgo SV,3-2,Final
3,14/08/2021,03:00,Holstein Kiel,Jahn Regensburg,0-3,Final
3,14/08/2021,03:00,1. FC Nuremberg,Fortuna Düsseldorf,2-0,Final
3,14/08/2021,03:00,SV Sandhausen,Karlsruher SC,0-0,Final
3,14/08/2021,03:00,Dynamo Dresden,Hanóver 96,2-0,Final
3,15/08/2021,03:00,Werder Bremen,SC Paderborn 07,1-4,Final
3,15/08/2021,03:00,SV Darmstadt 98,FC Ingolstadt 04,6-1,Final
3,15/08/2021,03:00,1. FC Heidenheim 1846,Hansa Rostock,1-1,Final
4,20/08/2021,03:00,Fortuna Düsseldorf,Holstein Kiel,2-2,Final
4,20/08/2021,03:00,Hanóver 96,1. FC Heidenheim 1846,1-0,Final
4,21/08/2021,03:00,Karlsruher SC,Werder Bremen,0-0,Final
4,21/08/2021,03:00,SC Paderborn 07,FC St. Pauli,3-1,Final
4,21/08/2021,03:00,Jahn Regensburg,FC Schalke 04,4-1,Final
4,21/08/2021,03:00,Hansa Rostock,Dynamo Dresden,1-3,Final
4,22/08/2021,03:00,Hamburgo SV,SV Darmstadt 98,2-2,Final
4,22/08/2021,03:00,Erzgebirge Aue,SV Sandhausen,1-3,Final
4,22/08/2021,03:00,FC Ingolstadt 04,1. FC Nuremberg,0-0,Final
5,27/08/2021,03:00,1. FC Nuremberg,Karlsruher SC,2-1,Final
5,27/08/2021,03:00,SV Sandhausen,FC Ingolstadt 04,0-2,Final
5,28/08/2021,03:00,Holstein Kiel,Erzgebirge Aue,3-0,Final
5,28/08/2021,03:00,SV Darmstadt 98,Hanóver 96,4-0,Final
5,28/08/2021,03:00,1. FC Heidenheim 1846,Hamburgo SV,0-0,Final
5,28/08/2021,03:00,FC Schalke 04,Fortuna Düsseldorf,3-1,Final
5,29/08/2021,03:00,Werder Bremen,Hansa Rostock,3-0,Final
5,29/08/2021,03:00,FC St. Pauli,Jahn Regensburg,2-0,Final
5,29/08/2021,03:00,Dynamo Dresden,SC Paderborn 07,0-3,Final
6,11/09/2021,03:00,Karlsruher SC,Holstein Kiel,2-2,Final
6,11/09/2021,03:00,Hanóver 96,FC St. Pauli,1-0,Final
6,11/09/2021,03:00,FC Ingolstadt 04,Werder Bremen,0-3,Final
6,11/09/2021,03:00,Hamburgo SV,SV Sandhausen,2-1,Final
6,12/09/2021,03:00,1. FC Heidenheim 1846,Dynamo Dresden,2-1,Final
6,12/09/2021,03:00,SC Paderborn 07,FC Schalke 04,0-1,Final
6,12/09/2021,03:00,Erzgebirge Aue,Fortuna Düsseldorf,0-1,Final
