Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
24/07/2021,1,Waldhof Mannheim,1. FC Magdeburg,0-2
24/07/2021,1,TSV Havelse,1. FC Saarbrücken,0-1
24/07/2021,1,1. FC Kaiserslautern,Eintracht Brunswick,0-0
24/07/2021,1,Hallescher FC,SV Meppen,3-1
24/07/2021,1,FSV Zwickau,Borussia Dortmund II,1-2
24/07/2021,1,TSV 1860 München,Würzburger Kickers,1-0
25/07/2021,1,FC Viktoria 1889 Berlin,Viktoria Köln,2-1
25/07/2021,1,SC Verl,Türkgücü München,0-0
26/07/2021,1,SC Freiburg II,SV Wehen Wiesbaden,0-0
18/08/2021,1,VfL Osnabrück,MSV Duisburg,0-1
31/07/2021,2,Viktoria Köln,FSV Zwickau,1-1
31/07/2021,2,SV Meppen,1. FC Kaiserslautern,1-0
31/07/2021,2,1. FC Magdeburg,SC Freiburg II,0-0
31/07/2021,2,SV Wehen Wiesbaden,TSV 1860 München,0-0
31/07/2021,2,1. FC Saarbrücken,VfL Osnabrück,1-2
31/07/2021,2,Borussia Dortmund II,Waldhof Mannheim,1-1
01/08/2021,2,Türkgücü München,Hallescher FC,2-2
01/08/2021,2,Eintracht Brunswick,FC Viktoria 1889 Berlin,0-4
02/08/2021,2,Würzburger Kickers,SC Verl,0-1
08/08/2021,2,MSV Duisburg,TSV Havelse,3-0
13/08/2021,3,SC Freiburg II,Borussia Dortmund II,2-5
14/08/2021,3,TSV 1860 München,Türkgücü München,1-1
14/08/2021,3,VfL Osnabrück,SV Wehen Wiesbaden,0-1
14/08/2021,3,TSV Havelse,1. FC Magdeburg,1-3
14/08/2021,3,1. FC Saarbrücken,MSV Duisburg,2-0
14/08/2021,3,FSV Zwickau,SV Meppen,1-1
14/08/2021,3,SC Verl,Viktoria Köln,3-1
15/08/2021,3,FC Viktoria 1889 Berlin,1. FC Kaiserslautern,4-0
15/08/2021,3,Waldhof Mannheim,Würzburger Kickers,1-1
16/08/2021,3,Hallescher FC,Eintracht Brunswick,0-2
20/08/2021,4,FC Viktoria 1889 Berlin,Hallescher FC,0-1
21/08/2021,4,Borussia Dortmund II,1. FC Saarbrücken,0-0
21/08/2021,4,Eintracht Brunswick,FSV Zwickau,2-0
21/08/2021,4,1. FC Magdeburg,MSV Duisburg,2-1
21/08/2021,4,1. FC Kaiserslautern,TSV 1860 München,3-0
21/08/2021,4,Viktoria Köln,Waldhof Mannheim,2-3
21/08/2021,4,SV Meppen,SC Verl,2-0
22/08/2021,4,Würzburger Kickers,VfL Osnabrück,1-1
22/08/2021,4,SV Wehen Wiesbaden,TSV Havelse,2-1
22/08/2021,4,Türkgücü München,SC Freiburg II,3-0
24/08/2021,5,TSV 1860 München,Viktoria Köln,3-0
24/08/2021,5,Waldhof Mannheim,SV Meppen,5-0
24/08/2021,5,Hallescher FC,1. FC Kaiserslautern,1-0
24/08/2021,5,FSV Zwickau,FC Viktoria 1889 Berlin,1-1
24/08/2021,5,SC Verl,Eintracht Brunswick,0-3
25/08/2021,5,VfL Osnabrück,Borussia Dortmund II,2-1
25/08/2021,5,MSV Duisburg,SV Wehen Wiesbaden,0-2
25/08/2021,5,TSV Havelse,Türkgücü München,0-3
25/08/2021,5,1. FC Saarbrücken,1. FC Magdeburg,2-1
25/08/2021,5,SC Freiburg II,Würzburger Kickers,1-0
27/08/2021,6,Hallescher FC,SC Verl,4-4
28/08/2021,6,SV Wehen Wiesbaden,1. FC Magdeburg,2-4
28/08/2021,6,FC Viktoria 1889 Berlin,Waldhof Mannheim,1-0
28/08/2021,6,1. FC Kaiserslautern,FSV Zwickau,1-1
28/08/2021,6,Türkgücü München,VfL Osnabrück,0-3
28/08/2021,6,Eintracht Brunswick,TSV 1860 München,1-1
28/08/2021,6,Viktoria Köln,SC Freiburg II,3-1
29/08/2021,6,Borussia Dortmund II,MSV Duisburg,4-1
29/08/2021,6,Würzburger Kickers,1. FC Saarbrücken,1-1
30/08/2021,6,SV Meppen,TSV Havelse,1-0
03/09/2021,7,1. FC Saarbrücken,SV Wehen Wiesbaden,3-4
04/09/2021,7,MSV Duisburg,Würzburger Kickers,2-0
04/09/2021,7,TSV 1860 München,SV Meppen,1-1
04/09/2021,7,SC Verl,FC Viktoria 1889 Berlin,3-3
04/09/2021,7,Waldhof Mannheim,Türkgücü München,3-0
04/09/2021,7,1. FC Magdeburg,1. FC Kaiserslautern,1-0
05/09/2021,7,TSV Havelse,Borussia Dortmund II,0-1
06/09/2021,7,VfL Osnabrück,Viktoria Köln,3-0
15/09/2021,7,FSV Zwickau,Hallescher FC,2-2
22/09/2021,7,SC Freiburg II,Eintracht Brunswick,0-1
10/09/2021,8,SV Meppen,SC Freiburg II,0-1
11/09/2021,8,Würzburger Kickers,TSV Havelse,0-0
