matchday,date,time,home_team,away_team,result,status
1,13/08/2021,03:00,Bor. Mönchengladbach,Bayern Munich,1-1,Final
1,14/08/2021,03:00,VfL Wolfsburgo,VfL Bochum,1-0,Final
1,14/08/2021,03:00,Union Berlín,Bayer Leverkusen,1-1,Final
1,14/08/2021,03:00,VfB Stuttgart,SpVgg Greuther Fürth,5-1,Final
1,14/08/2021,03:00,FC Augsburgo,1899 Hoffenheim,0-4,Final
1,14/08/2021,03:00,Arminia Bielefeld,SC Friburgo,0-0,Final
1,14/08/2021,03:00,Borussia Dortmund,Eintracht Francfort,5-2,Final
1,15/08/2021,03:00,1. FSV Mainz 05,RB Leipzig,1-0,Final
1,15/08/2021,03:00,1. FC Colonia,Hertha BSC,3-1,Final
2,20/08/2021,03:00,RB Leipzig,VfB Stuttgart,4-0,Final
2,21/08/2021,03:00,Eintracht Francfort,FC Augsburgo,0-0,Final
2,21/08/2021,03:00,SC Friburgo,Borussia Dortmund,2-1,Final
2,21/08/2021,03:00,Hertha BSC,VfL Wolfsburgo,1-2,Final
2,21/08/2021,03:00,VfL Bochum,1. FSV Mainz 05,2-0,Final
2,21/08/2021,03:00,SpVgg Greuther Fürth,Arminia Bielefeld,1-1,Final
2,21/08/2021,03:00,Bayer Leverkusen,Bor. Mönchengladbach,4-0,Final
2,22/08/2021,03:00,1899 Hoffenheim,Union Berlín,2-2,Final
2,22/08/2021,03:00,Bayern Munich,1. FC Colonia,3-2,Final
3,27/08/2021,03:00,Borussia Dortmund,1899 Hoffenheim,3-2,Final
3,28/08/2021,03:00,VfB Stuttgart,SC Friburgo,2-3,Final
3,28/08/2021,03:00,1. FSV Mainz 05,SpVgg Greuther Fürth,3-0,Final
3,28/08/2021,03:00,FC Augsburgo,Bayer Leverkusen,1-4,Final
3,28/08/2021,03:00,Arminia Bielefeld,Eintracht Francfort,1-1,Final
3,28/08/2021,03:00,1. FC Colonia,VfL Bochum,2-1,Final
3,28/08/2021,03:00,Bayern Munich,Hertha BSC,5-0,Final
3,29/08/2021,03:00,Union Berlín,Bor. Mönchengladbach,2-1,Final
3,29/08/2021,03:00,VfL Wolfsburgo,RB Leipzig,1-0,Final
4,11/09/2021,03:00,Bayer Leverkusen,Borussia Dortmund,3-4,Final
4,11/09/2021,03:00,Union Berlín,FC Augsburgo,0-0,Final
4,11/09/2021,03:00,SC Friburgo,1. FC Colonia,1-1,Final
4,11/09/2021,03:00,1899 Hoffenheim,1. FSV Mainz 05,0-2,Final
4,11/09/2021,03:00,SpVgg Greuther Fürth,VfL Wolfsburgo,0-2,Final
4,11/09/2021,03:00,RB Leipzig,Bayern Munich,1-4,Final
4,12/09/2021,03:00,Eintracht Francfort,VfB Stuttgart,1-1,Final
4,12/09/2021,03:00,VfL Bochum,Hertha BSC,1-3,Final
4,12/09/2021,03:00,Bor. Mönchengladbach,Arminia Bielefeld,3-1,Final
5,17/09/2021,03:00,Hertha BSC,SpVgg Greuther Fürth,2-1,Final
5,18/09/2021,03:00,Bayern Munich,VfL Bochum,7-0,Final
5,18/09/2021,03:00,1. FSV Mainz 05,SC Friburgo,0-0,Final
5,18/09/2021,03:00,FC Augsburgo,Bor. Mönchengladbach,1-0,Final
5,18/09/2021,03:00,Arminia Bielefeld,1899 Hoffenheim,0-0,Final
5,18/09/2021,03:00,1. FC Colonia,RB Leipzig,1-1,Final
5,19/09/2021,03:00,VfB Stuttgart,Bayer Leverkusen,1-3,Final
5,19/09/2021,03:00,Borussia Dortmund,Union Berlín,4-2,Final
5,19/09/2021,03:00,VfL Wolfsburgo,Eintracht Francfort,1-1,Final
6,24/09/2021,03:00,SpVgg Greuther Fürth,Bayern Munich,1-3,Final
6,25/09/2021,03:00,RB Leipzig,Hertha BSC,6-0,Final
6,25/09/2021,03:00,Eintracht Francfort,1. FC Colonia,1-1,Final
6,25/09/2021,03:00,Bayer Leverkusen,1. FSV Mainz 05,1-0,Final
6,25/09/2021,03:00,Union Berlín,Arminia Bielefeld,1-0,Final
6,25/09/2021,03:00,1899 Hoffenheim,VfL Wolfsburgo,3-1,Final
6,25/09/2021,03:00,Bor. Mönchengladbach,Borussia Dortmund,1-0,Final
6,26/09/2021,03:00,VfL Bochum,VfB Stuttgart,0-0,Final
6,26/09/2021,03:00,SC Friburgo,FC Augsburgo,3-0,Final
7,01/10/2021,03:00,1. FC Colonia,SpVgg Greuther Fürth,3-1,Final
7,02/10/2021,03:00,Borussia Dortmund,FC Augsburgo,2-1,Final
7,02/10/2021,03:00,VfL Wolfsburgo,Bor. Mönchengladbach,1-3,Final
7,02/10/2021,03:00,VfB Stuttgart,1899 Hoffenheim,3-1,Final
7,02/10/2021,03:00,Hertha BSC,SC Friburgo,1-2,Final
7,02/10/2021,03:00,RB Leipzig,VfL Bochum,3-0,Final
7,03/10/2021,03:00,1. FSV Mainz 05,Union Berlín,1-2,Final
7,03/10/2021,03:00,Bayern Munich,Eintracht Francfort,1-2,Final
7,03/10/2021,03:00,Arminia Bielefeld,Bayer Leverkusen,0-4,Final
8,15/10/2021,03:00,1899 Hoffenheim,1. FC Colonia,5-0,Final
8,16/10/2021,03:00,Borussia Dortmund,1. FSV Mainz 05,3-1,Final
8,16/10/2021,03:00,Eintracht Francfort,Hertha BSC,1-2,Final
8,16/10/2021,03:00,Union Berlín,VfL Wolfsburgo,2-0,Final
8,16/10/2021,03:00,SC Friburgo,RB Leipzig,1-1,Final
8,16/10/2021,03:00,SpVgg Greuther Fürth,VfL Bochum,0-1,Final
8,16/10/2021,03:00,Bor. Mönchengladbach,VfB Stuttgart,1-1,Final
8,17/10/2021,03:00,Bayer Leverkusen,Bayern Munich,1-5,Final
8,17/10/2021,03:00,FC Augsburgo,Arminia Bielefeld,1-1,Final
9,22/10/2021,03:00,1. FSV Mainz 05,FC Augsburgo,4-1,Final
9,23/10/2021,03:00,Bayern Munich,1899 Hoffenheim,4-0,Final
9,23/10/2021,03:00,RB Leipzig,SpVgg Greuther Fürth,4-1,Final
9,23/10/2021,03:00,VfL Wolfsburgo,SC Friburgo,0-2,Final
9,23/10/2021,03:00,Arminia Bielefeld,Borussia Dortmund,1-3,Final
9,23/10/2021,03:00,Hertha BSC,Bor. Mönchengladbach,1-0,Final
9,24/10/2021,03:00,1. FC Colonia,Bayer Leverkusen,2-2,Final
9,24/10/2021,03:00,VfB Stuttgart,Union Berlín,1-1,Final
9,24/10/2021,03:00,VfL Bochum,Eintracht Francfort,2-0,Final
10,29/10/2021,03:00,1899 Hoffenheim,Hertha BSC,2-0,Final
10,30/10/2021,03:00,Borussia Dortmund,1. FC Colonia,2-0,Final
10,30/10/2021,03:00,Bayer Leverkusen,VfL Wolfsburgo,0-2,Final
10,30/10/2021,03:00,Union Berlín,Bayern Munich,2-5,Final
10,30/10/2021,03:00,SC Friburgo,SpVgg Greuther Fürth,3-1,Final
10,30/10/2021,03:00,Arminia Bielefeld,1. FSV Mainz 05,1-2,Final
10,30/10/2021,03:00,Eintracht Francfort,RB Leipzig,1-1,Final
10,31/10/2021,03:00,FC Augsburgo,VfB Stuttgart,4-1,Final
10,31/10/2021,03:00,Bor. Mönchengladbach,VfL Bochum,2-1,Final
11,05/11/2021,03:00,1. FSV Mainz 05,Bor. Mönchengladbach,1-1,Final
11,06/11/2021,03:00,Bayern Munich,SC Friburgo,2-1,Final
11,06/11/2021,03:00,VfL Wolfsburgo,FC Augsburgo,1-0,Final
11,06/11/2021,03:00,VfB Stuttgart,Arminia Bielefeld,0-1,Final
11,06/11/2021,03:00,VfL Bochum,1899 Hoffenheim,2-0,Final
11,06/11/2021,03:00,RB Leipzig,Borussia Dortmund,2-1,Final
11,07/11/2021,03:00,Hertha BSC,Bayer Leverkusen,1-1,Final
11,07/11/2021,03:00,1. FC Colonia,Union Berlín,2-2,Final
11,07/11/2021,03:00,SpVgg Greuther Fürth,Eintracht Francfort,1-2,Final
12,19/11/2021,03:00,FC Augsburgo,Bayern Munich,2-1,Final
12,20/11/2021,03:00,Borussia Dortmund,VfB Stuttgart,2-1,Final
12,20/11/2021,03:00,Bayer Leverkusen,VfL Bochum,1-0,Final
12,20/11/2021,03:00,Bor. Mönchengladbach,SpVgg Greuther Fürth,4-0,Final
12,20/11/2021,03:00,1899 Hoffenheim,RB Leipzig,2-0,Final
12,20/11/2021,03:00,Arminia Bielefeld,VfL Wolfsburgo,2-2,Final
12,20/11/2021,03:00,Union Berlín,Hertha BSC,2-0,Final
12,21/11/2021,03:00,SC Friburgo,Eintracht Francfort,0-2,Final
12,21/11/2021,03:00,1. FSV Mainz 05,1. FC Colonia,1-1,Final
13,26/11/2021,03:00,VfB Stuttgart,1. FSV Mainz 05,2-1,Final
13,27/11/2021,03:00,VfL Wolfsburgo,Borussia Dortmund,1-3,Final
13,27/11/2021,03:00,Hertha BSC,FC Augsburgo,1-1,Final
13,27/11/2021,03:00,1. FC Colonia,Bor. Mönchengladbach,4-1,Final
13,27/11/2021,03:00,VfL Bochum,SC Friburgo,2-1,Final
13,27/11/2021,03:00,SpVgg Greuther Fürth,1899 Hoffenheim,3-6,Final
13,27/11/2021,03:00,Bayern Munich,Arminia Bielefeld,1-0,Final
13,28/11/2021,03:00,Eintracht Francfort,Union Berlín,2-1,Final
13,28/11/2021,03:00,RB Leipzig,Bayer Leverkusen,1-3,Final
14,03/12/2021,03:00,Union Berlín,RB Leipzig,2-1,Final
14,04/12/2021,03:00,Bayer Leverkusen,SpVgg Greuther Fürth,7-1,Final
14,04/12/2021,03:00,1899 Hoffenheim,Eintracht Francfort,3-2,Final
14,04/12/2021,03:00,1. FSV Mainz 05,VfL Wolfsburgo,3-0,Final
14,04/12/2021,03:00,FC Augsburgo,VfL Bochum,2-3,Final
14,04/12/2021,03:00,Arminia Bielefeld,1. FC Colonia,1-1,Final
14,04/12/2021,03:00,Borussia Dortmund,Bayern Munich,2-3,Final
14,05/12/2021,03:00,VfB Stuttgart,Hertha BSC,2-2,Final
14,05/12/2021,03:00,Bor. Mönchengladbach,SC Friburgo,0-6,Final
15,10/12/2021,03:00,1. FC Colonia,FC Augsburgo,0-2,Final
15,11/12/2021,03:00,Bayern Munich,1. FSV Mainz 05,2-1,Final
15,11/12/2021,03:00,RB Leipzig,Bor. Mönchengladbach,4-1,Final
15,11/12/2021,03:00,SC Friburgo,1899 Hoffenheim,1-2,Final
15,11/12/2021,03:00,Hertha BSC,Arminia Bielefeld,2-0,Final
15,11/12/2021,03:00,VfL Bochum,Borussia Dortmund,1-1,Final
15,11/12/2021,03:00,VfL Wolfsburgo,VfB Stuttgart,0-2,Final
15,12/12/2021,03:00,SpVgg Greuther Fürth,Union Berlín,1-0,Final
15,12/12/2021,03:00,Eintracht Francfort,Bayer Leverkusen,5-2,Final
16,14/12/2021,03:00,VfB Stuttgart,Bayern Munich,0-5,Final
16,14/12/2021,03:00,VfL Wolfsburgo,1. FC Colonia,2-3,Final
16,14/12/2021,03:00,1. FSV Mainz 05,Hertha BSC,4-0,Final
16,14/12/2021,03:00,Arminia Bielefeld,VfL Bochum,2-0,Final
16,15/12/2021,03:00,Bor. Mönchengladbach,Eintracht Francfort,2-3,Final
16,15/12/2021,03:00,Borussia Dortmund,SpVgg Greuther Fürth,3-0,Final
16,15/12/2021,03:00,Bayer Leverkusen,1899 Hoffenheim,2-2,Final
16,15/12/2021,03:00,Union Berlín,SC Friburgo,0-0,Final
16,15/12/2021,03:00,FC Augsburgo,RB Leipzig,1-1,Final
17,17/12/2021,03:00,Bayern Munich,VfL Wolfsburgo,4-0,Final
17,18/12/2021,03:00,RB Leipzig,Arminia Bielefeld,0-2,Final
17,18/12/2021,03:00,Eintracht Francfort,1. FSV Mainz 05,1-0,Final
17,18/12/2021,03:00,1899 Hoffenheim,Bor. Mönchengladbach,1-1,Final
17,18/12/2021,03:00,VfL Bochum,Union Berlín,0-1,Final
17,18/12/2021,03:00,SpVgg Greuther Fürth,FC Augsburgo,0-0,Final
17,18/12/2021,03:00,Hertha BSC,Borussia Dortmund,3-2,Final
17,19/12/2021,03:00,SC Friburgo,Bayer Leverkusen,2-1,Final
17,19/12/2021,03:00,1. FC Colonia,VfB Stuttgart,1-0,Final
18,07/01/2022,03:00,Bayern Munich,Bor. Mönchengladbach,1-2,Final
18,08/01/2022,03:00,Bayer Leverkusen,Union Berlín,2-2,Final
18,08/01/2022,03:00,SpVgg Greuther Fürth,VfB Stuttgart,0-0,Final
18,08/01/2022,03:00,RB Leipzig,1. FSV Mainz 05,4-1,Final
18,08/01/2022,03:00,1899 Hoffenheim,FC Augsburgo,3-1,Final
18,08/01/2022,03:00,SC Friburgo,Arminia Bielefeld,2-2,Final
18,08/01/2022,03:00,Eintracht Francfort,Borussia Dortmund,2-3,Final
18,09/01/2022,03:00,Hertha BSC,1. FC Colonia,1-3,Final
18,09/01/2022,03:00,VfL Bochum,VfL Wolfsburgo,1-0,Final
19,14/01/2022,03:00,Borussia Dortmund,SC Friburgo,5-1,Final
19,15/01/2022,03:00,1. FC Colonia,Bayern Munich,0-4,Final
19,15/01/2022,03:00,VfB Stuttgart,RB Leipzig,0-2,Final
19,15/01/2022,03:00,Union Berlín,1899 Hoffenheim,2-1,Final
19,15/01/2022,03:00,VfL Wolfsburgo,Hertha BSC,0-0,Final
19,15/01/2022,03:00,1. FSV Mainz 05,VfL Bochum,1-0,Final
19,15/01/2022,03:00,Bor. Mönchengladbach,Bayer Leverkusen,1-2,Final
19,16/01/2022,03:00,FC Augsburgo,Eintracht Francfort,1-1,Final
19,16/01/2022,03:00,Arminia Bielefeld,SpVgg Greuther Fürth,2-2,Final
20,21/01/2022,03:00,Eintracht Francfort,Arminia Bielefeld,0-2,Final
20,22/01/2022,03:00,1899 Hoffenheim,Borussia Dortmund,2-3,Final
20,22/01/2022,03:00,Bor. Mönchengladbach,Union Berlín,1-2,Final
20,22/01/2022,03:00,SC Friburgo,VfB Stuttgart,2-0,Final
20,22/01/2022,03:00,SpVgg Greuther Fürth,1. FSV Mainz 05,2-1,Final
20,22/01/2022,03:00,Bayer Leverkusen,FC Augsburgo,5-1,Final
20,22/01/2022,03:00,VfL Bochum,1. FC Colonia,2-2,Final
20,23/01/2022,03:00,RB Leipzig,VfL Wolfsburgo,2-0,Final
20,23/01/2022,03:00,Hertha BSC,Bayern Munich,1-4,Final
21,04/02/2022,03:00,Hertha BSC,VfL Bochum,1-1,Final
21,05/02/2022,03:00,VfB Stuttgart,Eintracht Francfort,2-3,Final
21,05/02/2022,03:00,FC Augsburgo,Union Berlín,2-0,Final
21,05/02/2022,03:00,Arminia Bielefeld,Bor. Mönchengladbach,1-1,Final
21,05/02/2022,03:00,1. FC Colonia,SC Friburgo,1-0,Final
21,05/02/2022,03:00,1. FSV Mainz 05,1899 Hoffenheim,2-0,Final
21,05/02/2022,03:00,Bayern Munich,RB Leipzig,3-2,Final
21,06/02/2022,03:00,Borussia Dortmund,Bayer Leverkusen,2-5,Final
21,06/02/2022,03:00,VfL Wolfsburgo,SpVgg Greuther Fürth,4-1,Final
22,11/02/2022,03:00,RB Leipzig,1. FC Colonia,3-1,Final
22,12/02/2022,03:00,VfL Bochum,Bayern Munich,4-2,Final
22,12/02/2022,03:00,Eintracht Francfort,VfL Wolfsburgo,0-2,Final
22,12/02/2022,03:00,SC Friburgo,1. FSV Mainz 05,1-1,Final
22,12/02/2022,03:00,Bor. Mönchengladbach,FC Augsburgo,3-2,Final
22,12/02/2022,03:00,SpVgg Greuther Fürth,Hertha BSC,2-1,Final
22,12/02/2022,03:00,Bayer Leverkusen,VfB Stuttgart,4-2,Final
22,13/02/2022,03:00,Union Berlín,Borussia Dortmund,0-3,Final
22,13/02/2022,03:00,1899 Hoffenheim,Arminia Bielefeld,2-0,Final
23,18/02/2022,03:00,1. FSV Mainz 05,Bayer Leverkusen,3-2,Final
23,19/02/2022,03:00,Arminia Bielefeld,Union Berlín,1-0,Final
23,19/02/2022,03:00,FC Augsburgo,SC Friburgo,1-2,Final
23,19/02/2022,03:00,VfL Wolfsburgo,1899 Hoffenheim,1-2,Final
23,19/02/2022,03:00,VfB Stuttgart,VfL Bochum,1-1,Final
23,19/02/2022,03:00,1. FC Colonia,Eintracht Francfort,1-0,Final
23,20/02/2022,03:00,Bayern Munich,SpVgg Greuther Fürth,4-1,Final
23,20/02/2022,03:00,Borussia Dortmund,Bor. Mönchengladbach,6-0,Final
23,20/02/2022,03:00,Hertha BSC,RB Leipzig,1-6,Final
24,25/02/2022,03:00,1899 Hoffenheim,VfB Stuttgart,2-1,Final
24,26/02/2022,03:00,Bor. Mönchengladbach,VfL Wolfsburgo,2-2,Final
24,26/02/2022,03:00,Union Berlín,1. FSV Mainz 05,3-1,Final
24,26/02/2022,03:00,SC Friburgo,Hertha BSC,3-0,Final
24,26/02/2022,03:00,Bayer Leverkusen,Arminia Bielefeld,3-0,Final
24,26/02/2022,03:00,SpVgg Greuther Fürth,1. FC Colonia,1-1,Final
24,26/02/2022,03:00,Eintracht Francfort,Bayern Munich,0-1,Final
24,27/02/2022,03:00,VfL Bochum,RB Leipzig,0-1,Final
24,27/02/2022,03:00,FC Augsburgo,Borussia Dortmund,1-1,Final
25,04/03/2022,03:00,Arminia Bielefeld,FC Augsburgo,0-1,Final
25,05/03/2022,03:00,Hertha BSC,Eintracht Francfort,1-4,Final
25,05/03/2022,03:00,Bayern Munich,Bayer Leverkusen,1-1,Final
25,05/03/2022,03:00,VfL Wolfsburgo,Union Berlín,1-0,Final
25,05/03/2022,03:00,RB Leipzig,SC Friburgo,1-1,Final
25,05/03/2022,03:00,VfL Bochum,SpVgg Greuther Fürth,2-1,Final
25,05/03/2022,03:00,VfB Stuttgart,Bor. Mönchengladbach,3-2,Final
25,06/03/2022,03:00,1. FC Colonia,1899 Hoffenheim,0-1,Final
25,16/03/2022,03:00,1. FSV Mainz 05,Borussia Dortmund,0-1,Final
26,12/03/2022,03:00,1899 Hoffenheim,Bayern Munich,1-1,Final
26,12/03/2022,03:00,SC Friburgo,VfL Wolfsburgo,3-2,Final
26,12/03/2022,03:00,Union Berlín,VfB Stuttgart,1-1,Final
26,12/03/2022,03:00,Bor. Mönchengladbach,Hertha BSC,2-0,Final
26,13/03/2022,03:00,Bayer Leverkusen,1. FC Colonia,0-1,Final
26,13/03/2022,03:00,Borussia Dortmund,Arminia Bielefeld,1-0,Final
26,13/03/2022,03:00,Eintracht Francfort,VfL Bochum,2-1,Final
26,13/03/2022,03:00,SpVgg Greuther Fürth,RB Leipzig,1-6,Final
26,06/04/2022,03:00,FC Augsburgo,1. FSV Mainz 05,2-1,Final
27,18/03/2022,03:00,VfL Bochum,Bor. Mönchengladbach,0-2,Final
27,19/03/2022,03:00,SpVgg Greuther Fürth,SC Friburgo,0-0,Final
27,19/03/2022,03:00,Hertha BSC,1899 Hoffenheim,3-0,Final
27,19/03/2022,03:00,VfB Stuttgart,FC Augsburgo,3-2,Final
27,19/03/2022,03:00,1. FSV Mainz 05,Arminia Bielefeld,4-0,Final
27,19/03/2022,03:00,Bayern Munich,Union Berlín,4-0,Final
27,20/03/2022,03:00,RB Leipzig,Eintracht Francfort,0-0,Final
27,20/03/2022,03:00,VfL Wolfsburgo,Bayer Leverkusen,0-2,Final
27,20/03/2022,03:00,1. FC Colonia,Borussia Dortmund,1-1,Final
28,01/04/2022,03:00,Union Berlín,1. FC Colonia,1-0,Final
28,02/04/2022,03:00,SC Friburgo,Bayern Munich,1-4,Final
28,02/04/2022,03:00,Arminia Bielefeld,VfB Stuttgart,1-1,Final
