Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
15/09/2021,1,Manchester City,RB Leipzig,6-3
15/09/2021,1,Club Brugge KV,Paris Saint-Germain,1-1
28/09/2021,2,Paris Saint-Germain,Manchester City,2-0
28/09/2021,2,RB Leipzig,Club Brugge KV,1-2
19/10/2021,3,Club Brugge KV,Manchester City,1-5
19/10/2021,3,Paris Saint-Germain,RB Leipzig,3-2
03/11/2021,4,RB Leipzig,Paris Saint-Germain,2-2
03/11/2021,4,Manchester City,Club Brugge KV,4-1
24/11/2021,5,Manchester City,Paris Saint-Germain,2-1
24/11/2021,5,Club Brugge KV,RB Leipzig,0-5
07/12/2021,6,RB Leipzig,Manchester City,2-1
07/12/2021,6,Paris Saint-Germain,Club Brugge KV,4-1
15/09/2021,1,Atlético de Madrid,FC Porto,0-0
15/09/2021,1,Liverpool FC,AC Milan,3-2
28/09/2021,2,FC Porto,Liverpool FC,1-5
28/09/2021,2,AC Milan,Atlético de Madrid,1-2
19/10/2021,3,Atlético de Madrid,Liverpool FC,2-3
19/10/2021,3,FC Porto,AC Milan,1-0
03/11/2021,4,AC Milan,FC Porto,1-1
03/11/2021,4,Liverpool FC,Atlético de Madrid,2-0
24/11/2021,5,Liverpool FC,FC Porto,2-0
24/11/2021,5,Atlético de Madrid,AC Milan,0-1
07/12/2021,6,FC Porto,Atlético de Madrid,1-3
07/12/2021,6,AC Milan,Liverpool FC,1-2
15/09/2021,1,Beşiktaş,Borussia Dortmund,1-2
15/09/2021,1,Sporting CP,AFC Ajax,1-5
28/09/2021,2,AFC Ajax,Beşiktaş,2-0
28/09/2021,2,Borussia Dortmund,Sporting CP,1-0
19/10/2021,3,Beşiktaş,Sporting CP,1-4
19/10/2021,3,AFC Ajax,Borussia Dortmund,4-0
03/11/2021,4,Borussia Dortmund,AFC Ajax,1-3
03/11/2021,4,Sporting CP,Beşiktaş,4-0
24/11/2021,5,Beşiktaş,AFC Ajax,1-2
24/11/2021,5,Sporting CP,Borussia Dortmund,3-1
07/12/2021,6,AFC Ajax,Sporting CP,4-2
07/12/2021,6,Borussia Dortmund,Beşiktaş,5-0
15/09/2021,1,FC Sheriff,Shajtar Donetsk,2-0
15/09/2021,1,Inter,Real Madrid,0-1
28/09/2021,2,Shajtar Donetsk,Inter,0-0
28/09/2021,2,Real Madrid,FC Sheriff,1-2
19/10/2021,3,Shajtar Donetsk,Real Madrid,0-5
19/10/2021,3,Inter,FC Sheriff,3-1
03/11/2021,4,Real Madrid,Shajtar Donetsk,2-1
03/11/2021,4,FC Sheriff,Inter,1-3
24/11/2021,5,Inter,Shajtar Donetsk,2-0
24/11/2021,5,FC Sheriff,Real Madrid,0-3
07/12/2021,6,Real Madrid,Inter,2-0
07/12/2021,6,Shajtar Donetsk,FC Sheriff,1-1
14/09/2021,1,FC Barcelona,Bayern Munich,0-3
14/09/2021,1,Dinamo Kiev,SL Benfica,0-0
29/09/2021,2,SL Benfica,FC Barcelona,3-0
29/09/2021,2,Bayern Munich,Dinamo Kiev,5-0
20/10/2021,3,FC Barcelona,Dinamo Kiev,1-0
20/10/2021,3,SL Benfica,Bayern Munich,0-4
02/11/2021,4,Bayern Munich,SL Benfica,5-2
02/11/2021,4,Dinamo Kiev,FC Barcelona,0-1
23/11/2021,5,Dinamo Kiev,Bayern Munich,1-2
23/11/2021,5,FC Barcelona,SL Benfica,0-0
08/12/2021,6,Bayern Munich,FC Barcelona,3-0
08/12/2021,6,SL Benfica,Dinamo Kiev,2-0
14/09/2021,1,BSC Young Boys,Manchester United,2-1
14/09/2021,1,Villarreal CF,Atalanta,2-2
29/09/2021,2,Atalanta,BSC Young Boys,1-0
29/09/2021,2,Manchester United,Villarreal CF,2-1
20/10/2021,3,Manchester United,Atalanta,3-2
20/10/2021,3,BSC Young Boys,Villarreal CF,1-4
02/11/2021,4,Atalanta,Manchester United,2-2
02/11/2021,4,Villarreal CF,BSC Young Boys,2-0
23/11/2021,5,Villarreal CF,Manchester United,0-2
23/11/2021,5,BSC Young Boys,Atalanta,3-3
08/12/2021,6,Manchester United,BSC Young Boys,1-1
09/12/2021,6,Atalanta,Villarreal CF,2-3
14/09/2021,1,Sevilla FC,Red Bull Salzburgo,1-1
14/09/2021,1,Lille OSC,VfL Wolfsburgo,0-0
29/09/2021,2,Red Bull Salzburgo,Lille OSC,2-1
29/09/2021,2,VfL Wolfsburgo,Sevilla FC,1-1
20/10/2021,3,Red Bull Salzburgo,VfL Wolfsburgo,3-1
20/10/2021,3,Lille OSC,Sevilla FC,0-0
02/11/2021,4,VfL Wolfsburgo,Red Bull Salzburgo,2-1
02/11/2021,4,Sevilla FC,Lille OSC,1-2
23/11/2021,5,Lille OSC,Red Bull Salzburgo,1-0
23/11/2021,5,Sevilla FC,VfL Wolfsburgo,2-0
08/12/2021,6,Red Bull Salzburgo,Sevilla FC,1-0
08/12/2021,6,VfL Wolfsburgo,Lille OSC,1-3
14/09/2021,1,Chelsea FC,Zenit de San Petersburgo,1-0
14/09/2021,1,Malmö FF,Juventus,0-3
29/09/2021,2,Zenit de San Petersburgo,Malmö FF,4-0
29/09/2021,2,Juventus,Chelsea FC,1-0
20/10/2021,3,Zenit de San Petersburgo,Juventus,0-1
20/10/2021,3,Chelsea FC,Malmö FF,4-0
02/11/2021,4,Malmö FF,Chelsea FC,0-1
02/11/2021,4,Juventus,Zenit de San Petersburgo,4-2
23/11/2021,5,Chelsea FC,Juventus,4-0
23/11/2021,5,Malmö FF,Zenit de San Petersburgo,1-1
08/12/2021,6,Zenit de San Petersburgo,Chelsea FC,3-3
08/12/2021,6,Juventus,Malmö FF,1-0
15/02/2022,6,Sporting CP,Manchester City,0-5
15/02/2022,6,Paris Saint-Germain,Real Madrid,1-0
16/02/2022,6,Red Bull Salzburgo,Bayern Munich,1-1
16/02/2022,6,Inter,Liverpool FC,0-2
22/02/2022,6,Chelsea FC,Lille OSC,2-0
22/02/2022,6,Villarreal CF,Juventus,1-1
23/02/2022,6,SL Benfica,AFC Ajax,2-2
23/02/2022,6,Atlético de Madrid,Manchester United,1-1
08/03/2022,6,Bayern Munich,Red Bull Salzburgo,7-1
08/03/2022,6,Liverpool FC,Inter,0-1
09/03/2022,6,Manchester City,Sporting CP,0-0
09/03/2022,6,Real Madrid,Paris Saint-Germain,3-1
15/03/2022,6,AFC Ajax,SL Benfica,0-1
15/03/2022,6,Manchester United,Atlético de Madrid,0-1
16/03/2022,6,Lille OSC,Chelsea FC,1-2
16/03/2022,6,Juventus,Villarreal CF,0-3
05/04/2022,6,Manchester City,Atlético de Madrid,1-0
05/04/2022,6,SL Benfica,Liverpool FC,1-3
06/04/2022,6,Chelsea FC,Real Madrid,1-3
06/04/2022,6,Villarreal CF,Bayern Munich,1-0
12/04/2022,6,Real Madrid,Chelsea FC,2-3
12/04/2022,6,Bayern Munich,Villarreal CF,1-1
13/04/2022,6,Atlético de Madrid,Manchester City,0-0
13/04/2022,6,Liverpool FC,SL Benfica,3-3
26/04/2022,6,Manchester City,Real Madrid,4-3
27/04/2022,6,Liverpool FC,Villarreal CF,2-0
03/05/2022,6,Villarreal CF,Liverpool FC,2-3
04/05/2022,6,Real Madrid,Manchester City,3-1
28/05/2022,6,Liverpool FC,Real Madrid,0-1
