matchday,date,time,home_team,away_team,result,status
1,06/08/2021,03:00,AFC Bournemouth,West Bromwich Albion,2-2,Final
1,07/08/2021,03:00,Blackburn Rovers,Swansea City,2-1,Final
1,07/08/2021,03:00,Bristol City,Blackpool FC,1-1,Final
1,07/08/2021,03:00,Cardiff City,Barnsley FC,1-1,Final
1,07/08/2021,03:00,Derby County,Huddersfield Town,1-1,Final
1,07/08/2021,03:00,Luton Town,Peterborough United,3-0,Final
1,07/08/2021,03:00,Preston North End,Hull City,1-4,Final
1,07/08/2021,03:00,Queens Park Rangers,Millwall FC,1-1,Final
1,07/08/2021,03:00,Stoke City,Reading FC,3-2,Final
1,07/08/2021,03:00,Sheffield United,Birmingham City,0-1,Final
1,08/08/2021,03:00,Fulham FC,Middlesbrough FC,1-1,Final
1,08/08/2021,03:00,Coventry City,Nottingham Forest,2-1,Final
2,14/08/2021,03:00,Peterborough United,Derby County,2-1,Final
2,14/08/2021,03:00,Birmingham City,Stoke City,0-0,Final
2,14/08/2021,03:00,Blackpool FC,Cardiff City,0-2,Final
2,14/08/2021,03:00,Barnsley FC,Coventry City,1-0,Final
2,14/08/2021,03:00,Middlesbrough FC,Bristol City,2-1,Final
2,14/08/2021,03:00,Millwall FC,Blackburn Rovers,1-1,Final
2,14/08/2021,03:00,Reading FC,Preston North End,2-1,Final
2,14/08/2021,03:00,Huddersfield Town,Fulham FC,1-5,Final
2,14/08/2021,03:00,Hull City,Queens Park Rangers,0-3,Final
2,14/08/2021,03:00,Nottingham Forest,AFC Bournemouth,1-2,Final
2,14/08/2021,03:00,West Bromwich Albion,Luton Town,3-2,Final
2,14/08/2021,03:00,Swansea City,Sheffield United,0-0,Final
3,17/08/2021,03:00,Blackpool FC,Coventry City,0-1,Final
3,17/08/2021,03:00,Barnsley FC,Luton Town,0-1,Final
3,17/08/2021,03:00,Millwall FC,Fulham FC,1-2,Final
3,17/08/2021,03:00,Huddersfield Town,Preston North End,1-0,Final
3,17/08/2021,03:00,Peterborough United,Cardiff City,2-2,Final
3,17/08/2021,03:00,Swansea City,Stoke City,1-3,Final
3,17/08/2021,03:00,Reading FC,Bristol City,2-3,Final
3,18/08/2021,03:00,Birmingham City,AFC Bournemouth,0-2,Final
3,18/08/2021,03:00,Middlesbrough FC,Queens Park Rangers,2-3,Final
3,18/08/2021,03:00,Hull City,Derby County,0-1,Final
3,18/08/2021,03:00,Nottingham Forest,Blackburn Rovers,1-2,Final
3,18/08/2021,03:00,West Bromwich Albion,Sheffield United,4-0,Final
4,20/08/2021,03:00,Bristol City,Swansea City,0-1,Final
4,21/08/2021,03:00,Queens Park Rangers,Barnsley FC,2-2,Final
4,21/08/2021,03:00,AFC Bournemouth,Blackpool FC,2-2,Final
4,21/08/2021,03:00,Blackburn Rovers,West Bromwich Albion,1-2,Final
4,21/08/2021,03:00,Cardiff City,Millwall FC,3-1,Final
4,21/08/2021,03:00,Coventry City,Reading FC,2-1,Final
4,21/08/2021,03:00,Derby County,Middlesbrough FC,0-0,Final
4,21/08/2021,03:00,Fulham FC,Hull City,2-0,Final
4,21/08/2021,03:00,Luton Town,Birmingham City,0-5,Final
4,21/08/2021,03:00,Preston North End,Peterborough United,1-0,Final
4,21/08/2021,03:00,Sheffield United,Huddersfield Town,1-2,Final
4,21/08/2021,03:00,Stoke City,Nottingham Forest,1-0,Final
5,28/08/2021,03:00,Cardiff City,Bristol City,1-2,Final
5,28/08/2021,03:00,Derby County,Nottingham Forest,1-1,Final
5,28/08/2021,03:00,Barnsley FC,Birmingham City,1-1,Final
5,28/08/2021,03:00,Fulham FC,Stoke City,3-0,Final
5,28/08/2021,03:00,Middlesbrough FC,Blackburn Rovers,1-1,Final
5,28/08/2021,03:00,Millwall FC,Blackpool FC,2-1,Final
5,28/08/2021,03:00,Huddersfield Town,Reading FC,4-0,Final
5,28/08/2021,03:00,Hull City,AFC Bournemouth,0-0,Final
5,28/08/2021,03:00,Luton Town,Sheffield United,0-0,Final
5,28/08/2021,03:00,Preston North End,Swansea City,3-1,Final
5,28/08/2021,03:00,Queens Park Rangers,Coventry City,2-0,Final
5,28/08/2021,03:00,Peterborough United,West Bromwich Albion,0-1,Final
6,10/09/2021,03:00,Birmingham City,Derby County,2-0,Final
6,11/09/2021,03:00,AFC Bournemouth,Barnsley FC,3-0,Final
6,11/09/2021,03:00,Blackburn Rovers,Luton Town,2-2,Final
6,11/09/2021,03:00,Blackpool FC,Fulham FC,1-0,Final
6,11/09/2021,03:00,Bristol City,Preston North End,0-0,Final
6,11/09/2021,03:00,Coventry City,Middlesbrough FC,2-0,Final
6,11/09/2021,03:00,Reading FC,Queens Park Rangers,3-3,Final
6,11/09/2021,03:00,Sheffield United,Peterborough United,6-2,Final
6,11/09/2021,03:00,Stoke City,Huddersfield Town,2-1,Final
6,11/09/2021,03:00,Swansea City,Hull City,0-0,Final
6,11/09/2021,03:00,West Bromwich Albion,Millwall FC,1-1,Final
6,12/09/2021,03:00,Nottingham Forest,Cardiff City,1-2,Final
7,14/09/2021,03:00,AFC Bournemouth,Queens Park Rangers,2-1,Final
7,14/09/2021,03:00,Blackburn Rovers,Hull City,2-0,Final
7,14/09/2021,03:00,Blackpool FC,Huddersfield Town,0-3,Final
7,14/09/2021,03:00,Sheffield United,Preston North End,2-2,Final
7,14/09/2021,03:00,Reading FC,Peterborough United,3-1,Final
7,14/09/2021,03:00,West Bromwich Albion,Derby County,0-0,Final
7,15/09/2021,03:00,Birmingham City,Fulham FC,1-4,Final
7,15/09/2021,03:00,Bristol City,Luton Town,1-1,Final
7,15/09/2021,03:00,Coventry City,Cardiff City,1-0,Final
7,15/09/2021,03:00,Nottingham Forest,Middlesbrough FC,0-2,Final
7,15/09/2021,03:00,Swansea City,Millwall FC,0-0,Final
7,15/09/2021,03:00,Stoke City,Barnsley FC,1-1,Final
8,18/09/2021,03:00,Hull City,Sheffield United,1-3,Final
8,18/09/2021,03:00,Cardiff City,AFC Bournemouth,0-1,Final
8,18/09/2021,03:00,Derby County,Stoke City,2-1,Final
8,18/09/2021,03:00,Barnsley FC,Blackburn Rovers,0-0,Final
8,18/09/2021,03:00,Fulham FC,Reading FC,1-2,Final
8,18/09/2021,03:00,Middlesbrough FC,Blackpool FC,1-2,Final
8,18/09/2021,03:00,Millwall FC,Coventry City,1-1,Final
8,18/09/2021,03:00,Huddersfield Town,Nottingham Forest,0-2,Final
8,18/09/2021,03:00,Luton Town,Swansea City,3-3,Final
8,18/09/2021,03:00,Peterborough United,Birmingham City,3-0,Final
8,18/09/2021,03:00,Preston North End,West Bromwich Albion,1-1,Final
8,18/09/2021,03:00,Queens Park Rangers,Bristol City,1-2,Final
9,24/09/2021,03:00,Coventry City,Peterborough United,3-0,Final
9,24/09/2021,03:00,West Bromwich Albion,Queens Park Rangers,2-1,Final
9,25/09/2021,03:00,Reading FC,Middlesbrough FC,1-0,Final
9,25/09/2021,03:00,AFC Bournemouth,Luton Town,2-1,Final
9,25/09/2021,03:00,Birmingham City,Preston North End,0-0,Final
9,25/09/2021,03:00,Blackburn Rovers,Cardiff City,5-1,Final
9,25/09/2021,03:00,Blackpool FC,Barnsley FC,1-0,Final
9,25/09/2021,03:00,Bristol City,Fulham FC,1-1,Final
9,25/09/2021,03:00,Nottingham Forest,Millwall FC,1-1,Final
9,25/09/2021,03:00,Sheffield United,Derby County,1-0,Final
9,25/09/2021,03:00,Stoke City,Hull City,2-0,Final
9,25/09/2021,03:00,Swansea City,Huddersfield Town,1-0,Final
10,28/09/2021,03:00,Cardiff City,West Bromwich Albion,0-4,Final
10,28/09/2021,03:00,Middlesbrough FC,Sheffield United,2-0,Final
10,28/09/2021,03:00,Huddersfield Town,Blackburn Rovers,3-2,Final
10,28/09/2021,03:00,Hull City,Blackpool FC,1-1,Final
10,28/09/2021,03:00,Preston North End,Stoke City,1-1,Final
10,28/09/2021,03:00,Queens Park Rangers,Birmingham City,2-0,Final
10,29/09/2021,03:00,Derby County,Reading FC,1-0,Final
10,29/09/2021,03:00,Barnsley FC,Nottingham Forest,1-3,Final
10,29/09/2021,03:00,Fulham FC,Swansea City,3-1,Final
10,29/09/2021,03:00,Millwall FC,Bristol City,1-0,Final
10,29/09/2021,03:00,Luton Town,Coventry City,5-0,Final
10,29/09/2021,03:00,Peterborough United,AFC Bournemouth,0-0,Final
11,01/10/2021,03:00,Stoke City,West Bromwich Albion,1-0,Final
11,02/10/2021,03:00,Coventry City,Fulham FC,4-1,Final
11,02/10/2021,03:00,AFC Bournemouth,Sheffield United,2-1,Final
11,02/10/2021,03:00,Birmingham City,Nottingham Forest,0-3,Final
11,02/10/2021,03:00,Blackpool FC,Blackburn Rovers,2-1,Final
11,02/10/2021,03:00,Cardiff City,Reading FC,0-1,Final
11,02/10/2021,03:00,Derby County,Swansea City,0-0,Final
