matchday,date,time,home_team,away_team,result,status
1,06/08/2021,03:00,FC Den Bosch,Helmond Sport,2-0,Final
1,06/08/2021,03:00,FC Dordrecht,Jong PSV,1-1,Final
1,06/08/2021,03:00,FC Eindhoven,FC Volendam,2-2,Final
1,06/08/2021,03:00,SBV Excelsior,TOP Oss,0-1,Final
1,06/08/2021,03:00,Telstar,FC Emmen,1-1,Final
1,07/08/2021,03:00,De Graafschap,Roda JC Kerkrade,0-3,Final
1,08/08/2021,03:00,ADO Den Haag,Jong Ajax,2-0,Final
1,08/08/2021,03:00,VVV-Venlo,NAC Breda,2-2,Final
1,09/08/2021,03:00,AZ Alkmaar (J),Almere City FC,2-1,Final
1,09/08/2021,03:00,FC Utrecht (J),MVV,0-1,Final
2,13/08/2021,03:00,Almere City FC,FC Utrecht (J),1-1,Final
2,13/08/2021,03:00,FC Emmen,FC Eindhoven,0-1,Final
2,13/08/2021,03:00,TOP Oss,VVV-Venlo,2-1,Final
2,13/08/2021,03:00,FC Volendam,ADO Den Haag,1-3,Final
2,13/08/2021,03:00,Helmond Sport,AZ Alkmaar (J),1-2,Final
2,13/08/2021,03:00,MVV,De Graafschap,1-3,Final
2,13/08/2021,03:00,NAC Breda,Telstar,2-2,Final
2,13/08/2021,03:00,Roda JC Kerkrade,SBV Excelsior,1-2,Final
2,16/08/2021,03:00,Jong Ajax,FC Dordrecht,1-2,Final
2,16/08/2021,03:00,Jong PSV,FC Den Bosch,0-1,Final
3,20/08/2021,03:00,De Graafschap,NAC Breda,2-0,Final
3,20/08/2021,03:00,FC Den Bosch,Jong Ajax,2-3,Final
3,20/08/2021,03:00,FC Dordrecht,FC Utrecht (J),2-2,Final
3,20/08/2021,03:00,SBV Excelsior,FC Volendam,1-1,Final
3,20/08/2021,03:00,MVV,Helmond Sport,3-2,Final
3,20/08/2021,03:00,Telstar,Roda JC Kerkrade,3-4,Final
3,20/08/2021,03:00,ADO Den Haag,FC Emmen,1-2,Final
3,21/08/2021,03:00,VVV-Venlo,Almere City FC,2-1,Final
3,23/08/2021,03:00,AZ Alkmaar (J),TOP Oss,1-0,Final
3,23/08/2021,03:00,Jong PSV,FC Eindhoven,3-2,Final
4,27/08/2021,03:00,FC Eindhoven,FC Den Bosch,1-0,Final
4,27/08/2021,03:00,FC Emmen,De Graafschap,0-2,Final
4,27/08/2021,03:00,FC Volendam,MVV,5-0,Final
4,27/08/2021,03:00,Helmond Sport,Jong PSV,1-0,Final
4,27/08/2021,03:00,Jong Ajax,SBV Excelsior,1-2,Final
4,27/08/2021,03:00,FC Utrecht (J),Telstar,3-0,Final
4,27/08/2021,03:00,NAC Breda,ADO Den Haag,3-0,Final
4,27/08/2021,03:00,Roda JC Kerkrade,Almere City FC,3-4,Final
4,27/08/2021,03:00,VVV-Venlo,AZ Alkmaar (J),0-1,Final
4,28/08/2021,03:00,TOP Oss,FC Dordrecht,3-0,Final
5,03/09/2021,03:00,FC Den Bosch,SBV Excelsior,0-5,Final
5,03/09/2021,03:00,Helmond Sport,FC Emmen,1-0,Final
5,04/09/2021,03:00,Almere City FC,TOP Oss,3-0,Final
5,05/09/2021,03:00,MVV,Telstar,3-0,Final
5,05/09/2021,03:00,ADO Den Haag,FC Eindhoven,4-2,Final
5,05/09/2021,03:00,FC Dordrecht,VVV-Venlo,0-1,Final
5,13/09/2021,03:00,FC Volendam,Roda JC Kerkrade,2-2,Final
5,13/09/2021,03:00,Jong Ajax,NAC Breda,6-3,Final
5,13/09/2021,03:00,AZ Alkmaar (J),De Graafschap,2-1,Final
5,13/09/2021,03:00,FC Utrecht (J),Jong PSV,2-1,Final
6,10/09/2021,03:00,De Graafschap,FC Volendam,0-3,Final
6,10/09/2021,03:00,SBV Excelsior,FC Dordrecht,3-1,Final
6,10/09/2021,03:00,FC Emmen,MVV,7-1,Final
6,10/09/2021,03:00,TOP Oss,ADO Den Haag,3-3,Final
6,10/09/2021,03:00,AZ Alkmaar (J),FC Utrecht (J),0-1,Final
6,10/09/2021,03:00,Jong PSV,Jong Ajax,3-1,Final
6,10/09/2021,03:00,Roda JC Kerkrade,NAC Breda,0-0,Final
6,10/09/2021,03:00,Telstar,Almere City FC,1-1,Final
6,10/09/2021,03:00,VVV-Venlo,FC Den Bosch,2-1,Final
6,13/09/2021,03:00,FC Eindhoven,Helmond Sport,3-2,Final
7,17/09/2021,03:00,Almere City FC,Jong Ajax,2-4,Final
7,17/09/2021,03:00,De Graafschap,SBV Excelsior,3-1,Final
7,17/09/2021,03:00,FC Den Bosch,AZ Alkmaar (J),2-1,Final
