matchday,date,time,home_team,away_team,result,status
1,13/08/2021,03:00,SD Huesca,SD Eibar,2-0,Final
1,13/08/2021,03:00,Real Zaragoza,UD Ibiza,0-0,Final
1,14/08/2021,03:00,Real Sociedad B,CD Leganés,1-0,Final
1,14/08/2021,03:00,Girona FC,SD Amorebieta,2-0,Final
1,14/08/2021,03:00,SD Ponferradina,AD Alcorcón,1-0,Final
1,15/08/2021,03:00,Sporting Gijón,Burgos CF,1-0,Final
1,15/08/2021,03:00,Real Oviedo,CD Lugo,2-2,Final
1,15/08/2021,03:00,CF Fuenlabrada,CD Tenerife,1-2,Final
1,15/08/2021,03:00,UD Las Palmas,Real Valladolid,1-1,Final
1,16/08/2021,03:00,Málaga CF,CD Mirandés,0-0,Final
1,16/08/2021,03:00,FC Cartagena,UD Almería,1-3,Final
2,20/08/2021,03:00,Real Valladolid,Real Zaragoza,2-0,Final
2,20/08/2021,03:00,UD Almería,Real Oviedo,2-1,Final
2,21/08/2021,03:00,CD Lugo,Real Sociedad B,0-0,Final
2,21/08/2021,03:00,CD Tenerife,Sporting Gijón,0-0,Final
2,21/08/2021,03:00,AD Alcorcón,CF Fuenlabrada,0-2,Final
2,22/08/2021,03:00,UD Ibiza,Málaga CF,2-2,Final
2,22/08/2021,03:00,Girona FC,UD Las Palmas,0-0,Final
2,22/08/2021,03:00,SD Eibar,SD Ponferradina,0-1,Final
2,22/08/2021,03:00,SD Huesca,FC Cartagena,2-0,Final
2,23/08/2021,03:00,CD Mirandés,SD Amorebieta,2-0,Final
2,23/08/2021,03:00,CD Leganés,Burgos CF,0-0,Final
3,27/08/2021,03:00,UD Las Palmas,SD Huesca,2-1,Final
3,27/08/2021,03:00,Málaga CF,AD Alcorcón,1-0,Final
3,28/08/2021,03:00,Sporting Gijón,CD Mirandés,2-1,Final
3,28/08/2021,03:00,CD Leganés,UD Ibiza,1-2,Final
3,28/08/2021,03:00,Real Oviedo,CD Tenerife,0-0,Final
3,28/08/2021,03:00,SD Ponferradina,Girona FC,2-1,Final
3,29/08/2021,03:00,SD Amorebieta,UD Almería,2-1,Final
3,29/08/2021,03:00,CD Lugo,Real Valladolid,0-2,Final
3,29/08/2021,03:00,Real Sociedad B,CF Fuenlabrada,0-0,Final
3,29/08/2021,03:00,Burgos CF,SD Eibar,0-1,Final
3,30/08/2021,03:00,Real Zaragoza,FC Cartagena,0-1,Final
4,03/09/2021,03:00,Girona FC,Sporting Gijón,1-2,Final
4,04/09/2021,03:00,SD Eibar,CD Leganés,1-1,Final
4,04/09/2021,03:00,CD Tenerife,SD Ponferradina,2-0,Final
4,04/09/2021,03:00,FC Cartagena,Real Sociedad B,1-0,Final
4,04/09/2021,03:00,CF Fuenlabrada,CD Lugo,1-1,Final
4,04/09/2021,03:00,UD Almería,Málaga CF,2-0,Final
4,05/09/2021,03:00,Burgos CF,Real Valladolid,3-0,Final
4,05/09/2021,03:00,UD Ibiza,SD Amorebieta,1-1,Final
4,05/09/2021,03:00,AD Alcorcón,Real Zaragoza,1-2,Final
4,05/09/2021,03:00,CD Mirandés,UD Las Palmas,4-2,Final
4,06/09/2021,03:00,SD Huesca,Real Oviedo,1-2,Final
5,10/09/2021,03:00,Sporting Gijón,CD Leganés,2-1,Final
5,11/09/2021,03:00,SD Amorebieta,Burgos CF,2-2,Final
5,11/09/2021,03:00,Real Sociedad B,SD Eibar,2-3,Final
5,11/09/2021,03:00,UD Las Palmas,UD Ibiza,1-1,Final
5,11/09/2021,03:00,CD Mirandés,AD Alcorcón,1-3,Final
5,12/09/2021,03:00,Real Oviedo,FC Cartagena,2-0,Final
5,12/09/2021,03:00,Real Valladolid,CD Tenerife,0-2,Final
5,12/09/2021,03:00,SD Ponferradina,UD Almería,1-0,Final
5,12/09/2021,03:00,CF Fuenlabrada,Real Zaragoza,1-1,Final
5,12/09/2021,03:00,Málaga CF,Girona FC,2-0,Final
5,13/09/2021,03:00,CD Lugo,SD Huesca,3-2,Final
6,17/09/2021,03:00,AD Alcorcón,UD Almería,0-4,Final
6,18/09/2021,03:00,UD Ibiza,Real Oviedo,1-1,Final
6,18/09/2021,03:00,CD Leganés,SD Amorebieta,1-0,Final
6,18/09/2021,03:00,Real Zaragoza,Real Sociedad B,1-1,Final
6,18/09/2021,03:00,Girona FC,Real Valladolid,1-0,Final
6,18/09/2021,03:00,FC Cartagena,CD Lugo,2-1,Final
6,19/09/2021,03:00,SD Huesca,CF Fuenlabrada,0-0,Final
6,19/09/2021,03:00,SD Ponferradina,Málaga CF,4-0,Final
