Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
07/08/2021,1,Carlisle United,Colchester United,0-0
07/08/2021,1,Exeter City,Bradford City,0-0
07/08/2021,1,Stevenage FC,Barrow AFC,1-0
07/08/2021,1,Forest Green Rovers,Sutton United,2-1
07/08/2021,1,Harrogate Town,Rochdale AFC,3-2
07/08/2021,1,Hartlepool United,Crawley Town,1-0
07/08/2021,1,Mansfield Town,Bristol Rovers,2-1
07/08/2021,1,Northampton Town,Port Vale FC,1-0
07/08/2021,1,Oldham Athletic,Newport County,0-1
07/08/2021,1,Salford City,Leyton Orient,1-1
07/08/2021,1,Scunthorpe United,Swindon Town,1-3
07/08/2021,1,Tranmere Rovers,Walsall FC,1-0
14/08/2021,2,Barrow AFC,Hartlepool United,3-2
14/08/2021,2,Bradford City,Oldham Athletic,2-1
14/08/2021,2,Bristol Rovers,Stevenage FC,0-2
14/08/2021,2,Colchester United,Northampton Town,0-1
14/08/2021,2,Walsall FC,Forest Green Rovers,1-3
14/08/2021,2,Leyton Orient,Exeter City,3-0
14/08/2021,2,Port Vale FC,Tranmere Rovers,0-0
14/08/2021,2,Rochdale AFC,Scunthorpe United,0-0
14/08/2021,2,Salford City,Sutton United,0-0
14/08/2021,2,Swindon Town,Carlisle United,1-2
14/08/2021,2,Mansfield Town,Newport County,2-1
21/09/2021,2,Crawley Town,Harrogate Town,2-2
17/08/2021,3,Barrow AFC,Exeter City,0-0
17/08/2021,3,Bradford City,Stevenage FC,4-1
17/08/2021,3,Bristol Rovers,Oldham Athletic,1-0
17/08/2021,3,Colchester United,Mansfield Town,1-1
17/08/2021,3,Crawley Town,Salford City,2-1
17/08/2021,3,Walsall FC,Scunthorpe United,1-1
17/08/2021,3,Port Vale FC,Carlisle United,0-0
17/08/2021,3,Rochdale AFC,Forest Green Rovers,1-2
17/08/2021,3,Swindon Town,Tranmere Rovers,0-0
24/08/2021,3,Leyton Orient,Harrogate Town,0-2
14/09/2021,3,Newport County,Northampton Town,0-1
14/09/2021,3,Sutton United,Hartlepool United,1-0
21/08/2021,4,Carlisle United,Leyton Orient,1-1
21/08/2021,4,Exeter City,Bristol Rovers,4-1
21/08/2021,4,Stevenage FC,Port Vale FC,1-1
21/08/2021,4,Forest Green Rovers,Crawley Town,6-3
21/08/2021,4,Harrogate Town,Barrow AFC,2-1
21/08/2021,4,Hartlepool United,Walsall FC,2-0
21/08/2021,4,Mansfield Town,Bradford City,2-3
21/08/2021,4,Northampton Town,Rochdale AFC,1-3
21/08/2021,4,Oldham Athletic,Colchester United,1-2
21/08/2021,4,Salford City,Swindon Town,0-1
21/08/2021,4,Scunthorpe United,Sutton United,1-1
21/08/2021,4,Tranmere Rovers,Newport County,0-1
27/08/2021,5,Rochdale AFC,Colchester United,1-1
28/08/2021,5,Barrow AFC,Bristol Rovers,1-1
28/08/2021,5,Crawley Town,Northampton Town,0-0
28/08/2021,5,Walsall FC,Stevenage FC,1-0
28/08/2021,5,Forest Green Rovers,Port Vale FC,0-2
28/08/2021,5,Harrogate Town,Exeter City,1-1
28/08/2021,5,Hartlepool United,Carlisle United,2-1
28/08/2021,5,Leyton Orient,Bradford City,2-0
28/08/2021,5,Salford City,Newport County,3-0
28/08/2021,5,Scunthorpe United,Tranmere Rovers,1-0
28/08/2021,5,Sutton United,Oldham Athletic,1-2
28/08/2021,5,Swindon Town,Mansfield Town,1-0
04/09/2021,6,Bradford City,Walsall FC,1-1
04/09/2021,6,Bristol Rovers,Crawley Town,1-0
04/09/2021,6,Carlisle United,Salford City,2-1
04/09/2021,6,Exeter City,Forest Green Rovers,0-0
04/09/2021,6,Stevenage FC,Swindon Town,1-1
04/09/2021,6,Mansfield Town,Harrogate Town,1-3
04/09/2021,6,Newport County,Leyton Orient,2-2
04/09/2021,6,Northampton Town,Scunthorpe United,2-0
04/09/2021,6,Oldham Athletic,Barrow AFC,0-3
04/09/2021,6,Port Vale FC,Rochdale AFC,2-3
04/09/2021,6,Tranmere Rovers,Hartlepool United,1-0
26/10/2021,6,Colchester United,Sutton United,1-3
10/09/2021,7,Barrow AFC,Colchester United,2-3
10/09/2021,7,Harrogate Town,Newport County,2-2
11/09/2021,7,Crawley Town,Carlisle United,2-1
11/09/2021,7,Walsall FC,Mansfield Town,3-1
11/09/2021,7,Forest Green Rovers,Northampton Town,1-0
11/09/2021,7,Hartlepool United,Bristol Rovers,1-0
11/09/2021,7,Leyton Orient,Oldham Athletic,4-0
11/09/2021,7,Rochdale AFC,Tranmere Rovers,1-0
