Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
23/07/2021,1,Gallos Blancos,CF América,0-0
24/07/2021,1,Club Necaxa,Santos Laguna,0-3
24/07/2021,1,FC Juárez,Deportivo Toluca,1-3
24/07/2021,1,CF Pachuca,Club León,4-0
25/07/2021,1,Deportivo Guadalajara,Atlético San Luis,1-2
25/07/2021,1,Pumas UNAM,Atlas Guadalajara,0-0
26/07/2021,1,CF Monterrey,Puebla FC,1-1
26/07/2021,1,Club Tijuana,UANL Tigres,1-2
27/07/2021,1,Cruz Azul,Mazatlán FC,0-2
31/07/2021,2,Mazatlán FC,CF Pachuca,2-1
31/07/2021,2,Puebla FC,Deportivo Guadalajara,0-2
01/08/2021,2,Club León,Club Tijuana,2-1
01/08/2021,2,CF América,Club Necaxa,2-1
01/08/2021,2,CF Monterrey,Pumas UNAM,2-0
01/08/2021,2,Atlas Guadalajara,FC Juárez,2-0
01/08/2021,2,Deportivo Toluca,UANL Tigres,3-1
02/08/2021,2,Santos Laguna,Cruz Azul,1-1
03/08/2021,2,Atlético San Luis,Gallos Blancos,1-1
06/08/2021,3,Gallos Blancos,Club León,0-1
07/08/2021,3,Mazatlán FC,CF Monterrey,1-1
07/08/2021,3,Club Necaxa,Cruz Azul,1-2
07/08/2021,3,Club Tijuana,Deportivo Toluca,0-2
08/08/2021,3,Deportivo Guadalajara,FC Juárez,2-2
08/08/2021,3,CF América,Puebla FC,2-0
08/08/2021,3,UANL Tigres,Santos Laguna,1-1
08/08/2021,3,Pumas UNAM,Atlético San Luis,1-3
10/08/2021,3,CF Pachuca,Atlas Guadalajara,0-1
13/08/2021,4,Atlético San Luis,Club Necaxa,0-2
14/08/2021,4,Puebla FC,UANL Tigres,1-1
14/08/2021,4,FC Juárez,Club Tijuana,1-1
15/08/2021,4,Pumas UNAM,Gallos Blancos,0-0
15/08/2021,4,Club León,Mazatlán FC,3-0
15/08/2021,4,Cruz Azul,Deportivo Toluca,4-0
15/08/2021,4,CF Monterrey,CF Pachuca,3-1
16/08/2021,4,Atlas Guadalajara,CF América,0-1
16/08/2021,4,Santos Laguna,Deportivo Guadalajara,0-0
18/08/2021,5,Deportivo Toluca,Mazatlán FC,2-2
18/08/2021,5,UANL Tigres,Gallos Blancos,3-0
18/08/2021,5,Club Necaxa,Pumas UNAM,3-0
18/08/2021,5,Club Tijuana,Puebla FC,1-1
19/08/2021,5,Cruz Azul,CF Monterrey,1-1
19/08/2021,5,Santos Laguna,Atlas Guadalajara,1-1
19/08/2021,5,Deportivo Guadalajara,Club León,0-3
19/08/2021,5,FC Juárez,CF América,1-2
04/11/2021,5,CF Pachuca,Atlético San Luis,0-0
21/08/2021,6,Mazatlán FC,UANL Tigres,0-3
22/08/2021,6,Atlas Guadalajara,Deportivo Toluca,0-0
22/08/2021,6,Club León,Santos Laguna,1-1
22/08/2021,6,Atlético San Luis,Cruz Azul,0-0
22/08/2021,6,CF Monterrey,Deportivo Guadalajara,0-0
22/08/2021,6,Pumas UNAM,Puebla FC,2-0
23/08/2021,6,CF América,Club Tijuana,2-0
23/08/2021,6,Club Necaxa,FC Juárez,1-0
23/08/2021,6,Gallos Blancos,CF Pachuca,0-2
28/08/2021,7,Mazatlán FC,Atlético San Luis,2-2
28/08/2021,7,Puebla FC,Gallos Blancos,1-0
28/08/2021,7,Club Tijuana,CF Monterrey,2-2
29/08/2021,7,Deportivo Guadalajara,Club Necaxa,2-1
29/08/2021,7,UANL Tigres,Atlas Guadalajara,1-1
29/08/2021,7,Club León,CF América,1-1
29/08/2021,7,Deportivo Toluca,Pumas UNAM,2-1
30/08/2021,7,Santos Laguna,FC Juárez,2-0
30/08/2021,7,Cruz Azul,CF Pachuca,1-1
11/09/2021,8,Puebla FC,Atlético San Luis,2-2
11/09/2021,8,FC Juárez,Cruz Azul,2-1
11/09/2021,8,Club Tijuana,Santos Laguna,2-1
12/09/2021,8,Atlas Guadalajara,CF Monterrey,2-1
12/09/2021,8,UANL Tigres,Club León,2-2
12/09/2021,8,CF América,Mazatlán FC,2-0
13/09/2021,8,Pumas UNAM,Deportivo Guadalajara,0-0
13/09/2021,8,Gallos Blancos,Club Necaxa,3-0
14/09/2021,8,CF Pachuca,Deportivo Toluca,1-2
17/09/2021,9,Atlético San Luis,Club Tijuana,4-1
18/09/2021,9,Club Necaxa,Atlas Guadalajara,0-3
19/09/2021,9,Club León,FC Juárez,0-1
19/09/2021,9,Deportivo Toluca,CF América,3-1
19/09/2021,9,Mazatlán FC,Pumas UNAM,2-2
19/09/2021,9,Deportivo Guadalajara,CF Pachuca,1-0
20/09/2021,9,Cruz Azul,Gallos Blancos,2-0
20/09/2021,9,CF Monterrey,UANL Tigres,2-0
20/09/2021,9,Santos Laguna,Puebla FC,1-1
24/09/2021,10,CF Pachuca,Club Necaxa,1-0
25/09/2021,10,Puebla FC,Cruz Azul,1-1
25/09/2021,10,Club Tijuana,Mazatlán FC,0-0
26/09/2021,10,Atlas Guadalajara,Club León,2-0
26/09/2021,10,UANL Tigres,Pumas UNAM,0-0
26/09/2021,10,CF América,Deportivo Guadalajara,0-0
26/09/2021,10,Deportivo Toluca,Atlético San Luis,1-2
27/09/2021,10,Santos Laguna,CF Monterrey,1-2
09/10/2021,10,FC Juárez,Gallos Blancos,0-0
23/09/2021,11,CF Monterrey,Deportivo Toluca,2-0
29/09/2021,11,Club Necaxa,Club Tijuana,3-0
29/09/2021,11,Mazatlán FC,FC Juárez,3-1
29/09/2021,11,Atlas Guadalajara,Puebla FC,0-1
29/09/2021,11,CF Pachuca,CF América,1-1
30/09/2021,11,Atlético San Luis,UANL Tigres,0-3
30/09/2021,11,Gallos Blancos,Deportivo Guadalajara,1-0
04/11/2021,11,Cruz Azul,Club León,0-1
05/11/2021,11,Pumas UNAM,Santos Laguna,0-3
02/10/2021,12,Puebla FC,CF Pachuca,1-2
02/10/2021,12,FC Juárez,CF Monterrey,3-1
03/10/2021,12,Club León,Atlético San Luis,0-0
