matchday,date,time,home_team,away_team,result,status
1,10/02/2022,17:15,Patronato,Argentinos JRS,0-1,Final
1,10/02/2022,17:15,Sarmiento Junin,Atletico Tucuman,1-0,Final
1,10/02/2022,19:30,Newells Old Boys,Defensa Y Justicia,1-0,Final
1,10/02/2022,19:30,Central Cordoba de Santiago,Barracas Central,3-1,Final
1,11/02/2022,15:00,Arsenal Sarandi,Rosario Central,1-1,Final
1,11/02/2022,17:15,Velez Sarsfield,Aldosivi,2-0,Final
1,11/02/2022,17:15,Godoy Cruz,Tigre,1-1,Final
1,11/02/2022,19:30,Banfield,San Lorenzo,0-0,Final
1,12/02/2022,15:00,Huracan,Lanus,1-0,Final
1,12/02/2022,17:15,Union Santa Fe,River Plate,1-0,Final
1,12/02/2022,19:30,Estudiantes L.P.,Independiente,2-1,Final
1,13/02/2022,15:00,Racing Club,Gimnasia L.P.,0-0,Final
1,13/02/2022,17:15,Platense,Talleres Cordoba,1-0,Final
1,13/02/2022,19:30,Boca Juniors,Colon Santa Fe,1-1,Final
1,15/02/2022,15:00,Argentinos JRS,Newells Old Boys,3-0,Final
1,15/02/2022,17:15,Rosario Central,Velez Sarsfield,1-0,Final
1,15/02/2022,17:15,Independiente,Arsenal Sarandi,1-0,Final
1,15/02/2022,19:30,Huracan,Estudiantes L.P.,2-3,Final
1,15/02/2022,19:30,Lanus,Barracas Central,2-0,Final
1,16/02/2022,15:00,Tigre,Central Cordoba de Santiago,1-1,Final
1,16/02/2022,17:15,Aldosivi,Boca Juniors,1-2,Final
1,16/02/2022,19:30,River Plate,Patronato,4-1,Final
1,17/02/2022,15:00,Gimnasia L.P.,San Lorenzo,1-0,Final
1,17/02/2022,15:00,Colon Santa Fe,Godoy Cruz,3-1,Final
1,17/02/2022,17:15,Defensa Y Justicia,Racing Club,2-2,Final
1,17/02/2022,17:15,Sarmiento Junin,Banfield,2-2,Final
1,17/02/2022,19:30,Atletico Tucuman,Platense,2-2,Final
1,17/02/2022,19:30,Talleres Cordoba,Union Santa Fe,0-0,Final
1,19/02/2022,15:00,Arsenal Sarandi,Huracan,2-1,Final
1,19/02/2022,17:15,Estudiantes L.P.,Lanus,2-1,Final
1,19/02/2022,19:30,Velez Sarsfield,Independiente,0-0,Final
1,20/02/2022,15:00,Platense,Sarmiento Junin,2-0,Final
1,20/02/2022,17:15,Boca Juniors,Rosario Central,2-1,Final
1,20/02/2022,19:30,Newells Old Boys,River Plate,0-2,Final
1,21/02/2022,15:00,Barracas Central,Tigre,0-2,Final
1,21/02/2022,17:15,Godoy Cruz,Aldosivi,0-2,Final
1,21/02/2022,17:15,Banfield,Gimnasia L.P.,4-0,Final
1,21/02/2022,19:30,San Lorenzo,Defensa Y Justicia,3-4,Final
1,22/02/2022,17:15,Union Santa Fe,Atletico Tucuman,1-0,Final
1,22/02/2022,17:15,Patronato,Talleres Cordoba,0-0,Final
1,22/02/2022,19:30,Racing Club,Argentinos JRS,3-0,Final
1,22/02/2022,19:30,Central Cordoba de Santiago,Colon Santa Fe,0-2,Final
1,24/02/2022,19:30,Huracan,Velez Sarsfield,2-0,Final
1,25/02/2022,17:15,Defensa Y Justicia,Gimnasia L.P.,3-2,Final
1,25/02/2022,19:30,Platense,Banfield,0-1,Final
1,26/02/2022,15:00,Rosario Central,Godoy Cruz,1-2,Final
1,26/02/2022,15:00,Colon Santa Fe,Barracas Central,2-1,Final
1,26/02/2022,17:15,Aldosivi,Central Cordoba de Santiago,0-0,Final
1,26/02/2022,19:30,Independiente,Boca Juniors,2-2,Final
1,27/02/2022,15:00,Estudiantes L.P.,Arsenal Sarandi,3-2,Final
1,27/02/2022,15:00,Sarmiento Junin,Union Santa Fe,2-1,Final
1,27/02/2022,17:15,River Plate,Racing Club,2-2,Final
