Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
22/05/2022,,Atlético Junior,Atlético Nacional,1-1
23/05/2022,,Millonarios,Atlético Bucaramanga,1-0
01/06/2022,,Atlético Bucaramanga,Atlético Junior,2-0
01/06/2022,,Atlético Nacional,Millonarios,2-2
05/06/2022,,Atlético Nacional,Atlético Bucaramanga,4-1
05/06/2022,,Atlético Junior,Millonarios,2-1
09/06/2022,,Millonarios,Atlético Junior,0-0
09/06/2022,,Atlético Bucaramanga,Atlético Nacional,0-1
12/06/2022,,Atlético Junior,Atlético Bucaramanga,1-0
12/06/2022,,Millonarios,Atlético Nacional,0-0
16/06/2022,,Atlético Bucaramanga,Millonarios,2-1
16/06/2022,,Atlético Nacional,Atlético Junior,2-1
21/05/2022,,Envigado FC,Deportes Tolima,1-4
22/05/2022,,Independiente Medellín,Internacional de Bogotá,2-0
02/06/2022,,Internacional de Bogotá,Envigado FC,2-0
02/06/2022,,Deportes Tolima,Independiente Medellín,0-0
05/06/2022,,Envigado FC,Independiente Medellín,0-0
06/06/2022,,Deportes Tolima,Internacional de Bogotá,1-0
10/06/2022,,Internacional de Bogotá,Deportes Tolima,1-0
10/06/2022,,Independiente Medellín,Envigado FC,2-1
12/06/2022,,Envigado FC,Internacional de Bogotá,0-3
13/06/2022,,Independiente Medellín,Deportes Tolima,0-1
17/06/2022,,Deportes Tolima,Envigado FC,1-0
17/06/2022,,Internacional de Bogotá,Independiente Medellín,1-5
23/06/2022,,Atlético Nacional,Deportes Tolima,3-1
27/06/2022,,Deportes Tolima,Atlético Nacional,2-1
