Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
06/11/2022,,Millonarios,Santa Fe,1-1
07/11/2022,,Deportivo Pereira,Atlético Junior,4-3
10/11/2022,,Santa Fe,Deportivo Pereira,2-0
10/11/2022,,Atlético Junior,Millonarios,0-1
13/11/2022,,Santa Fe,Atlético Junior,0-0
14/11/2022,,Millonarios,Deportivo Pereira,2-0
24/11/2022,,Atlético Junior,Santa Fe,2-3
24/11/2022,,Deportivo Pereira,Millonarios,2-1
28/11/2022,,Millonarios,Atlético Junior,1-0
28/11/2022,,Deportivo Pereira,Santa Fe,5-1
01/12/2022,,Atlético Junior,Deportivo Pereira,0-2
01/12/2022,,Santa Fe,Millonarios,1-1
05/11/2022,,Águilas Doradas,América de Cali,2-0
06/11/2022,,Independiente Medellín,Deportivo Pasto,0-0
09/11/2022,,Deportivo Pasto,Águilas Doradas,0-1
09/11/2022,,América de Cali,Independiente Medellín,0-2
13/11/2022,,Águilas Doradas,Independiente Medellín,1-0
14/11/2022,,América de Cali,Deportivo Pasto,2-1
23/11/2022,,Independiente Medellín,Águilas Doradas,2-1
24/11/2022,,Deportivo Pasto,América de Cali,1-0
27/11/2022,,Águilas Doradas,Deportivo Pasto,3-4
27/11/2022,,Independiente Medellín,América de Cali,2-1
01/12/2022,,América de Cali,Águilas Doradas,1-1
01/12/2022,,Deportivo Pasto,Independiente Medellín,0-0
05/12/2022,,Independiente Medellín,Deportivo Pereira,1-1
08/12/2022,,Deportivo Pereira,Independiente Medellín,4-3
