Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
06/08/2021,1,AS Monaco,FC Nantes,1-1
07/08/2021,1,Olympique Lyonnais,Stade Brestois 29,1-1
07/08/2021,1,ESTAC Troyes,Paris Saint-Germain,1-2
08/08/2021,1,Stade Rennais,RC Lens,1-1
08/08/2021,1,AS Saint-Étienne,FC Lorient,1-1
08/08/2021,1,Girondins Bordeaux,Clermont Foot 63,0-2
08/08/2021,1,OGC Nice,Stade de Reims,0-0
08/08/2021,1,Racing Strasbourg,Angers SCO,0-2
08/08/2021,1,FC Metz,Lille OSC,3-3
08/08/2021,1,Montpellier HSC,Olympique Marseille,2-3
13/08/2021,2,FC Lorient,AS Monaco,1-0
14/08/2021,2,Lille OSC,OGC Nice,0-4
14/08/2021,2,Paris Saint-Germain,Racing Strasbourg,4-2
15/08/2021,2,Angers SCO,Olympique Lyonnais,3-0
15/08/2021,2,Clermont Foot 63,ESTAC Troyes,2-0
15/08/2021,2,FC Nantes,FC Metz,2-0
15/08/2021,2,Stade Brestois 29,Stade Rennais,1-1
15/08/2021,2,Stade de Reims,Montpellier HSC,3-3
15/08/2021,2,RC Lens,AS Saint-Étienne,2-2
15/08/2021,2,Olympique Marseille,Girondins Bordeaux,2-2
20/08/2021,3,Stade Brestois 29,Paris Saint-Germain,2-4
21/08/2021,3,AS Monaco,RC Lens,0-2
21/08/2021,3,AS Saint-Étienne,Lille OSC,1-1
22/08/2021,3,Olympique Lyonnais,Clermont Foot 63,3-3
22/08/2021,3,FC Metz,Stade de Reims,1-1
22/08/2021,3,Girondins Bordeaux,Angers SCO,1-1
22/08/2021,3,Montpellier HSC,FC Lorient,3-1
22/08/2021,3,Racing Strasbourg,ESTAC Troyes,1-1
22/08/2021,3,Stade Rennais,FC Nantes,1-0
27/10/2021,3,OGC Nice,Olympique Marseille,1-1
27/08/2021,4,FC Nantes,Olympique Lyonnais,0-1
28/08/2021,4,OGC Nice,Girondins Bordeaux,4-0
28/08/2021,4,Olympique Marseille,AS Saint-Étienne,3-1
29/08/2021,4,ESTAC Troyes,AS Monaco,1-2
29/08/2021,4,Clermont Foot 63,FC Metz,2-2
29/08/2021,4,Racing Strasbourg,Stade Brestois 29,3-1
29/08/2021,4,RC Lens,FC Lorient,2-2
29/08/2021,4,Angers SCO,Stade Rennais,2-0
29/08/2021,4,Lille OSC,Montpellier HSC,2-1
29/08/2021,4,Stade de Reims,Paris Saint-Germain,0-2
10/09/2021,5,FC Lorient,Lille OSC,2-1
11/09/2021,5,Paris Saint-Germain,Clermont Foot 63,4-0
11/09/2021,5,AS Monaco,Olympique Marseille,0-2
12/09/2021,5,Montpellier HSC,AS Saint-Étienne,2-0
12/09/2021,5,FC Metz,ESTAC Troyes,0-2
12/09/2021,5,Girondins Bordeaux,RC Lens,2-3
12/09/2021,5,Stade Brestois 29,Angers SCO,1-1
12/09/2021,5,Stade Rennais,Stade de Reims,0-2
12/09/2021,5,FC Nantes,OGC Nice,0-2
12/09/2021,5,Olympique Lyonnais,Racing Strasbourg,3-1
17/09/2021,6,Racing Strasbourg,FC Metz,3-0
18/09/2021,6,RC Lens,Lille OSC,1-0
18/09/2021,6,AS Saint-Étienne,Girondins Bordeaux,1-2
19/09/2021,6,OGC Nice,AS Monaco,2-2
19/09/2021,6,Clermont Foot 63,Stade Brestois 29,1-1
19/09/2021,6,ESTAC Troyes,Montpellier HSC,1-1
19/09/2021,6,Angers SCO,FC Nantes,1-4
19/09/2021,6,Stade de Reims,FC Lorient,0-0
19/09/2021,6,Olympique Marseille,Stade Rennais,2-0
19/09/2021,6,Paris Saint-Germain,Olympique Lyonnais,2-1
22/09/2021,7,AS Monaco,AS Saint-Étienne,3-1
22/09/2021,7,FC Nantes,Stade Brestois 29,3-1
22/09/2021,7,Montpellier HSC,Girondins Bordeaux,3-3
22/09/2021,7,Lille OSC,Stade de Reims,2-1
22/09/2021,7,Stade Rennais,Clermont Foot 63,6-0
22/09/2021,7,FC Lorient,OGC Nice,1-0
22/09/2021,7,FC Metz,Paris Saint-Germain,1-2
22/09/2021,7,Olympique Lyonnais,ESTAC Troyes,3-1
22/09/2021,7,RC Lens,Racing Strasbourg,0-1
22/09/2021,7,Angers SCO,Olympique Marseille,0-0
25/09/2021,8,AS Saint-Étienne,OGC Nice,0-3
25/09/2021,8,Racing Strasbourg,Lille OSC,1-2
25/09/2021,8,Olympique Lyonnais,FC Lorient,1-1
25/09/2021,8,Paris Saint-Germain,Montpellier HSC,2-0
26/09/2021,8,Girondins Bordeaux,Stade Rennais,1-1
26/09/2021,8,ESTAC Troyes,Angers SCO,1-1
26/09/2021,8,Stade Brestois 29,FC Metz,1-2
26/09/2021,8,Stade de Reims,FC Nantes,3-1
26/09/2021,8,Clermont Foot 63,AS Monaco,1-3
26/09/2021,8,Olympique Marseille,RC Lens,2-3
01/10/2021,9,RC Lens,Stade de Reims,2-0
02/10/2021,9,Montpellier HSC,Racing Strasbourg,1-1
02/10/2021,9,OGC Nice,Stade Brestois 29,2-1
03/10/2021,9,Stade Rennais,Paris Saint-Germain,2-0
03/10/2021,9,AS Monaco,Girondins Bordeaux,3-0
03/10/2021,9,FC Lorient,Clermont Foot 63,1-1
03/10/2021,9,FC Nantes,ESTAC Troyes,2-0
03/10/2021,9,Angers SCO,FC Metz,3-2
03/10/2021,9,Lille OSC,Olympique Marseille,2-0
03/10/2021,9,AS Saint-Étienne,Olympique Lyonnais,1-1
15/10/2021,10,Paris Saint-Germain,Angers SCO,2-1
16/10/2021,10,Clermont Foot 63,Lille OSC,1-0
16/10/2021,10,Olympique Lyonnais,AS Monaco,2-0
17/10/2021,10,ESTAC Troyes,OGC Nice,1-0
17/10/2021,10,FC Metz,Stade Rennais,0-3
17/10/2021,10,Girondins Bordeaux,FC Nantes,1-1
17/10/2021,10,Racing Strasbourg,AS Saint-Étienne,5-1
17/10/2021,10,Stade Brestois 29,Stade de Reims,1-1
17/10/2021,10,Montpellier HSC,RC Lens,1-0
17/10/2021,10,Olympique Marseille,FC Lorient,4-1
22/10/2021,11,AS Saint-Étienne,Angers SCO,2-2
23/10/2021,11,FC Nantes,Clermont Foot 63,2-1
23/10/2021,11,Lille OSC,Stade Brestois 29,1-1
24/10/2021,11,OGC Nice,Olympique Lyonnais,3-2
24/10/2021,11,FC Lorient,Girondins Bordeaux,1-1
24/10/2021,11,RC Lens,FC Metz,4-1
24/10/2021,11,Stade de Reims,ESTAC Troyes,1-2
24/10/2021,11,Stade Rennais,Racing Strasbourg,1-0
24/10/2021,11,AS Monaco,Montpellier HSC,3-1
24/10/2021,11,Olympique Marseille,Paris Saint-Germain,0-0
29/10/2021,12,Paris Saint-Germain,Lille OSC,2-1
30/10/2021,12,FC Metz,AS Saint-Étienne,1-1
30/10/2021,12,Olympique Lyonnais,RC Lens,2-1
31/10/2021,12,Angers SCO,OGC Nice,1-2
31/10/2021,12,ESTAC Troyes,Stade Rennais,2-2
31/10/2021,12,Girondins Bordeaux,Stade de Reims,3-2
31/10/2021,12,Montpellier HSC,FC Nantes,2-0
31/10/2021,12,Racing Strasbourg,FC Lorient,4-0
31/10/2021,12,Stade Brestois 29,AS Monaco,2-0
31/10/2021,12,Clermont Foot 63,Olympique Marseille,0-1
05/11/2021,13,RC Lens,ESTAC Troyes,4-0
06/11/2021,13,Lille OSC,Angers SCO,1-1
06/11/2021,13,Girondins Bordeaux,Paris Saint-Germain,2-3
07/11/2021,13,Olympique Marseille,FC Metz,0-0
07/11/2021,13,AS Saint-Étienne,Clermont Foot 63,3-2
07/11/2021,13,FC Lorient,Stade Brestois 29,1-2
07/11/2021,13,FC Nantes,Racing Strasbourg,2-2
07/11/2021,13,Stade de Reims,AS Monaco,0-0
07/11/2021,13,OGC Nice,Montpellier HSC,0-1
07/11/2021,13,Stade Rennais,Olympique Lyonnais,4-1
19/11/2021,14,AS Monaco,Lille OSC,2-2
20/11/2021,14,Paris Saint-Germain,FC Nantes,3-1
20/11/2021,14,Stade Rennais,Montpellier HSC,2-0
21/11/2021,14,Stade Brestois 29,RC Lens,4-0
21/11/2021,14,ESTAC Troyes,AS Saint-Étienne,0-1
21/11/2021,14,FC Metz,Girondins Bordeaux,3-3
21/11/2021,14,Racing Strasbourg,Stade de Reims,1-1
21/11/2021,14,Angers SCO,FC Lorient,1-0
21/11/2021,14,Clermont Foot 63,OGC Nice,1-2
01/02/2022,14,Olympique Lyonnais,Olympique Marseille,2-1
26/11/2021,15,RC Lens,Angers SCO,2-2
27/11/2021,15,Lille OSC,FC Nantes,1-1
27/11/2021,15,OGC Nice,FC Metz,0-1
28/11/2021,15,AS Saint-Étienne,Paris Saint-Germain,1-3
28/11/2021,15,AS Monaco,Racing Strasbourg,1-1
28/11/2021,15,FC Lorient,Stade Rennais,0-2
28/11/2021,15,Girondins Bordeaux,Stade Brestois 29,1-2
28/11/2021,15,Stade de Reims,Clermont Foot 63,1-0
28/11/2021,15,Montpellier HSC,Olympique Lyonnais,0-1
28/11/2021,15,Olympique Marseille,ESTAC Troyes,1-0
01/12/2021,16,ESTAC Troyes,FC Lorient,2-0
01/12/2021,16,FC Metz,Montpellier HSC,1-3
01/12/2021,16,Racing Strasbourg,Girondins Bordeaux,5-2
01/12/2021,16,Angers SCO,AS Monaco,1-3
01/12/2021,16,Stade Brestois 29,AS Saint-Étienne,1-0
01/12/2021,16,Clermont Foot 63,RC Lens,2-2
01/12/2021,16,FC Nantes,Olympique Marseille,0-1
01/12/2021,16,Olympique Lyonnais,Stade de Reims,1-2
01/12/2021,16,Paris Saint-Germain,OGC Nice,0-0
01/12/2021,16,Stade Rennais,Lille OSC,1-2
04/12/2021,17,Olympique Marseille,Stade Brestois 29,1-2
04/12/2021,17,Lille OSC,ESTAC Troyes,2-1
04/12/2021,17,RC Lens,Paris Saint-Germain,1-1
05/12/2021,17,AS Saint-Étienne,Stade Rennais,0-5
05/12/2021,17,AS Monaco,FC Metz,4-0
05/12/2021,17,FC Lorient,FC Nantes,0-1
05/12/2021,17,Montpellier HSC,Clermont Foot 63,1-0
05/12/2021,17,Stade de Reims,Angers SCO,1-2
05/12/2021,17,OGC Nice,Racing Strasbourg,0-3
05/12/2021,17,Girondins Bordeaux,Olympique Lyonnais,2-2
10/12/2021,18,FC Nantes,RC Lens,3-2
11/12/2021,18,Stade Brestois 29,Montpellier HSC,0-4
11/12/2021,18,Stade de Reims,AS Saint-Étienne,2-0
