matchday,date,time,home_team,away_team,result,status
1,24/07/2021,03:00,SC Bastia,Nîmes Olympique,1-1,Final
1,24/07/2021,03:00,Havre AC,EA Guingamp,0-0,Final
1,24/07/2021,03:00,Pau FC,AS Nancy Lorraine,2-1,Final
1,24/07/2021,03:00,Toulouse FC,AC Ajaccio,2-2,Final
1,24/07/2021,03:00,Valenciennes FC,Chamois Niortais,0-0,Final
1,24/07/2021,03:00,Grenoble Foot 38,Paris FC,0-4,Final
1,24/07/2021,03:00,Amiens SC,AJ Auxerre,1-2,Final
1,24/07/2021,03:00,SM Caen,Rodez AF,4-0,Final
1,24/07/2021,03:00,USL Dunkerque,US Quevilly-Rouen,1-1,Final
1,26/07/2021,03:00,Dijon FCO,FC Sochaux,1-3,Final
2,31/07/2021,03:00,Nîmes Olympique,Dijon FCO,2-1,Final
2,31/07/2021,03:00,AC Ajaccio,Amiens SC,3-1,Final
2,31/07/2021,03:00,AS Nancy Lorraine,Toulouse FC,0-4,Final
2,31/07/2021,03:00,EA Guingamp,Valenciennes FC,1-1,Final
2,31/07/2021,03:00,Chamois Niortais,SM Caen,0-1,Final
2,31/07/2021,03:00,Paris FC,USL Dunkerque,2-1,Final
2,31/07/2021,03:00,FC Sochaux,Havre AC,0-2,Final
2,31/07/2021,03:00,Rodez AF,Pau FC,1-0,Final
2,02/08/2021,03:00,AJ Auxerre,Grenoble Foot 38,3-0,Final
2,18/08/2021,03:00,US Quevilly-Rouen,SC Bastia,1-2,Final
3,07/08/2021,03:00,SM Caen,FC Sochaux,1-2,Final
3,07/08/2021,03:00,Havre AC,Paris FC,1-2,Final
3,07/08/2021,03:00,AJ Auxerre,AC Ajaccio,0-0,Final
3,07/08/2021,03:00,Dijon FCO,Rodez AF,1-1,Final
3,07/08/2021,03:00,Pau FC,Toulouse FC,0-1,Final
3,07/08/2021,03:00,Valenciennes FC,Nîmes Olympique,0-3,Final
3,07/08/2021,03:00,Grenoble Foot 38,EA Guingamp,0-0,Final
3,07/08/2021,03:00,Amiens SC,US Quevilly-Rouen,1-3,Final
3,07/08/2021,03:00,USL Dunkerque,Chamois Niortais,1-2,Final
3,11/08/2021,03:00,SC Bastia,AS Nancy Lorraine,1-1,Final
4,14/08/2021,03:00,Toulouse FC,SC Bastia,1-0,Final
4,14/08/2021,03:00,AS Nancy Lorraine,Valenciennes FC,0-1,Final
4,14/08/2021,03:00,EA Guingamp,Amiens SC,0-2,Final
4,14/08/2021,03:00,Chamois Niortais,Grenoble Foot 38,1-0,Final
4,14/08/2021,03:00,FC Sochaux,USL Dunkerque,1-0,Final
4,14/08/2021,03:00,Nîmes Olympique,Pau FC,0-0,Final
4,14/08/2021,03:00,Rodez AF,Havre AC,0-0,Final
4,14/08/2021,03:00,US Quevilly-Rouen,Dijon FCO,2-1,Final
4,16/08/2021,03:00,Paris FC,AJ Auxerre,1-1,Final
4,25/08/2021,03:00,AC Ajaccio,SM Caen,2-0,Final
5,21/08/2021,03:00,Dijon FCO,Toulouse FC,2-4,Final
5,21/08/2021,03:00,Havre AC,Chamois Niortais,2-1,Final
5,21/08/2021,03:00,Pau FC,SC Bastia,2-0,Final
5,21/08/2021,03:00,Valenciennes FC,Rodez AF,1-4,Final
5,21/08/2021,03:00,Grenoble Foot 38,US Quevilly-Rouen,2-0,Final
5,21/08/2021,03:00,Amiens SC,FC Sochaux,0-0,Final
5,21/08/2021,03:00,SM Caen,AS Nancy Lorraine,1-0,Final
5,21/08/2021,03:00,USL Dunkerque,Nîmes Olympique,0-2,Final
5,23/08/2021,03:00,AJ Auxerre,EA Guingamp,1-2,Final
5,14/09/2021,03:00,AC Ajaccio,Paris FC,1-0,Final
6,28/08/2021,03:00,Toulouse FC,Valenciennes FC,1-0,Final
6,28/08/2021,03:00,Nîmes Olympique,SM Caen,0-0,Final
6,28/08/2021,03:00,AS Nancy Lorraine,AJ Auxerre,1-4,Final
6,28/08/2021,03:00,EA Guingamp,AC Ajaccio,1-1,Final
6,28/08/2021,03:00,Chamois Niortais,Amiens SC,0-0,Final
6,28/08/2021,03:00,Pau FC,Dijon FCO,2-0,Final
6,28/08/2021,03:00,FC Sochaux,Grenoble Foot 38,1-0,Final
6,28/08/2021,03:00,Rodez AF,USL Dunkerque,2-2,Final
6,28/08/2021,03:00,SC Bastia,Havre AC,0-0,Final
6,28/08/2021,03:00,US Quevilly-Rouen,Paris FC,0-1,Final
7,11/09/2021,03:00,Paris FC,EA Guingamp,0-1,Final
7,11/09/2021,03:00,AC Ajaccio,FC Sochaux,1-0,Final
7,11/09/2021,03:00,AJ Auxerre,Chamois Niortais,4-0,Final
7,11/09/2021,03:00,Dijon FCO,SC Bastia,2-1,Final
7,11/09/2021,03:00,Valenciennes FC,US Quevilly-Rouen,1-2,Final
7,11/09/2021,03:00,Grenoble Foot 38,Nîmes Olympique,2-1,Final
7,11/09/2021,03:00,Amiens SC,Rodez AF,0-1,Final
7,11/09/2021,03:00,SM Caen,Pau FC,1-2,Final
7,11/09/2021,03:00,USL Dunkerque,AS Nancy Lorraine,0-0,Final
7,13/09/2021,03:00,Havre AC,Toulouse FC,1-1,Final
8,18/09/2021,03:00,FC Sochaux,Paris FC,2-0,Final
8,18/09/2021,03:00,Toulouse FC,Grenoble Foot 38,4-1,Final
8,18/09/2021,03:00,AS Nancy Lorraine,Havre AC,1-1,Final
8,18/09/2021,03:00,Dijon FCO,USL Dunkerque,2-0,Final
8,18/09/2021,03:00,Chamois Niortais,EA Guingamp,2-0,Final
8,18/09/2021,03:00,Pau FC,Valenciennes FC,1-1,Final
8,18/09/2021,03:00,Nîmes Olympique,Amiens SC,3-3,Final
8,18/09/2021,03:00,Rodez AF,AC Ajaccio,0-2,Final
8,18/09/2021,03:00,SC Bastia,SM Caen,1-1,Final
8,18/09/2021,03:00,US Quevilly-Rouen,AJ Auxerre,0-0,Final
9,21/09/2021,03:00,AC Ajaccio,Chamois Niortais,0-0,Final
9,21/09/2021,03:00,Havre AC,US Quevilly-Rouen,1-0,Final
9,21/09/2021,03:00,AJ Auxerre,Rodez AF,1-0,Final
9,21/09/2021,03:00,EA Guingamp,FC Sochaux,1-2,Final
9,21/09/2021,03:00,Paris FC,Nîmes Olympique,2-0,Final
9,21/09/2021,03:00,Valenciennes FC,SC Bastia,2-1,Final
9,21/09/2021,03:00,Grenoble Foot 38,AS Nancy Lorraine,4-1,Final
9,21/09/2021,03:00,Amiens SC,Pau FC,2-2,Final
9,21/09/2021,03:00,SM Caen,Dijon FCO,0-1,Final
9,21/09/2021,03:00,USL Dunkerque,Toulouse FC,0-2,Final
10,24/09/2021,03:00,AS Nancy Lorraine,Amiens SC,1-1,Final
10,24/09/2021,03:00,Dijon FCO,Valenciennes FC,0-1,Final
10,24/09/2021,03:00,Chamois Niortais,Paris FC,4-1,Final
10,24/09/2021,03:00,Pau FC,USL Dunkerque,1-2,Final
10,24/09/2021,03:00,FC Sochaux,AJ Auxerre,0-0,Final
10,24/09/2021,03:00,Nîmes Olympique,Havre AC,0-1,Final
10,24/09/2021,03:00,Rodez AF,Grenoble Foot 38,1-1,Final
10,24/09/2021,03:00,US Quevilly-Rouen,EA Guingamp,2-2,Final
10,25/09/2021,03:00,SC Bastia,AC Ajaccio,2-0,Final
10,27/09/2021,03:00,Toulouse FC,SM Caen,2-3,Final
11,02/10/2021,03:00,AJ Auxerre,Nîmes Olympique,2-2,Final
11,02/10/2021,03:00,Amiens SC,Toulouse FC,0-0,Final
11,02/10/2021,03:00,AC Ajaccio,US Quevilly-Rouen,0-1,Final
11,02/10/2021,03:00,Havre AC,Dijon FCO,2-0,Final
11,02/10/2021,03:00,EA Guingamp,Rodez AF,2-1,Final
11,02/10/2021,03:00,Paris FC,AS Nancy Lorraine,1-1,Final
11,02/10/2021,03:00,FC Sochaux,Chamois Niortais,1-0,Final
11,02/10/2021,03:00,Grenoble Foot 38,Pau FC,2-0,Final
11,02/10/2021,03:00,SM Caen,Valenciennes FC,1-2,Final
11,02/10/2021,03:00,USL Dunkerque,SC Bastia,2-0,Final
12,16/10/2021,03:00,Toulouse FC,AJ Auxerre,6-0,Final
12,16/10/2021,03:00,AS Nancy Lorraine,EA Guingamp,2-1,Final
12,16/10/2021,03:00,Dijon FCO,Amiens SC,1-0,Final
12,16/10/2021,03:00,Pau FC,Paris FC,1-0,Final
12,16/10/2021,03:00,Valenciennes FC,USL Dunkerque,1-3,Final
12,16/10/2021,03:00,Rodez AF,FC Sochaux,0-1,Final
12,16/10/2021,03:00,SC Bastia,Grenoble Foot 38,0-0,Final
12,16/10/2021,03:00,SM Caen,Havre AC,2-2,Final
12,16/10/2021,03:00,US Quevilly-Rouen,Chamois Niortais,0-3,Final
12,18/10/2021,03:00,Nîmes Olympique,AC Ajaccio,0-2,Final
13,23/10/2021,03:00,Paris FC,Toulouse FC,2-2,Final
13,23/10/2021,03:00,AC Ajaccio,AS Nancy Lorraine,2-0,Final
13,23/10/2021,03:00,Havre AC,Pau FC,1-0,Final
13,23/10/2021,03:00,EA Guingamp,Nîmes Olympique,3-1,Final
13,23/10/2021,03:00,Chamois Niortais,Rodez AF,0-2,Final
13,23/10/2021,03:00,FC Sochaux,US Quevilly-Rouen,1-1,Final
13,23/10/2021,03:00,Grenoble Foot 38,Dijon FCO,1-2,Final
13,23/10/2021,03:00,Amiens SC,Valenciennes FC,3-0,Final
13,23/10/2021,03:00,USL Dunkerque,SM Caen,1-1,Final
13,25/10/2021,03:00,AJ Auxerre,SC Bastia,1-0,Final
14,30/10/2021,03:00,Toulouse FC,EA Guingamp,2-2,Final
14,30/10/2021,03:00,AS Nancy Lorraine,FC Sochaux,0-0,Final
14,30/10/2021,03:00,Dijon FCO,Paris FC,0-1,Final
14,30/10/2021,03:00,Pau FC,AC Ajaccio,1-0,Final
14,30/10/2021,03:00,Nîmes Olympique,Chamois Niortais,1-2,Final
14,30/10/2021,03:00,Rodez AF,US Quevilly-Rouen,3-0,Final
14,30/10/2021,03:00,SC Bastia,Amiens SC,0-0,Final
14,30/10/2021,03:00,SM Caen,Grenoble Foot 38,0-1,Final
14,30/10/2021,03:00,USL Dunkerque,Havre AC,1-0,Final
14,01/11/2021,03:00,Valenciennes FC,AJ Auxerre,1-2,Final
15,06/11/2021,03:00,AJ Auxerre,Pau FC,4-1,Final
15,06/11/2021,03:00,FC Sochaux,Nîmes Olympique,0-1,Final
15,06/11/2021,03:00,AC Ajaccio,Dijon FCO,1-0,Final
15,06/11/2021,03:00,Havre AC,Valenciennes FC,0-0,Final
15,06/11/2021,03:00,EA Guingamp,SC Bastia,2-3,Final
15,06/11/2021,03:00,Chamois Niortais,AS Nancy Lorraine,1-3,Final
15,06/11/2021,03:00,Paris FC,Rodez AF,1-0,Final
15,06/11/2021,03:00,Grenoble Foot 38,USL Dunkerque,1-0,Final
15,06/11/2021,03:00,Amiens SC,SM Caen,0-0,Final
15,06/11/2021,03:00,US Quevilly-Rouen,Toulouse FC,0-0,Final
16,20/11/2021,03:00,Toulouse FC,FC Sochaux,4-1,Final
16,20/11/2021,03:00,Havre AC,Amiens SC,1-1,Final
16,20/11/2021,03:00,AS Nancy Lorraine,Rodez AF,0-2,Final
16,20/11/2021,03:00,Pau FC,EA Guingamp,2-0,Final
16,20/11/2021,03:00,Valenciennes FC,Grenoble Foot 38,1-0,Final
16,20/11/2021,03:00,Nîmes Olympique,US Quevilly-Rouen,2-1,Final
16,20/11/2021,03:00,SC Bastia,Chamois Niortais,2-0,Final
16,20/11/2021,03:00,SM Caen,Paris FC,0-1,Final
16,20/11/2021,03:00,USL Dunkerque,AC Ajaccio,0-1,Final
16,22/11/2021,03:00,Dijon FCO,AJ Auxerre,3-1,Final
17,03/12/2021,03:00,AC Ajaccio,Valenciennes FC,0-0,Final
17,03/12/2021,03:00,EA Guingamp,Dijon FCO,3-2,Final
17,03/12/2021,03:00,Paris FC,SC Bastia,1-0,Final
17,03/12/2021,03:00,FC Sochaux,Pau FC,2-1,Final
17,03/12/2021,03:00,Grenoble Foot 38,Havre AC,1-2,Final
17,03/12/2021,03:00,Rodez AF,Nîmes Olympique,1-0,Final
17,03/12/2021,03:00,Amiens SC,USL Dunkerque,3-0,Final
17,03/12/2021,03:00,US Quevilly-Rouen,AS Nancy Lorraine,2-1,Final
17,04/12/2021,03:00,AJ Auxerre,SM Caen,2-2,Final
17,06/12/2021,03:00,Chamois Niortais,Toulouse FC,2-1,Final
18,11/12/2021,03:00,Havre AC,AC Ajaccio,0-1,Final
18,11/12/2021,03:00,Dijon FCO,Chamois Niortais,2-2,Final
18,11/12/2021,03:00,Pau FC,US Quevilly-Rouen,1-2,Final
18,11/12/2021,03:00,Valenciennes FC,Paris FC,1-4,Final
18,11/12/2021,03:00,Nîmes Olympique,AS Nancy Lorraine,2-1,Final
18,11/12/2021,03:00,Amiens SC,Grenoble Foot 38,4-1,Final
18,11/12/2021,03:00,SC Bastia,FC Sochaux,2-2,Final
18,11/12/2021,03:00,SM Caen,EA Guingamp,2-0,Final
18,11/12/2021,03:00,USL Dunkerque,AJ Auxerre,0-2,Final
18,13/12/2021,03:00,Toulouse FC,Rodez AF,1-1,Final
19,21/12/2021,03:00,AC Ajaccio,Grenoble Foot 38,1-0,Final
19,21/12/2021,03:00,AJ Auxerre,Havre AC,2-3,Final
19,21/12/2021,03:00,AS Nancy Lorraine,Dijon FCO,0-3,Final
19,21/12/2021,03:00,EA Guingamp,USL Dunkerque,2-1,Final
