Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
15/10/2022,,New York RB,FC Cincinnati,1-2
15/10/2022,,Los Angeles Galaxy,Nashville SC,1-0
16/10/2022,,Austin FC,Real Salt Lake,3-1
17/10/2022,,CF Montréal,Orlando City,2-0
18/10/2022,,New York City FC,Inter Miami CF,3-0
18/10/2022,,FC Dallas,Minnesota United FC,5-4
21/10/2022,,Philadelphia Union,FC Cincinnati,1-0
21/10/2022,,Los Angeles FC,Los Angeles Galaxy,3-2
23/10/2022,,CF Montréal,New York City FC,1-3
24/10/2022,,Austin FC,FC Dallas,2-1
30/10/2022,,Los Angeles FC,Austin FC,3-0
31/10/2022,,Philadelphia Union,New York City FC,3-1
05/11/2022,,Los Angeles FC,Philadelphia Union,3-0
