Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
23/04/2022,1,Motherwell FC,Rangers FC,1-3
24/04/2022,1,Ross County FC,Celtic FC,0-2
24/04/2022,1,Dundee United,Heart of Midlothian,2-3
30/04/2022,2,Dundee United,Motherwell FC,1-0
30/04/2022,2,Heart of Midlothian,Ross County FC,0-0
01/05/2022,2,Celtic FC,Rangers FC,1-1
07/05/2022,3,Celtic FC,Heart of Midlothian,4-1
07/05/2022,3,Ross County FC,Motherwell FC,0-1
08/05/2022,3,Rangers FC,Dundee United,2-0
11/05/2022,4,Dundee United,Celtic FC,1-1
11/05/2022,4,Motherwell FC,Heart of Midlothian,2-1
11/05/2022,4,Rangers FC,Ross County FC,4-1
14/05/2022,5,Celtic FC,Motherwell FC,6-0
14/05/2022,5,Heart of Midlothian,Rangers FC,1-3
14/05/2022,5,Ross County FC,Dundee United,1-2
