Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
06/08/2021,1,Sporting CP,FC Vizela,3-0
07/08/2021,1,FC Arouca,GD Estoril,0-2
07/08/2021,1,Moreirense FC,SL Benfica,1-2
07/08/2021,1,CS Marítimo,Sporting Braga,0-2
08/08/2021,1,CD Tondela,CD Santa Clara,3-0
08/08/2021,1,Vitória Guimarães,Portimonense SC,0-1
08/08/2021,1,FC Porto,B-SAD,2-0
08/08/2021,1,Paços de Ferreira,FC Famalicão,2-0
09/08/2021,1,Gil Vicente,Boavista,3-0
13/08/2021,2,GD Estoril,Vitória Guimarães,0-0
14/08/2021,2,FC Vizela,CD Tondela,2-1
14/08/2021,2,SL Benfica,FC Arouca,2-0
14/08/2021,2,Sporting Braga,Sporting CP,1-2
15/08/2021,2,Portimonense SC,Gil Vicente,0-1
15/08/2021,2,FC Famalicão,FC Porto,1-2
15/08/2021,2,CD Santa Clara,Moreirense FC,2-2
16/08/2021,2,Boavista,Paços de Ferreira,3-0
16/08/2021,2,B-SAD,CS Marítimo,1-2
20/08/2021,3,FC Arouca,FC Famalicão,2-1
20/08/2021,3,Moreirense FC,Sporting Braga,2-3
21/08/2021,3,Gil Vicente,SL Benfica,0-2
21/08/2021,3,Sporting CP,B-SAD,2-0
22/08/2021,3,CD Tondela,Portimonense SC,0-3
22/08/2021,3,CS Marítimo,FC Porto,1-1
22/08/2021,3,Vitória Guimarães,FC Vizela,4-0
23/08/2021,3,Paços de Ferreira,GD Estoril,1-3
23/08/2021,3,Boavista,CD Santa Clara,2-0
27/08/2021,4,B-SAD,Moreirense FC,1-1
27/08/2021,4,GD Estoril,CS Marítimo,2-1
28/08/2021,4,FC Vizela,Boavista,1-1
28/08/2021,4,FC Porto,FC Arouca,3-0
28/08/2021,4,FC Famalicão,Sporting CP,1-1
29/08/2021,4,SL Benfica,CD Tondela,2-1
29/08/2021,4,Sporting Braga,Vitória Guimarães,0-0
29/08/2021,4,CD Santa Clara,Gil Vicente,1-0
29/08/2021,4,Portimonense SC,Paços de Ferreira,0-1
11/09/2021,5,Paços de Ferreira,Sporting Braga,0-0
11/09/2021,5,CD Santa Clara,SL Benfica,0-5
11/09/2021,5,Sporting CP,FC Porto,1-1
12/09/2021,5,Moreirense FC,FC Famalicão,2-2
12/09/2021,5,Boavista,Portimonense SC,1-1
12/09/2021,5,Gil Vicente,FC Vizela,2-2
12/09/2021,5,Vitória Guimarães,B-SAD,0-0
13/09/2021,5,CS Marítimo,FC Arouca,2-2
13/09/2021,5,CD Tondela,GD Estoril,1-2
17/09/2021,6,Portimonense SC,CD Santa Clara,2-1
18/09/2021,6,FC Famalicão,CS Marítimo,0-0
18/09/2021,6,B-SAD,Gil Vicente,1-1
18/09/2021,6,FC Arouca,Vitória Guimarães,2-2
19/09/2021,6,FC Vizela,Paços de Ferreira,1-1
19/09/2021,6,FC Porto,Moreirense FC,5-0
19/09/2021,6,GD Estoril,Sporting CP,0-1
20/09/2021,6,SL Benfica,Boavista,3-1
20/09/2021,6,Sporting Braga,CD Tondela,3-1
24/09/2021,7,Sporting CP,CS Marítimo,1-0
24/09/2021,7,Gil Vicente,FC Porto,1-2
25/09/2021,7,Moreirense FC,FC Arouca,2-1
25/09/2021,7,Vitória Guimarães,SL Benfica,1-3
25/09/2021,7,CD Tondela,FC Famalicão,3-2
26/09/2021,7,CD Santa Clara,Sporting Braga,1-1
26/09/2021,7,Portimonense SC,FC Vizela,0-0
27/09/2021,7,Paços de Ferreira,B-SAD,2-2
27/09/2021,7,Boavista,GD Estoril,1-1
01/10/2021,8,CS Marítimo,Moreirense FC,0-0
01/10/2021,8,FC Famalicão,Vitória Guimarães,1-2
02/10/2021,8,FC Vizela,CD Santa Clara,1-1
02/10/2021,8,FC Porto,Paços de Ferreira,2-1
02/10/2021,8,FC Arouca,Sporting CP,1-2
03/10/2021,8,B-SAD,CD Tondela,0-2
03/10/2021,8,SL Benfica,Portimonense SC,0-1
03/10/2021,8,GD Estoril,Gil Vicente,2-2
03/10/2021,8,Sporting Braga,Boavista,2-2
22/10/2021,9,Vitória Guimarães,CS Marítimo,2-1
23/10/2021,9,CD Santa Clara,FC Famalicão,0-2
23/10/2021,9,CD Tondela,FC Porto,1-3
23/10/2021,9,Sporting CP,Moreirense FC,1-0
24/10/2021,9,Paços de Ferreira,FC Arouca,0-0
24/10/2021,9,FC Vizela,SL Benfica,0-1
24/10/2021,9,Portimonense SC,GD Estoril,0-2
25/10/2021,9,Gil Vicente,Sporting Braga,0-1
25/10/2021,9,Boavista,B-SAD,0-0
29/10/2021,10,FC Arouca,CD Tondela,2-0
30/10/2021,10,FC Porto,Boavista,4-1
30/10/2021,10,GD Estoril,SL Benfica,1-1
30/10/2021,10,Sporting CP,Vitória Guimarães,1-0
31/10/2021,10,CS Marítimo,Gil Vicente,1-2
31/10/2021,10,B-SAD,CD Santa Clara,2-1
31/10/2021,10,FC Famalicão,FC Vizela,1-1
01/11/2021,10,Sporting Braga,Portimonense SC,3-0
01/11/2021,10,Moreirense FC,Paços de Ferreira,1-1
05/11/2021,11,Gil Vicente,FC Arouca,1-1
05/11/2021,11,Boavista,FC Famalicão,2-5
06/11/2021,11,FC Vizela,GD Estoril,1-1
06/11/2021,11,Portimonense SC,B-SAD,2-0
06/11/2021,11,Vitória Guimarães,Moreirense FC,2-1
07/11/2021,11,CD Tondela,CS Marítimo,4-2
07/11/2021,11,CD Santa Clara,FC Porto,0-3
07/11/2021,11,Paços de Ferreira,Sporting CP,0-2
07/11/2021,11,SL Benfica,Sporting Braga,6-1
26/11/2021,12,Moreirense FC,Gil Vicente,2-2
27/11/2021,12,FC Famalicão,Portimonense SC,0-3
27/11/2021,12,FC Arouca,Boavista,2-1
27/11/2021,12,B-SAD,SL Benfica,0-7
28/11/2021,12,CS Marítimo,Paços de Ferreira,2-0
28/11/2021,12,Sporting CP,CD Tondela,2-0
28/11/2021,12,FC Porto,Vitória Guimarães,2-1
29/11/2021,12,GD Estoril,CD Santa Clara,2-2
30/11/2021,12,Sporting Braga,FC Vizela,4-1
03/12/2021,13,Portimonense SC,FC Porto,0-3
03/12/2021,13,SL Benfica,Sporting CP,1-3
04/12/2021,13,Boavista,CS Marítimo,1-1
04/12/2021,13,Paços de Ferreira,Vitória Guimarães,1-2
05/12/2021,13,CD Santa Clara,FC Arouca,2-1
05/12/2021,13,Gil Vicente,FC Famalicão,4-0
05/12/2021,13,Sporting Braga,GD Estoril,2-0
02/01/2022,13,FC Vizela,B-SAD,2-0
03/01/2022,13,CD Tondela,Moreirense FC,2-1
10/12/2021,14,Paços de Ferreira,Gil Vicente,0-1
11/12/2021,14,CS Marítimo,CD Santa Clara,4-1
11/12/2021,14,Vitória Guimarães,CD Tondela,5-2
11/12/2021,14,Sporting CP,Boavista,2-0
12/12/2021,14,B-SAD,GD Estoril,0-1
12/12/2021,14,Moreirense FC,Portimonense SC,0-1
12/12/2021,14,FC Famalicão,SL Benfica,1-4
12/12/2021,14,FC Porto,Sporting Braga,1-0
13/12/2021,14,FC Arouca,FC Vizela,1-4
17/12/2021,15,CD Santa Clara,Vitória Guimarães,1-0
17/12/2021,15,GD Estoril,FC Famalicão,2-2
18/12/2021,15,CD Tondela,Paços de Ferreira,0-1
18/12/2021,15,Portimonense SC,FC Arouca,1-1
18/12/2021,15,Gil Vicente,Sporting CP,0-3
19/12/2021,15,SL Benfica,CS Marítimo,7-1
19/12/2021,15,Boavista,Moreirense FC,1-0
19/12/2021,15,FC Vizela,FC Porto,0-4
19/12/2021,15,Sporting Braga,B-SAD,1-0
28/12/2021,16,CD Tondela,Gil Vicente,0-3
28/12/2021,16,CS Marítimo,FC Vizela,2-0
28/12/2021,16,Moreirense FC,GD Estoril,1-0
29/12/2021,16,Vitória Guimarães,Boavista,1-1
29/12/2021,16,Sporting CP,Portimonense SC,3-2
30/12/2021,16,Paços de Ferreira,CD Santa Clara,2-1
30/12/2021,16,FC Arouca,Sporting Braga,0-6
30/12/2021,16,FC Porto,SL Benfica,3-1
13/01/2022,16,FC Famalicão,B-SAD,1-0
07/01/2022,17,CD Santa Clara,Sporting CP,3-2
08/01/2022,17,FC Vizela,Moreirense FC,0-1
08/01/2022,17,GD Estoril,FC Porto,2-3
08/01/2022,17,Boavista,CD Tondela,1-1
09/01/2022,17,Portimonense SC,CS Marítimo,1-2
09/01/2022,17,SL Benfica,Paços de Ferreira,2-0
09/01/2022,17,Sporting Braga,FC Famalicão,2-2
09/01/2022,17,B-SAD,FC Arouca,2-1
10/01/2022,17,Gil Vicente,Vitória Guimarães,3-2
15/01/2022,18,Boavista,Gil Vicente,1-1
15/01/2022,18,SL Benfica,Moreirense FC,1-1
15/01/2022,18,Sporting Braga,CS Marítimo,0-1
16/01/2022,18,CD Santa Clara,CD Tondela,2-2
16/01/2022,18,FC Vizela,Sporting CP,0-2
16/01/2022,18,FC Famalicão,Paços de Ferreira,0-0
16/01/2022,18,B-SAD,FC Porto,1-4
17/01/2022,18,Portimonense SC,Vitória Guimarães,1-1
27/01/2022,18,GD Estoril,FC Arouca,1-2
21/01/2022,19,FC Arouca,SL Benfica,0-2
21/01/2022,19,Paços de Ferreira,Boavista,1-1
22/01/2022,19,Moreirense FC,CD Santa Clara,0-2
22/01/2022,19,CD Tondela,FC Vizela,2-3
22/01/2022,19,Sporting CP,Sporting Braga,1-2
23/01/2022,19,CS Marítimo,B-SAD,1-1
23/01/2022,19,Vitória Guimarães,GD Estoril,3-1
23/01/2022,19,Gil Vicente,Portimonense SC,1-0
23/01/2022,19,FC Porto,FC Famalicão,3-1
30/01/2022,20,Portimonense SC,CD Tondela,1-2
30/01/2022,20,FC Vizela,Vitória Guimarães,3-2
30/01/2022,20,Sporting Braga,Moreirense FC,2-0
30/01/2022,20,FC Porto,CS Marítimo,2-1
31/01/2022,20,GD Estoril,Paços de Ferreira,0-0
31/01/2022,20,FC Famalicão,FC Arouca,0-0
01/02/2022,20,CD Santa Clara,Boavista,2-1
02/02/2022,20,SL Benfica,Gil Vicente,1-2
02/02/2022,20,B-SAD,Sporting CP,1-4
05/02/2022,21,CS Marítimo,GD Estoril,0-0
05/02/2022,21,Paços de Ferreira,Portimonense SC,1-1
05/02/2022,21,Vitória Guimarães,Sporting Braga,2-1
06/02/2022,21,Boavista,FC Vizela,2-2
06/02/2022,21,Gil Vicente,CD Santa Clara,2-2
06/02/2022,21,FC Arouca,FC Porto,0-2
06/02/2022,21,Sporting CP,FC Famalicão,2-0
07/02/2022,21,CD Tondela,SL Benfica,1-3
07/02/2022,21,Moreirense FC,B-SAD,4-1
11/02/2022,22,FC Porto,Sporting CP,2-2
12/02/2022,22,Sporting Braga,Paços de Ferreira,2-1
12/02/2022,22,SL Benfica,CD Santa Clara,2-1
12/02/2022,22,Portimonense SC,Boavista,1-1
12/02/2022,22,GD Estoril,CD Tondela,1-0
13/02/2022,22,FC Famalicão,Moreirense FC,5-0
13/02/2022,22,B-SAD,Vitória Guimarães,1-0
13/02/2022,22,FC Vizela,Gil Vicente,0-1
14/02/2022,22,FC Arouca,CS Marítimo,0-3
18/02/2022,23,Boavista,SL Benfica,2-2
19/02/2022,23,Gil Vicente,B-SAD,2-0
19/02/2022,23,Paços de Ferreira,FC Vizela,2-1
19/02/2022,23,Vitória Guimarães,FC Arouca,1-3
20/02/2022,23,CS Marítimo,FC Famalicão,0-1
20/02/2022,23,Sporting CP,GD Estoril,3-0
20/02/2022,23,Moreirense FC,FC Porto,0-1
20/02/2022,23,CD Tondela,Sporting Braga,0-1
21/02/2022,23,CD Santa Clara,Portimonense SC,1-1
25/02/2022,24,B-SAD,Paços de Ferreira,0-2
26/02/2022,24,FC Famalicão,CD Tondela,2-1
26/02/2022,24,CS Marítimo,Sporting CP,1-1
26/02/2022,24,FC Arouca,Moreirense FC,1-1
27/02/2022,24,FC Vizela,Portimonense SC,1-1
27/02/2022,24,SL Benfica,Vitória Guimarães,3-0
27/02/2022,24,GD Estoril,Boavista,2-3
27/02/2022,24,FC Porto,Gil Vicente,1-1
28/02/2022,24,Sporting Braga,CD Santa Clara,0-0
04/03/2022,25,Gil Vicente,GD Estoril,0-0
05/03/2022,25,Boavista,Sporting Braga,1-1
05/03/2022,25,Portimonense SC,SL Benfica,1-2
05/03/2022,25,Sporting CP,FC Arouca,2-0
06/03/2022,25,Moreirense FC,CS Marítimo,0-1
06/03/2022,25,Paços de Ferreira,FC Porto,2-4
06/03/2022,25,CD Santa Clara,FC Vizela,3-1
06/03/2022,25,Vitória Guimarães,FC Famalicão,2-1
07/03/2022,25,CD Tondela,B-SAD,1-1
11/03/2022,26,SL Benfica,FC Vizela,1-1
12/03/2022,26,FC Famalicão,CD Santa Clara,0-0
