Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
10/05/2022,,Boyacá Chicó,Leones FC,1-1
11/05/2022,,Real Cartagena,Llaneros FC,0-4
17/05/2022,,Llaneros FC,Boyacá Chicó,0-0
18/05/2022,,Leones FC,Real Cartagena,0-0
22/05/2022,,Llaneros FC,Leones FC,3-3
23/05/2022,,Real Cartagena,Boyacá Chicó,2-1
26/05/2022,,Leones FC,Llaneros FC,1-1
27/05/2022,,Boyacá Chicó,Real Cartagena,3-0
02/06/2022,,Real Cartagena,Leones FC,0-1
03/06/2022,,Boyacá Chicó,Llaneros FC,2-1
06/06/2022,,Leones FC,Boyacá Chicó,0-0
06/06/2022,,Llaneros FC,Real Cartagena,0-0
07/05/2022,,Bogotá FC,Tigres FC,2-1
10/05/2022,,Deportes Quindío,Fortaleza FC,1-1
17/05/2022,,Tigres FC,Deportes Quindío,0-1
18/05/2022,,Fortaleza FC,Bogotá FC,0-1
24/05/2022,,Deportes Quindío,Bogotá FC,2-1
24/05/2022,,Fortaleza FC,Tigres FC,2-1
26/05/2022,,Tigres FC,Fortaleza FC,0-0
28/05/2022,,Bogotá FC,Deportes Quindío,1-1
31/05/2022,,Bogotá FC,Fortaleza FC,0-2
31/05/2022,,Deportes Quindío,Tigres FC,1-0
04/06/2022,,Tigres FC,Bogotá FC,1-0
07/06/2022,,Fortaleza FC,Deportes Quindío,1-1
13/06/2022,,Boyacá Chicó,Deportes Quindío,0-0
18/06/2022,,Deportes Quindío,Boyacá Chicó,2-4
