Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
22/01/2022,1,Atlético FC,Boca Juniors de Cali,1-0
22/01/2022,1,Fortaleza FC,Atlético Huila,3-1
23/01/2022,1,Tigres FC,Real Cartagena,1-2
23/01/2022,1,Real Soacha Cundinamarca,Real Santander,1-0
24/01/2022,1,Llaneros FC,Orsomarso SC,0-1
25/01/2022,1,Deportes Quindío,Bogotá FC,1-2
17/02/2022,1,Boyacá Chicó,Leones FC,1-0
29/01/2022,2,Atlético FC,Real Soacha Cundinamarca,0-0
30/01/2022,2,Atlético Huila,Barranquilla FC,0-0
30/01/2022,2,Leones FC,Boca Juniors de Cali,2-1
30/01/2022,2,Real Santander,Tigres FC,0-0
31/01/2022,2,Orsomarso SC,Deportes Quindío,1-1
31/01/2022,2,Bogotá FC,Boyacá Chicó,0-0
01/02/2022,2,Real Cartagena,Fortaleza FC,1-1
05/02/2022,3,Tigres FC,Atlético FC,1-1
05/02/2022,3,Boca Juniors de Cali,Bogotá FC,1-1
06/02/2022,3,Barranquilla FC,Real Cartagena,0-2
06/02/2022,3,Boyacá Chicó,Orsomarso SC,2-1
06/02/2022,3,Deportes Quindío,Llaneros FC,0-0
06/02/2022,3,Fortaleza FC,Real Santander,2-3
06/02/2022,3,Real Soacha Cundinamarca,Leones FC,0-1
13/02/2022,4,Leones FC,Tigres FC,3-1
13/02/2022,4,Atlético FC,Fortaleza FC,2-2
13/02/2022,4,Llaneros FC,Boyacá Chicó,1-2
13/02/2022,4,Real Santander,Barranquilla FC,2-3
14/02/2022,4,Orsomarso SC,Boca Juniors de Cali,2-0
15/02/2022,4,Bogotá FC,Real Soacha Cundinamarca,2-1
15/02/2022,4,Real Cartagena,Atlético Huila,1-1
18/02/2022,5,Tigres FC,Bogotá FC,3-0
19/02/2022,5,Barranquilla FC,Atlético FC,1-0
19/02/2022,5,Boca Juniors de Cali,Llaneros FC,1-1
19/02/2022,5,Fortaleza FC,Leones FC,1-2
20/02/2022,5,Atlético Huila,Real Santander,1-1
20/02/2022,5,Real Soacha Cundinamarca,Orsomarso SC,2-0
21/02/2022,5,Boyacá Chicó,Deportes Quindío,2-3
26/02/2022,6,Llaneros FC,Real Soacha Cundinamarca,0-0
26/02/2022,6,Orsomarso SC,Tigres FC,0-2
27/02/2022,6,Leones FC,Barranquilla FC,3-1
27/02/2022,6,Bogotá FC,Fortaleza FC,0-1
27/02/2022,6,Real Santander,Real Cartagena,1-2
28/02/2022,6,Atlético FC,Atlético Huila,1-0
28/02/2022,6,Deportes Quindío,Boca Juniors de Cali,1-0
06/03/2022,7,Boca Juniors de Cali,Boyacá Chicó,1-1
06/03/2022,7,Real Cartagena,Atlético FC,0-0
06/03/2022,7,Tigres FC,Llaneros FC,0-1
06/03/2022,7,Barranquilla FC,Bogotá FC,2-4
07/03/2022,7,Fortaleza FC,Orsomarso SC,6-2
07/03/2022,7,Atlético Huila,Leones FC,1-1
07/03/2022,7,Real Soacha Cundinamarca,Deportes Quindío,0-0
10/03/2022,8,Atlético FC,Real Santander,0-1
10/03/2022,8,Leones FC,Real Cartagena,1-0
10/03/2022,8,Orsomarso SC,Barranquilla FC,2-1
11/03/2022,8,Boyacá Chicó,Real Soacha Cundinamarca,2-2
11/03/2022,8,Deportes Quindío,Tigres FC,0-0
11/03/2022,8,Bogotá FC,Atlético Huila,2-0
14/03/2022,8,Llaneros FC,Fortaleza FC,0-1
19/03/2022,9,Real Cartagena,Bogotá FC,1-1
20/03/2022,9,Atlético Huila,Orsomarso SC,0-1
20/03/2022,9,Fortaleza FC,Deportes Quindío,2-2
20/03/2022,9,Real Soacha Cundinamarca,Boca Juniors de Cali,2-1
21/03/2022,9,Real Santander,Leones FC,0-4
22/03/2022,9,Tigres FC,Boyacá Chicó,1-0
06/04/2022,9,Barranquilla FC,Llaneros FC,1-2
26/03/2022,10,Leones FC,Atlético FC,1-1
26/03/2022,10,Deportes Quindío,Barranquilla FC,2-1
26/03/2022,10,Boca Juniors de Cali,Tigres FC,2-0
26/03/2022,10,Bogotá FC,Real Santander,2-1
26/03/2022,10,Llaneros FC,Atlético Huila,2-1
27/03/2022,10,Boyacá Chicó,Fortaleza FC,0-1
28/03/2022,10,Orsomarso SC,Real Cartagena,1-2
02/04/2022,11,Real Cartagena,Llaneros FC,2-0
02/04/2022,11,Fortaleza FC,Boca Juniors de Cali,3-1
03/04/2022,11,Real Santander,Orsomarso SC,0-0
03/04/2022,11,Tigres FC,Real Soacha Cundinamarca,3-2
03/04/2022,11,Barranquilla FC,Boyacá Chicó,2-2
04/04/2022,11,Atlético Huila,Deportes Quindío,0-0
06/04/2022,11,Atlético FC,Bogotá FC,3-1
09/04/2022,12,Boyacá Chicó,Atlético Huila,1-0
09/04/2022,12,Bogotá FC,Leones FC,1-0
10/04/2022,12,Llaneros FC,Real Santander,2-2
10/04/2022,12,Orsomarso SC,Atlético FC,1-0
10/04/2022,12,Real Soacha Cundinamarca,Fortaleza FC,1-1
11/04/2022,12,Boca Juniors de Cali,Barranquilla FC,0-0
13/04/2022,12,Deportes Quindío,Real Cartagena,5-0
15/04/2022,13,Atlético FC,Llaneros FC,1-3
16/04/2022,13,Fortaleza FC,Tigres FC,1-2
16/04/2022,13,Real Santander,Deportes Quindío,0-1
16/04/2022,13,Barranquilla FC,Real Soacha Cundinamarca,1-1
17/04/2022,13,Atlético Huila,Boca Juniors de Cali,2-0
18/04/2022,13,Leones FC,Orsomarso SC,3-1
20/04/2022,13,Real Cartagena,Boyacá Chicó,3-1
23/04/2022,14,Deportes Quindío,Atlético FC,1-0
23/04/2022,14,Orsomarso SC,Bogotá FC,1-1
23/04/2022,14,Llaneros FC,Leones FC,1-0
24/04/2022,14,Real Soacha Cundinamarca,Atlético Huila,1-0
25/04/2022,14,Boca Juniors de Cali,Real Cartagena,1-2
25/04/2022,14,Tigres FC,Barranquilla FC,2-0
26/04/2022,14,Boyacá Chicó,Real Santander,2-1
03/05/2022,15,Real Santander,Boca Juniors de Cali,1-1
04/05/2022,15,Atlético FC,Boyacá Chicó,0-2
04/05/2022,15,Barranquilla FC,Fortaleza FC,0-1
04/05/2022,15,Bogotá FC,Llaneros FC,0-1
04/05/2022,15,Atlético Huila,Tigres FC,0-0
04/05/2022,15,Leones FC,Deportes Quindío,0-0
04/05/2022,15,Real Cartagena,Real Soacha Cundinamarca,1-2
