Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
15/10/2022,,Fortaleza FC,Llaneros FC,1-2
15/10/2022,,Boyacá Chicó,Barranquilla FC,1-0
18/10/2022,,Llaneros FC,Boyacá Chicó,1-0
19/10/2022,,Barranquilla FC,Fortaleza FC,0-1
21/10/2022,,Barranquilla FC,Llaneros FC,2-2
25/10/2022,,Boyacá Chicó,Fortaleza FC,0-0
28/10/2022,,Llaneros FC,Barranquilla FC,2-0
29/10/2022,,Fortaleza FC,Boyacá Chicó,0-2
01/11/2022,,Fortaleza FC,Barranquilla FC,1-0
02/11/2022,,Boyacá Chicó,Llaneros FC,3-0
07/11/2022,,Barranquilla FC,Boyacá Chicó,0-2
07/11/2022,,Llaneros FC,Fortaleza FC,0-0
15/10/2022,,Atlético Huila,Deportes Quindío,2-1
15/10/2022,,Real Santander,Tigres FC,0-0
21/10/2022,,Tigres FC,Atlético Huila,0-1
21/10/2022,,Deportes Quindío,Real Santander,1-0
23/10/2022,,Deportes Quindío,Tigres FC,1-0
23/10/2022,,Atlético Huila,Real Santander,1-1
29/10/2022,,Real Santander,Atlético Huila,0-1
30/10/2022,,Tigres FC,Deportes Quindío,1-2
03/11/2022,,Real Santander,Deportes Quindío,3-2
04/11/2022,,Atlético Huila,Tigres FC,1-0
07/11/2022,,Tigres FC,Real Santander,1-0
08/11/2022,,Deportes Quindío,Atlético Huila,3-0
12/11/2022,,Boyacá Chicó,Atlético Huila,1-0
16/11/2022,,Atlético Huila,Boyacá Chicó,4-2
