Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
15/10/2022,,Estudiantes de Caseros,Chaco For Ever,3-0
16/10/2022,,All Boys,Defensores de Belgrano,0-2
16/10/2022,,Gimnasia de Mendoza,Deportivo Morón,1-1
16/10/2022,,Almagro,Independiente Rivadavia,1-2
16/10/2022,,Estudiantes de Río Cuarto,Deportivo Riestra,1-0
22/10/2022,,Gimnasia de Mendoza,Independiente Rivadavia,1-0
23/10/2022,,San Martín de Tucumán,Defensores de Belgrano,0-3
24/10/2022,,Estudiantes de Río Cuarto,Estudiantes de Caseros,0-1
30/10/2022,,Estudiantes de Caseros,Gimnasia de Mendoza,1-0
30/10/2022,,Defensores de Belgrano,Instituto de Córdoba,0-0
05/11/2022,,Gimnasia de Mendoza,Estudiantes de Caseros,0-1
06/11/2022,,Instituto de Córdoba,Defensores de Belgrano,2-0
13/11/2022,,Estudiantes de Caseros,Instituto de Córdoba,0-0
20/11/2022,,Instituto de Córdoba,Estudiantes de Caseros,1-1
