Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
12/02/2022,1,Deportivo Morón,Tristan Suárez,0-0
12/02/2022,1,Almagro,Mitre de SdE,2-1
12/02/2022,1,Deportivo Madryn,Agropecuario Argentino,1-0
12/02/2022,1,Flandria,Defensores de Belgrano,1-1
12/02/2022,1,Villa Dálmine,Guillermo Brown,1-2
12/02/2022,1,Temperley,San Martín de Tucumán,1-2
13/02/2022,1,Alvarado,Sacachispas,1-1
13/02/2022,1,Gimnasia de Jujuy,Brown de Adrogué,3-3
13/02/2022,1,All Boys,Atlanta,1-0
13/02/2022,1,Almirante Brown,Chacarita Juniors,4-2
13/02/2022,1,Deportivo Maipú,Independiente Rivadavia,1-1
13/02/2022,1,Gimnasia de Mendoza,San Martín de San Juan,0-1
14/02/2022,1,Güemes de SdE,Estudiantes de Caseros,1-1
14/02/2022,1,Estudiantes de Río Cuarto,Instituto de Córdoba,1-1
14/02/2022,1,Deportivo Riestra,Ramón Santamarina,2-0
14/02/2022,1,San Telmo,Chaco For Ever,1-1
14/02/2022,1,Nueva Chicago,Ferro Carril Oeste,0-1
15/02/2022,1,Belgrano de Córdoba,Atlético Rafaela,1-0
18/02/2022,2,Agropecuario Argentino,Estudiantes de Río Cuarto,0-1
18/02/2022,2,Instituto de Córdoba,Alvarado,0-0
19/02/2022,2,Defensores de Belgrano,Temperley,0-2
19/02/2022,2,Atlanta,Güemes de SdE,3-1
19/02/2022,2,Tristan Suárez,Deportivo Madryn,1-1
19/02/2022,2,Chacarita Juniors,Gimnasia de Jujuy,0-0
19/02/2022,2,Sacachispas,Almagro,0-1
19/02/2022,2,San Martín de San Juan,All Boys,0-1
19/02/2022,2,San Martín de Tucumán,Deportivo Morón,0-0
20/02/2022,2,Chaco For Ever,Gimnasia de Mendoza,1-0
20/02/2022,2,Mitre de SdE,Nueva Chicago,0-0
20/02/2022,2,Brown de Adrogué,Flandria,3-0
20/02/2022,2,Estudiantes de Caseros,Deportivo Riestra,0-0
20/02/2022,2,Guillermo Brown,Almirante Brown,3-1
20/02/2022,2,Independiente Rivadavia,Quilmes,1-0
20/02/2022,2,Atlético Rafaela,Villa Dálmine,1-1
21/02/2022,2,Ramón Santamarina,Belgrano de Córdoba,0-1
21/02/2022,2,Ferro Carril Oeste,Deportivo Maipú,0-1
25/02/2022,3,Deportivo Morón,Defensores de Belgrano,1-1
26/02/2022,3,Estudiantes de Río Cuarto,Tristan Suárez,1-1
26/02/2022,3,All Boys,Chaco For Ever,2-2
26/02/2022,3,Deportivo Madryn,San Martín de Tucumán,1-2
26/02/2022,3,Gimnasia de Jujuy,Guillermo Brown,3-1
26/02/2022,3,Nueva Chicago,Sacachispas,1-1
27/02/2022,3,Deportivo Maipú,Mitre de SdE,1-0
27/02/2022,3,Flandria,Chacarita Juniors,1-2
27/02/2022,3,Villa Dálmine,Ramón Santamarina,0-3
27/02/2022,3,Gimnasia de Mendoza,San Telmo,3-0
27/02/2022,3,Güemes de SdE,San Martín de San Juan,1-1
28/02/2022,3,Belgrano de Córdoba,Estudiantes de Caseros,2-1
28/02/2022,3,Temperley,Brown de Adrogué,0-1
28/02/2022,3,Deportivo Riestra,Atlanta,1-0
28/02/2022,3,Almagro,Instituto de Córdoba,0-1
01/03/2022,3,Almirante Brown,Atlético Rafaela,1-0
01/03/2022,3,Alvarado,Agropecuario Argentino,0-0
01/03/2022,3,Quilmes,Ferro Carril Oeste,2-1
04/03/2022,4,Brown de Adrogué,Deportivo Morón,1-0
05/03/2022,4,Tristan Suárez,Alvarado,3-3
05/03/2022,4,San Martín de Tucumán,Estudiantes de Río Cuarto,2-0
05/03/2022,4,Atlanta,Belgrano de Córdoba,1-1
05/03/2022,4,Defensores de Belgrano,Deportivo Madryn,1-2
05/03/2022,4,Agropecuario Argentino,Almagro,2-2
05/03/2022,4,Instituto de Córdoba,Nueva Chicago,2-1
06/03/2022,4,Estudiantes de Caseros,Villa Dálmine,2-2
06/03/2022,4,Chacarita Juniors,Temperley,2-2
06/03/2022,4,Guillermo Brown,Flandria,1-0
06/03/2022,4,Sacachispas,Deportivo Maipú,1-1
06/03/2022,4,San Martín de San Juan,Deportivo Riestra,0-1
06/03/2022,4,Atlético Rafaela,Gimnasia de Jujuy,3-0
06/03/2022,4,Chaco For Ever,Güemes de SdE,0-0
07/03/2022,4,Mitre de SdE,Quilmes,1-3
07/03/2022,4,San Telmo,All Boys,1-1
07/03/2022,4,Ramón Santamarina,Almirante Brown,2-2
08/03/2022,4,Ferro Carril Oeste,Independiente Rivadavia,0-0
11/03/2022,5,Villa Dálmine,Atlanta,0-0
11/03/2022,5,Almagro,Tristan Suárez,1-0
12/03/2022,5,Belgrano de Córdoba,San Martín de San Juan,2-0
12/03/2022,5,Estudiantes de Río Cuarto,Defensores de Belgrano,0-2
12/03/2022,5,Deportivo Riestra,Chaco For Ever,1-1
12/03/2022,5,Deportivo Madryn,Brown de Adrogué,1-1
12/03/2022,5,Flandria,Atlético Rafaela,2-1
12/03/2022,5,Quilmes,Sacachispas,1-1
12/03/2022,5,Temperley,Guillermo Brown,0-1
13/03/2022,5,Almirante Brown,Estudiantes de Caseros,1-0
13/03/2022,5,Güemes de SdE,San Telmo,0-1
13/03/2022,5,All Boys,Gimnasia de Mendoza,1-1
13/03/2022,5,Alvarado,San Martín de Tucumán,3-1
13/03/2022,5,Deportivo Maipú,Instituto de Córdoba,1-1
13/03/2022,5,Gimnasia de Jujuy,Ramón Santamarina,1-0
13/03/2022,5,Deportivo Morón,Chacarita Juniors,0-1
14/03/2022,5,Independiente Rivadavia,Mitre de SdE,1-0
14/03/2022,5,Nueva Chicago,Agropecuario Argentino,1-0
17/03/2022,6,Sacachispas,Independiente Rivadavia,3-1
17/03/2022,6,Atlanta,Almirante Brown,1-1
18/03/2022,6,Brown de Adrogué,Estudiantes de Río Cuarto,1-1
18/03/2022,6,San Telmo,Deportivo Riestra,0-0
18/03/2022,6,San Martín de San Juan,Villa Dálmine,4-0
18/03/2022,6,Atlético Rafaela,Temperley,1-0
19/03/2022,6,Agropecuario Argentino,Deportivo Maipú,2-0
19/03/2022,6,Tristan Suárez,Nueva Chicago,3-4
19/03/2022,6,Instituto de Córdoba,Quilmes,0-0
19/03/2022,6,Defensores de Belgrano,Alvarado,2-1
19/03/2022,6,Estudiantes de Caseros,Gimnasia de Jujuy,1-0
19/03/2022,6,Chacarita Juniors,Deportivo Madryn,0-2
19/03/2022,6,Guillermo Brown,Deportivo Morón,0-0
19/03/2022,6,Gimnasia de Mendoza,Güemes de SdE,1-1
19/03/2022,6,San Martín de Tucumán,Almagro,2-0
19/03/2022,6,Chaco For Ever,Belgrano de Córdoba,3-1
19/03/2022,6,Mitre de SdE,Ferro Carril Oeste,1-1
20/03/2022,6,Ramón Santamarina,Flandria,1-1
22/03/2022,7,Flandria,Estudiantes de Caseros,1-2
22/03/2022,7,Independiente Rivadavia,Instituto de Córdoba,1-2
23/03/2022,7,Almirante Brown,San Martín de San Juan,1-0
23/03/2022,7,Estudiantes de Río Cuarto,Chacarita Juniors,2-0
23/03/2022,7,Almagro,Defensores de Belgrano,0-1
23/03/2022,7,Villa Dálmine,Chaco For Ever,0-0
23/03/2022,7,Alvarado,Brown de Adrogué,1-2
23/03/2022,7,Deportivo Riestra,Gimnasia de Mendoza,0-0
23/03/2022,7,Deportivo Madryn,Guillermo Brown,0-1
23/03/2022,7,Nueva Chicago,San Martín de Tucumán,0-0
24/03/2022,7,Temperley,Ramón Santamarina,3-1
24/03/2022,7,Ferro Carril Oeste,Sacachispas,1-1
24/03/2022,7,Deportivo Morón,Atlético Rafaela,2-0
24/03/2022,7,Quilmes,Agropecuario Argentino,1-1
24/03/2022,7,Belgrano de Córdoba,San Telmo,3-1
