Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
24/04/2022,1,Club Brugge KV,Royal Antwerp FC,1-0
24/04/2022,1,Union Saint-Gilloise,RSC Anderlecht,3-1
01/05/2022,2,Royal Antwerp FC,Union Saint-Gilloise,0-0
01/05/2022,2,RSC Anderlecht,Club Brugge KV,0-0
08/05/2022,3,Union Saint-Gilloise,Club Brugge KV,0-2
08/05/2022,3,Royal Antwerp FC,RSC Anderlecht,0-4
11/05/2022,4,Club Brugge KV,Union Saint-Gilloise,1-0
12/05/2022,4,RSC Anderlecht,Royal Antwerp FC,2-1
15/05/2022,5,Royal Antwerp FC,Club Brugge KV,1-3
15/05/2022,5,RSC Anderlecht,Union Saint-Gilloise,0-2
22/05/2022,6,Union Saint-Gilloise,Royal Antwerp FC,0-1
22/05/2022,6,Club Brugge KV,RSC Anderlecht,1-1
