matchday,date,time,home_team,away_team,result,status
1,09/04/2022,03:00,Fluminense RJ,Santos FC,0-0,Final
1,10/04/2022,03:00,Atlético Goianiense,Flamengo RJ,1-1,Final
1,10/04/2022,03:00,Palmeiras,Ceará - CE,2-3,Final
1,10/04/2022,03:00,Coritiba - PR,Goiás - GO,3-0,Final
1,10/04/2022,03:00,Atlético Mineiro,Internacional,2-0,Final
1,10/04/2022,03:00,Botafogo - RJ,Corinthians SP,1-3,Final
1,10/04/2022,03:00,Fortaleza - CE,Cuiabá - MT,0-1,Final
1,11/04/2022,03:00,Avaí - SC,América - MG,1-0,Final
1,11/04/2022,03:00,São Paulo FC,Athletico Paranaense,4-0,Final
1,12/04/2022,03:00,Juventude - RS,Red Bull Bragantino,2-2,Final
2,16/04/2022,03:00,Goiás - GO,Palmeiras,1-1,Final
2,17/04/2022,03:00,América - MG,Juventude - RS,4-1,Final
2,17/04/2022,03:00,Corinthians SP,Avaí - SC,3-0,Final
2,17/04/2022,03:00,Cuiabá - MT,Fluminense RJ,0-1,Final
2,17/04/2022,03:00,Santos FC,Coritiba - PR,2-1,Final
2,17/04/2022,03:00,Flamengo RJ,São Paulo FC,3-1,Final
2,17/04/2022,03:00,Athletico Paranaense,Atlético Mineiro,0-1,Final
2,17/04/2022,03:00,Red Bull Bragantino,Atlético Goianiense,4-0,Final
2,17/04/2022,03:00,Internacional,Fortaleza - CE,2-1,Final
2,18/04/2022,03:00,Ceará - CE,Botafogo - RJ,1-3,Final
3,23/04/2022,03:00,Athletico Paranaense,Flamengo RJ,1-0,Final
3,23/04/2022,03:00,Red Bull Bragantino,São Paulo FC,1-1,Final
3,24/04/2022,03:00,Fluminense RJ,Internacional,0-1,Final
3,24/04/2022,03:00,Palmeiras,Corinthians SP,3-0,Final
3,24/04/2022,03:00,Atlético Mineiro,Coritiba - PR,2-2,Final
3,24/04/2022,03:00,Santos FC,América - MG,3-0,Final
3,24/04/2022,03:00,Juventude - RS,Cuiabá - MT,0-1,Final
3,24/04/2022,03:00,Atlético Goianiense,Botafogo - RJ,1-1,Final
3,26/04/2022,03:00,Avaí - SC,Goiás - GO,3-2,Final
3,02/06/2022,03:00,Fortaleza - CE,Ceará - CE,0-1,Final
4,21/04/2022,03:00,Flamengo RJ,Palmeiras,0-0,Final
4,30/04/2022,03:00,América - MG,Athletico Paranaense,1-0,Final
4,30/04/2022,03:00,Ceará - CE,Red Bull Bragantino,0-1,Final
4,30/04/2022,03:00,Goiás - GO,Atlético Mineiro,2-2,Final
4,01/05/2022,03:00,Cuiabá - MT,Atlético Goianiense,1-1,Final
4,01/05/2022,03:00,Botafogo - RJ,Juventude - RS,1-1,Final
4,01/05/2022,03:00,Corinthians SP,Fortaleza - CE,1-0,Final
4,01/05/2022,03:00,Coritiba - PR,Fluminense RJ,3-2,Final
4,02/05/2022,03:00,Internacional,Avaí - SC,0-0,Final
4,03/05/2022,03:00,São Paulo FC,Santos FC,2-1,Final
5,07/05/2022,03:00,Atlético Mineiro,América - MG,1-2,Final
5,08/05/2022,03:00,Athletico Paranaense,Ceará - CE,1-0,Final
5,08/05/2022,03:00,Flamengo RJ,Botafogo - RJ,0-1,Final
5,08/05/2022,03:00,Atlético Goianiense,Goiás - GO,0-1,Final
5,08/05/2022,03:00,Palmeiras,Fluminense RJ,1-1,Final
5,08/05/2022,03:00,Red Bull Bragantino,Corinthians SP,0-1,Final
5,08/05/2022,03:00,Santos FC,Cuiabá - MT,4-1,Final
5,09/05/2022,03:00,Fortaleza - CE,São Paulo FC,1-1,Final
5,09/05/2022,03:00,Juventude - RS,Internacional,1-1,Final
5,10/05/2022,03:00,Avaí - SC,Coritiba - PR,2-1,Final
6,14/05/2022,03:00,Ceará - CE,Flamengo RJ,2-2,Final
6,14/05/2022,03:00,Palmeiras,Red Bull Bragantino,2-0,Final
6,15/05/2022,03:00,Atlético Mineiro,Atlético Goianiense,2-0,Final
6,15/05/2022,03:00,Internacional,Corinthians SP,2-2,Final
6,15/05/2022,03:00,Fluminense RJ,Athletico Paranaense,2-1,Final
6,15/05/2022,03:00,São Paulo FC,Cuiabá - MT,2-1,Final
6,15/05/2022,03:00,Coritiba - PR,América - MG,1-0,Final
6,15/05/2022,03:00,Avaí - SC,Juventude - RS,1-2,Final
6,15/05/2022,03:00,Botafogo - RJ,Fortaleza - CE,3-1,Final
6,16/05/2022,03:00,Goiás - GO,Santos FC,1-0,Final
7,12/05/2022,03:00,Red Bull Bragantino,Atlético Mineiro,1-1,Final
7,21/05/2022,03:00,Atlético Goianiense,Coritiba - PR,2-0,Final
7,21/05/2022,03:00,Flamengo RJ,Goiás - GO,1-0,Final
7,21/05/2022,03:00,Santos FC,Ceará - CE,0-0,Final
7,22/05/2022,03:00,Juventude - RS,Palmeiras,0-3,Final
7,22/05/2022,03:00,América - MG,Botafogo - RJ,1-1,Final
7,22/05/2022,03:00,Cuiabá - MT,Internacional,1-1,Final
7,22/05/2022,03:00,Corinthians SP,São Paulo FC,1-1,Final
7,22/05/2022,03:00,Fortaleza - CE,Fluminense RJ,0-1,Final
7,23/05/2022,03:00,Athletico Paranaense,Avaí - SC,2-1,Final
8,28/05/2022,03:00,Goiás - GO,Red Bull Bragantino,1-1,Final
8,29/05/2022,03:00,São Paulo FC,Ceará - CE,2-2,Final
8,29/05/2022,03:00,Fortaleza - CE,Juventude - RS,1-1,Final
8,29/05/2022,03:00,Coritiba - PR,Botafogo - RJ,1-0,Final
8,29/05/2022,03:00,Santos FC,Palmeiras,0-1,Final
8,29/05/2022,03:00,Corinthians SP,América - MG,1-1,Final
8,29/05/2022,03:00,Cuiabá - MT,Athletico Paranaense,0-1,Final
8,29/05/2022,03:00,Fluminense RJ,Flamengo RJ,1-2,Final
8,30/05/2022,03:00,Atlético Mineiro,Avaí - SC,2-1,Final
8,31/05/2022,03:00,Internacional,Atlético Goianiense,1-1,Final
9,04/06/2022,03:00,América - MG,Cuiabá - MT,2-1,Final
9,05/06/2022,03:00,Athletico Paranaense,Santos FC,2-2,Final
9,05/06/2022,03:00,Avaí - SC,São Paulo FC,1-1,Final
