matchday,date,time,home_team,away_team,result,status
1,20/08/2021,03:00,Frosinone Calcio,Parma Calcio 1913,2-2,Final
1,21/08/2021,03:00,Pordenone Calcio,AC Perugia Calcio,0-1,Final
1,21/08/2021,03:00,AS Cittadella,L.R. Vicenza,1-0,Final
1,22/08/2021,03:00,Reggina 1914,AC Monza,0-0,Final
1,22/08/2021,03:00,Ternana Calcio,Brescia Calcio,0-2,Final
1,22/08/2021,03:00,Pisa SC,SPAL 2013 Ferrara,1-0,Final
1,22/08/2021,03:00,Benevento Calcio,US Alessandria 1912,4-3,Final
1,22/08/2021,03:00,FC Crotone,Como 1907,2-2,Final
1,22/08/2021,03:00,US Cremonese,US Lecce,3-0,Final
1,22/08/2021,03:00,Ascoli Calcio,Cosenza Calcio,1-0,Final
2,27/08/2021,03:00,Pisa SC,US Alessandria 1912,2-0,Final
2,27/08/2021,03:00,Brescia Calcio,Cosenza Calcio,5-1,Final
2,28/08/2021,03:00,L.R. Vicenza,Frosinone Calcio,0-2,Final
2,28/08/2021,03:00,AC Perugia Calcio,Ascoli Calcio,2-3,Final
2,29/08/2021,03:00,AS Cittadella,FC Crotone,4-2,Final
2,29/08/2021,03:00,Parma Calcio 1913,Benevento Calcio,1-0,Final
2,29/08/2021,03:00,Reggina 1914,Ternana Calcio,3-2,Final
2,29/08/2021,03:00,SPAL 2013 Ferrara,Pordenone Calcio,5-0,Final
2,29/08/2021,03:00,AC Monza,US Cremonese,1-0,Final
2,29/08/2021,03:00,US Lecce,Como 1907,1-1,Final
3,10/09/2021,03:00,Benevento Calcio,US Lecce,0-0,Final
3,11/09/2021,03:00,Como 1907,Ascoli Calcio,0-1,Final
3,11/09/2021,03:00,Frosinone Calcio,AC Perugia Calcio,0-0,Final
3,11/09/2021,03:00,SPAL 2013 Ferrara,AC Monza,1-1,Final
3,11/09/2021,03:00,US Alessandria 1912,Brescia Calcio,1-3,Final
3,11/09/2021,03:00,Ternana Calcio,Pisa SC,1-4,Final
3,11/09/2021,03:00,FC Crotone,Reggina 1914,1-1,Final
3,12/09/2021,03:00,Cosenza Calcio,L.R. Vicenza,2-1,Final
3,12/09/2021,03:00,US Cremonese,AS Cittadella,2-0,Final
3,12/09/2021,03:00,Pordenone Calcio,Parma Calcio 1913,0-4,Final
4,17/09/2021,03:00,Como 1907,Frosinone Calcio,0-2,Final
4,17/09/2021,03:00,Brescia Calcio,FC Crotone,2-2,Final
4,18/09/2021,03:00,Ascoli Calcio,Benevento Calcio,0-2,Final
4,18/09/2021,03:00,Reggina 1914,SPAL 2013 Ferrara,2-1,Final
4,18/09/2021,03:00,AC Monza,Ternana Calcio,1-1,Final
4,18/09/2021,03:00,US Lecce,US Alessandria 1912,3-2,Final
4,18/09/2021,03:00,AC Perugia Calcio,Cosenza Calcio,1-1,Final
4,18/09/2021,03:00,L.R. Vicenza,Pisa SC,1-3,Final
4,18/09/2021,03:00,AS Cittadella,Pordenone Calcio,1-0,Final
4,19/09/2021,03:00,Parma Calcio 1913,US Cremonese,1-2,Final
5,20/09/2021,03:00,Frosinone Calcio,Brescia Calcio,2-2,Final
5,21/09/2021,03:00,Benevento Calcio,AS Cittadella,4-1,Final
5,21/09/2021,03:00,US Alessandria 1912,Ascoli Calcio,1-3,Final
5,21/09/2021,03:00,Pisa SC,AC Monza,2-1,Final
5,21/09/2021,03:00,FC Crotone,US Lecce,0-3,Final
5,21/09/2021,03:00,Pordenone Calcio,Reggina 1914,1-1,Final
5,21/09/2021,03:00,SPAL 2013 Ferrara,L.R. Vicenza,3-2,Final
5,21/09/2021,03:00,Cosenza Calcio,Como 1907,2-0,Final
5,22/09/2021,03:00,Ternana Calcio,Parma Calcio 1913,3-1,Final
5,22/09/2021,03:00,US Cremonese,AC Perugia Calcio,0-3,Final
6,25/09/2021,03:00,AS Cittadella,US Lecce,1-2,Final
6,25/09/2021,03:00,Ascoli Calcio,Brescia Calcio,2-3,Final
6,25/09/2021,03:00,Como 1907,Benevento Calcio,1-1,Final
6,25/09/2021,03:00,AC Monza,Pordenone Calcio,3-1,Final
6,25/09/2021,03:00,Reggina 1914,Frosinone Calcio,0-0,Final
6,25/09/2021,03:00,Cosenza Calcio,FC Crotone,1-0,Final
6,26/09/2021,03:00,AC Perugia Calcio,US Alessandria 1912,1-1,Final
6,26/09/2021,03:00,Parma Calcio 1913,Pisa SC,1-1,Final
6,26/09/2021,03:00,L.R. Vicenza,US Cremonese,0-1,Final
6,26/09/2021,03:00,Ternana Calcio,SPAL 2013 Ferrara,1-0,Final
7,01/10/2021,03:00,US Lecce,AC Monza,3-0,Final
7,02/10/2021,03:00,FC Crotone,Ascoli Calcio,2-2,Final
7,02/10/2021,03:00,Frosinone Calcio,AS Cittadella,0-1,Final
7,02/10/2021,03:00,US Cremonese,Ternana Calcio,2-0,Final
7,02/10/2021,03:00,US Alessandria 1912,Cosenza Calcio,1-0,Final
7,02/10/2021,03:00,Pisa SC,Reggina 1914,2-0,Final
