Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
15/04/2022,31,Radnički Niš,FK Voždovac,0-0
16/04/2022,31,FK Čukarički,TSC Bačka Topola,2-3
16/04/2022,31,Estrella Roja de Belgrado,Partizan,0-0
17/04/2022,31,Vojvodina,FK Napredak,2-0
20/04/2022,32,TSC Bačka Topola,Estrella Roja de Belgrado,0-4
20/04/2022,32,Partizan,FK Čukarički,3-1
20/04/2022,32,FK Napredak,Radnički Niš,0-4
21/04/2022,32,FK Voždovac,Vojvodina,2-1
26/04/2022,33,Radnički Niš,Vojvodina,1-0
27/04/2022,33,Partizan,TSC Bačka Topola,4-1
27/04/2022,33,FK Voždovac,FK Napredak,3-0
27/04/2022,33,Estrella Roja de Belgrado,FK Čukarički,1-0
01/05/2022,34,Vojvodina,Estrella Roja de Belgrado,0-3
01/05/2022,34,TSC Bačka Topola,FK Voždovac,1-1
01/05/2022,34,FK Napredak,Partizan,0-3
02/05/2022,34,FK Čukarički,Radnički Niš,0-0
06/05/2022,35,TSC Bačka Topola,FK Napredak,2-0
07/05/2022,35,Partizan,Vojvodina,2-1
07/05/2022,35,Estrella Roja de Belgrado,Radnički Niš,4-1
09/05/2022,35,FK Čukarički,FK Voždovac,0-0
13/05/2022,36,Radnički Niš,TSC Bačka Topola,2-0
15/05/2022,36,Vojvodina,FK Čukarički,0-3
15/05/2022,36,FK Napredak,Estrella Roja de Belgrado,0-1
16/05/2022,36,FK Voždovac,Partizan,0-3
19/05/2022,37,FK Čukarički,FK Napredak,0-0
22/05/2022,37,Estrella Roja de Belgrado,FK Voždovac,3-1
22/05/2022,37,Partizan,Radnički Niš,2-0
22/05/2022,37,TSC Bačka Topola,Vojvodina,0-2
