Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
15/04/2022,31,Radnik Surdulica,FK Radnički 1923,1-1
16/04/2022,31,Mladost Lučani,Proleter Novi Sad,0-0
17/04/2022,31,Spartak Subotica,FK Novi Pazar,1-3
17/04/2022,31,FK Kolubara,FK Metalac,2-0
20/04/2022,32,Proleter Novi Sad,Radnik Surdulica,0-0
21/04/2022,32,FK Radnički 1923,FK Kolubara,1-2
21/04/2022,32,FK Novi Pazar,Mladost Lučani,1-1
21/04/2022,32,FK Metalac,Spartak Subotica,1-1
26/04/2022,33,FK Kolubara,FK Novi Pazar,1-3
26/04/2022,33,Mladost Lučani,FK Radnički 1923,0-0
28/04/2022,33,Radnik Surdulica,FK Metalac,3-3
28/04/2022,33,Spartak Subotica,Proleter Novi Sad,3-1
30/04/2022,34,FK Novi Pazar,FK Radnički 1923,2-1
30/04/2022,34,FK Kolubara,Mladost Lučani,3-0
02/05/2022,34,Radnik Surdulica,Spartak Subotica,2-0
02/05/2022,34,Proleter Novi Sad,FK Metalac,0-0
07/05/2022,35,FK Metalac,FK Novi Pazar,0-3
08/05/2022,35,FK Radnički 1923,Proleter Novi Sad,2-1
08/05/2022,35,Spartak Subotica,FK Kolubara,2-1
08/05/2022,35,Mladost Lučani,Radnik Surdulica,2-3
14/05/2022,36,FK Kolubara,Proleter Novi Sad,1-0
14/05/2022,36,FK Metalac,Mladost Lučani,0-3
14/05/2022,36,Spartak Subotica,FK Radnički 1923,2-1
15/05/2022,36,FK Novi Pazar,Radnik Surdulica,0-1
19/05/2022,37,Radnik Surdulica,FK Kolubara,3-0
20/05/2022,37,Mladost Lučani,Spartak Subotica,2-1
20/05/2022,37,FK Radnički 1923,FK Metalac,1-2
20/05/2022,37,Proleter Novi Sad,FK Novi Pazar,0-2
