matchday,date,time,home_team,away_team,result,status
1,22/01/2022,03:00,Atlético FC,Boca Juniors de Cali,1-0,Final
1,22/01/2022,03:00,Fortaleza FC,Atlético Huila,3-1,Final
1,23/01/2022,03:00,Tigres FC,Real Cartagena,1-2,Final
1,23/01/2022,03:00,Real Soacha Cundinamarca,Real Santander,1-0,Final
1,24/01/2022,03:00,Llaneros FC,Orsomarso SC,0-1,Final
1,25/01/2022,03:00,Deportes Quindío,Bogotá FC,1-2,Final
1,17/02/2022,03:00,Boyacá Chicó,Leones FC,1-0,Final
2,29/01/2022,03:00,Atlético FC,Real Soacha Cundinamarca,0-0,Final
2,30/01/2022,03:00,Atlético Huila,Barranquilla FC,0-0,Final
2,30/01/2022,03:00,Leones FC,Boca Juniors de Cali,2-1,Final
2,30/01/2022,03:00,Real Santander,Tigres FC,0-0,Final
2,31/01/2022,03:00,Orsomarso SC,Deportes Quindío,1-1,Final
2,31/01/2022,03:00,Bogotá FC,Boyacá Chicó,0-0,Final
2,01/02/2022,03:00,Real Cartagena,Fortaleza FC,1-1,Final
3,05/02/2022,03:00,Tigres FC,Atlético FC,1-1,Final
3,05/02/2022,03:00,Boca Juniors de Cali,Bogotá FC,1-1,Final
3,06/02/2022,03:00,Barranquilla FC,Real Cartagena,0-2,Final
3,06/02/2022,03:00,Boyacá Chicó,Orsomarso SC,2-1,Final
3,06/02/2022,03:00,Deportes Quindío,Llaneros FC,0-0,Final
3,06/02/2022,03:00,Fortaleza FC,Real Santander,2-3,Final
3,06/02/2022,03:00,Real Soacha Cundinamarca,Leones FC,0-1,Final
4,13/02/2022,03:00,Leones FC,Tigres FC,3-1,Final
4,13/02/2022,03:00,Atlético FC,Fortaleza FC,2-2,Final
4,13/02/2022,03:00,Llaneros FC,Boyacá Chicó,1-2,Final
4,13/02/2022,03:00,Real Santander,Barranquilla FC,2-3,Final
4,14/02/2022,03:00,Orsomarso SC,Boca Juniors de Cali,2-0,Final
4,15/02/2022,03:00,Bogotá FC,Real Soacha Cundinamarca,2-1,Final
4,15/02/2022,03:00,Real Cartagena,Atlético Huila,1-1,Final
5,18/02/2022,03:00,Tigres FC,Bogotá FC,3-0,Final
5,19/02/2022,03:00,Barranquilla FC,Atlético FC,1-0,Final
5,19/02/2022,03:00,Boca Juniors de Cali,Llaneros FC,1-1,Final
5,19/02/2022,03:00,Fortaleza FC,Leones FC,1-2,Final
5,20/02/2022,03:00,Atlético Huila,Real Santander,1-1,Final
5,20/02/2022,03:00,Real Soacha Cundinamarca,Orsomarso SC,2-0,Final
5,21/02/2022,03:00,Boyacá Chicó,Deportes Quindío,2-3,Final
6,26/02/2022,03:00,Llaneros FC,Real Soacha Cundinamarca,0-0,Final
6,26/02/2022,03:00,Orsomarso SC,Tigres FC,0-2,Final
6,27/02/2022,03:00,Leones FC,Barranquilla FC,3-1,Final
6,27/02/2022,03:00,Bogotá FC,Fortaleza FC,0-1,Final
6,27/02/2022,03:00,Real Santander,Real Cartagena,1-2,Final
6,28/02/2022,03:00,Atlético FC,Atlético Huila,1-0,Final
6,28/02/2022,03:00,Deportes Quindío,Boca Juniors de Cali,1-0,Final
7,06/03/2022,03:00,Boca Juniors de Cali,Boyacá Chicó,1-1,Final
7,06/03/2022,03:00,Real Cartagena,Atlético FC,0-0,Final
7,06/03/2022,03:00,Tigres FC,Llaneros FC,0-1,Final
7,06/03/2022,03:00,Barranquilla FC,Bogotá FC,2-4,Final
7,07/03/2022,03:00,Fortaleza FC,Orsomarso SC,6-2,Final
7,07/03/2022,03:00,Atlético Huila,Leones FC,1-1,Final
7,07/03/2022,03:00,Real Soacha Cundinamarca,Deportes Quindío,0-0,Final
8,10/03/2022,03:00,Atlético FC,Real Santander,0-1,Final
8,10/03/2022,03:00,Leones FC,Real Cartagena,1-0,Final
8,10/03/2022,03:00,Orsomarso SC,Barranquilla FC,2-1,Final
8,11/03/2022,03:00,Boyacá Chicó,Real Soacha Cundinamarca,2-2,Final
8,11/03/2022,03:00,Deportes Quindío,Tigres FC,0-0,Final
8,11/03/2022,03:00,Bogotá FC,Atlético Huila,2-0,Final
8,14/03/2022,03:00,Llaneros FC,Fortaleza FC,0-1,Final
9,19/03/2022,03:00,Real Cartagena,Bogotá FC,1-1,Final
9,20/03/2022,03:00,Atlético Huila,Orsomarso SC,0-1,Final
9,20/03/2022,03:00,Fortaleza FC,Deportes Quindío,2-2,Final
9,20/03/2022,03:00,Real Soacha Cundinamarca,Boca Juniors de Cali,2-1,Final
9,21/03/2022,03:00,Real Santander,Leones FC,0-4,Final
9,22/03/2022,03:00,Tigres FC,Boyacá Chicó,1-0,Final
9,06/04/2022,03:00,Barranquilla FC,Llaneros FC,1-2,Final
10,26/03/2022,03:00,Leones FC,Atlético FC,1-1,Final
10,26/03/2022,03:00,Deportes Quindío,Barranquilla FC,2-1,Final
10,26/03/2022,03:00,Boca Juniors de Cali,Tigres FC,2-0,Final
10,26/03/2022,03:00,Bogotá FC,Real Santander,2-1,Final
10,26/03/2022,03:00,Llaneros FC,Atlético Huila,2-1,Final
10,27/03/2022,03:00,Boyacá Chicó,Fortaleza FC,0-1,Final
10,28/03/2022,03:00,Orsomarso SC,Real Cartagena,1-2,Final
11,02/04/2022,03:00,Real Cartagena,Llaneros FC,2-0,Final
11,02/04/2022,03:00,Fortaleza FC,Boca Juniors de Cali,3-1,Final
11,03/04/2022,03:00,Real Santander,Orsomarso SC,0-0,Final
11,03/04/2022,03:00,Tigres FC,Real Soacha Cundinamarca,3-2,Final
11,03/04/2022,03:00,Barranquilla FC,Boyacá Chicó,2-2,Final
11,04/04/2022,03:00,Atlético Huila,Deportes Quindío,0-0,Final
11,06/04/2022,03:00,Atlético FC,Bogotá FC,3-1,Final
12,09/04/2022,03:00,Boyacá Chicó,Atlético Huila,1-0,Final
12,09/04/2022,03:00,Bogotá FC,Leones FC,1-0,Final
12,10/04/2022,03:00,Llaneros FC,Real Santander,2-2,Final
12,10/04/2022,03:00,Orsomarso SC,Atlético FC,1-0,Final
12,10/04/2022,03:00,Real Soacha Cundinamarca,Fortaleza FC,1-1,Final
12,11/04/2022,03:00,Boca Juniors de Cali,Barranquilla FC,0-0,Final
12,13/04/2022,03:00,Deportes Quindío,Real Cartagena,5-0,Final
13,15/04/2022,03:00,Atlético FC,Llaneros FC,1-3,Final
13,16/04/2022,03:00,Fortaleza FC,Tigres FC,1-2,Final
13,16/04/2022,03:00,Real Santander,Deportes Quindío,0-1,Final
13,16/04/2022,03:00,Barranquilla FC,Real Soacha Cundinamarca,1-1,Final
13,17/04/2022,03:00,Atlético Huila,Boca Juniors de Cali,2-0,Final
13,18/04/2022,03:00,Leones FC,Orsomarso SC,3-1,Final
