Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
23/10/2022,,Tampa Bay Rowdies,Miami FC,3-1
23/10/2022,,Memphis 901,Detroit City FC,3-1
23/10/2022,,Colorado Springs Switchbacks,Rio Grande Valley FC,3-0
23/10/2022,,Sacramento Republic,New Mexico United,2-0
24/10/2022,,Birmingham Legion,Pittsburgh Riverhounds,7-8
24/10/2022,,San Diego Loyal,Oakland Roots,0-3
29/10/2022,,San Antonio FC,Oakland Roots,3-0
30/10/2022,,Louisville City FC,Pittsburgh Riverhounds,5-3
30/10/2022,,Colorado Springs Switchbacks,Sacramento Republic,2-1
30/10/2022,,Memphis 901,Tampa Bay Rowdies,0-1
06/11/2022,,Louisville City FC,Tampa Bay Rowdies,1-0
07/11/2022,,San Antonio FC,Colorado Springs Switchbacks,2-0
14/11/2022,,San Antonio FC,Louisville City FC,3-1
