Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
15/07/2022,1,Dinamo Zagreb,Lokomotiva Zagreb,3-2
16/07/2022,1,NK Osijek,HNK Gorica,2-1
16/07/2022,1,HNK Šibenik,HNK Rijeka,0-1
17/07/2022,1,NK Varaždin,Slaven Belupo,0-1
17/07/2022,1,NK Istra 1961,Hajduk Split,0-2
22/07/2022,2,NK Istra 1961,NK Varaždin,1-2
23/07/2022,2,HNK Gorica,HNK Šibenik,0-0
23/07/2022,2,Slaven Belupo,Dinamo Zagreb,1-5
24/07/2022,2,Lokomotiva Zagreb,NK Osijek,2-1
14/09/2022,2,Hajduk Split,HNK Rijeka,2-0
29/07/2022,3,HNK Šibenik,Lokomotiva Zagreb,2-1
29/07/2022,3,Dinamo Zagreb,NK Istra 1961,4-1
30/07/2022,3,NK Varaždin,Hajduk Split,0-2
31/07/2022,3,NK Osijek,Slaven Belupo,0-0
31/07/2022,3,HNK Rijeka,HNK Gorica,1-1
05/08/2022,4,NK Varaždin,Dinamo Zagreb,1-1
06/08/2022,4,Slaven Belupo,HNK Šibenik,0-0
06/08/2022,4,NK Istra 1961,NK Osijek,1-0
07/08/2022,4,Lokomotiva Zagreb,HNK Rijeka,3-1
26/10/2022,4,Hajduk Split,HNK Gorica,3-1
12/08/2022,5,HNK Šibenik,NK Istra 1961,0-0
13/08/2022,5,HNK Gorica,Lokomotiva Zagreb,3-2
13/08/2022,5,Dinamo Zagreb,Hajduk Split,4-1
14/08/2022,5,NK Osijek,NK Varaždin,2-2
14/08/2022,5,HNK Rijeka,Slaven Belupo,0-1
19/08/2022,6,Slaven Belupo,HNK Gorica,2-1
20/08/2022,6,NK Varaždin,HNK Šibenik,2-2
20/08/2022,6,Dinamo Zagreb,NK Osijek,5-2
21/08/2022,6,NK Istra 1961,HNK Rijeka,1-1
21/08/2022,6,Hajduk Split,Lokomotiva Zagreb,2-1
26/08/2022,7,HNK Gorica,NK Istra 1961,0-2
27/08/2022,7,Lokomotiva Zagreb,Slaven Belupo,0-1
27/08/2022,7,HNK Rijeka,NK Varaždin,1-2
28/08/2022,7,HNK Šibenik,Dinamo Zagreb,1-2
28/08/2022,7,NK Osijek,Hajduk Split,2-1
02/09/2022,8,Dinamo Zagreb,HNK Rijeka,3-1
03/09/2022,8,NK Varaždin,HNK Gorica,2-1
03/09/2022,8,NK Osijek,HNK Šibenik,1-1
04/09/2022,8,NK Istra 1961,Lokomotiva Zagreb,1-2
04/09/2022,8,Hajduk Split,Slaven Belupo,5-1
09/09/2022,9,HNK Šibenik,Hajduk Split,1-1
10/09/2022,9,HNK Rijeka,NK Osijek,0-3
10/09/2022,9,HNK Gorica,Dinamo Zagreb,0-1
11/09/2022,9,Slaven Belupo,NK Istra 1961,0-3
11/09/2022,9,Lokomotiva Zagreb,NK Varaždin,1-2
16/09/2022,10,Slaven Belupo,NK Varaždin,1-0
17/09/2022,10,HNK Gorica,NK Osijek,0-1
17/09/2022,10,Hajduk Split,NK Istra 1961,2-2
18/09/2022,10,HNK Rijeka,HNK Šibenik,0-0
18/09/2022,10,Lokomotiva Zagreb,Dinamo Zagreb,1-2
30/09/2022,11,NK Varaždin,NK Istra 1961,1-1
01/10/2022,11,NK Osijek,Lokomotiva Zagreb,4-1
01/10/2022,11,Dinamo Zagreb,Slaven Belupo,4-1
02/10/2022,11,HNK Rijeka,Hajduk Split,0-1
02/10/2022,11,HNK Šibenik,HNK Gorica,1-1
07/10/2022,12,Lokomotiva Zagreb,HNK Šibenik,1-1
08/10/2022,12,Hajduk Split,NK Varaždin,2-1
09/10/2022,12,Slaven Belupo,NK Osijek,0-4
09/10/2022,12,HNK Gorica,HNK Rijeka,0-2
15/03/2023,12,NK Istra 1961,Dinamo Zagreb,1-0
14/10/2022,13,HNK Šibenik,Slaven Belupo,0-2
15/10/2022,13,NK Osijek,NK Istra 1961,2-0
15/10/2022,13,HNK Gorica,Hajduk Split,0-1
16/10/2022,13,Dinamo Zagreb,NK Varaždin,3-1
16/10/2022,13,HNK Rijeka,Lokomotiva Zagreb,3-0
21/10/2022,14,Hajduk Split,Dinamo Zagreb,1-1
22/10/2022,14,Lokomotiva Zagreb,HNK Gorica,2-1
22/10/2022,14,NK Varaždin,NK Osijek,4-1
23/10/2022,14,NK Istra 1961,HNK Šibenik,0-0
23/10/2022,14,Slaven Belupo,HNK Rijeka,2-1
28/10/2022,15,HNK Šibenik,NK Varaždin,1-2
29/10/2022,15,HNK Rijeka,NK Istra 1961,0-1
29/10/2022,15,NK Osijek,Dinamo Zagreb,1-0
30/10/2022,15,HNK Gorica,Slaven Belupo,1-1
30/10/2022,15,Lokomotiva Zagreb,Hajduk Split,2-2
04/11/2022,16,NK Istra 1961,HNK Gorica,1-0
05/11/2022,16,Slaven Belupo,Lokomotiva Zagreb,0-0
05/11/2022,16,Hajduk Split,NK Osijek,3-1
06/11/2022,16,NK Varaždin,HNK Rijeka,0-3
06/11/2022,16,Dinamo Zagreb,HNK Šibenik,3-0
12/11/2022,17,Lokomotiva Zagreb,NK Istra 1961,2-0
12/11/2022,17,Slaven Belupo,Hajduk Split,2-2
13/11/2022,17,HNK Šibenik,NK Osijek,0-2
13/11/2022,17,HNK Rijeka,Dinamo Zagreb,2-7
18/01/2023,17,HNK Gorica,NK Varaždin,0-0
20/01/2023,18,NK Istra 1961,Slaven Belupo,0-0
21/01/2023,18,NK Osijek,HNK Rijeka,1-1
21/01/2023,18,Dinamo Zagreb,HNK Gorica,0-0
22/01/2023,18,Hajduk Split,HNK Šibenik,2-1
22/01/2023,18,NK Varaždin,Lokomotiva Zagreb,0-0
27/01/2023,19,NK Varaždin,Slaven Belupo,1-0
28/01/2023,19,HNK Šibenik,HNK Rijeka,1-2
28/01/2023,19,Dinamo Zagreb,Lokomotiva Zagreb,2-1
29/01/2023,19,NK Osijek,HNK Gorica,2-0
29/01/2023,19,NK Istra 1961,Hajduk Split,3-0
03/02/2023,20,NK Istra 1961,NK Varaždin,2-1
04/02/2023,20,Lokomotiva Zagreb,NK Osijek,1-0
04/02/2023,20,Slaven Belupo,Dinamo Zagreb,1-1
