matchday,date,time,home_team,away_team,result,status
1,07/10/2022,03:00,Melbourne City FC,Western United,2-1,Final
1,08/10/2022,03:00,Brisbane Roar,Macarthur FC,0-0,Final
1,08/10/2022,03:00,Sydney FC,Melbourne Victory,2-3,Final
1,09/10/2022,03:00,Wellington Phoenix,Adelaide United,1-1,Final
1,09/10/2022,03:00,Western Sydney Wanderers,Perth Glory,1-0,Final
1,21/12/2022,03:00,Central Coast Mariners,Newcastle United Jets,3-0,Final
2,14/10/2022,03:00,Brisbane Roar,Melbourne City FC,0-2,Final
2,15/10/2022,03:00,Newcastle United Jets,Perth Glory,2-1,Final
2,15/10/2022,03:00,Melbourne Victory,Western Sydney Wanderers,0-1,Final
2,16/10/2022,03:00,Wellington Phoenix,Central Coast Mariners,2-2,Final
2,16/10/2022,03:00,Macarthur FC,Adelaide United,2-0,Final
2,16/10/2022,03:00,Western United,Sydney FC,1-3,Final
3,21/10/2022,03:00,Western United,Macarthur FC,1-1,Final
3,22/10/2022,03:00,Newcastle United Jets,Wellington Phoenix,3-1,Final
3,22/10/2022,03:00,Western Sydney Wanderers,Brisbane Roar,1-1,Final
3,22/10/2022,03:00,Melbourne Victory,Melbourne City FC,0-2,Final
3,23/10/2022,03:00,Sydney FC,Adelaide United,2-2,Final
3,23/10/2022,03:00,Central Coast Mariners,Perth Glory,1-2,Final
4,28/10/2022,03:00,Western Sydney Wanderers,Newcastle United Jets,2-0,Final
4,29/10/2022,03:00,Brisbane Roar,Melbourne Victory,0-0,Final
4,29/10/2022,03:00,Central Coast Mariners,Western United,4-2,Final
4,29/10/2022,03:00,Macarthur FC,Sydney FC,2-3,Final
4,30/10/2022,03:00,Adelaide United,Perth Glory,2-1,Final
4,30/10/2022,03:00,Melbourne City FC,Wellington Phoenix,2-2,Final
5,04/11/2022,03:00,Melbourne Victory,Newcastle United Jets,4-0,Final
5,05/11/2022,03:00,Melbourne City FC,Perth Glory,4-0,Final
5,05/11/2022,03:00,Western Sydney Wanderers,Central Coast Mariners,0-3,Final
5,06/11/2022,03:00,Wellington Phoenix,Macarthur FC,4-1,Final
5,06/11/2022,03:00,Brisbane Roar,Sydney FC,3-1,Final
5,06/11/2022,03:00,Western United,Adelaide United,2-4,Final
6,11/11/2022,03:00,Adelaide United,Melbourne Victory,3-0,Final
6,12/11/2022,03:00,Newcastle United Jets,Melbourne City FC,1-2,Final
6,12/11/2022,03:00,Sydney FC,Western Sydney Wanderers,0-1,Final
6,13/11/2022,03:00,Wellington Phoenix,Western United,2-3,Final
6,13/11/2022,03:00,Central Coast Mariners,Macarthur FC,2-3,Final
6,10/01/2023,03:00,Perth Glory,Brisbane Roar,2-1,Final
7,09/12/2022,03:00,Brisbane Roar,Adelaide United,1-1,Final
7,10/12/2022,03:00,Wellington Phoenix,Western Sydney Wanderers,1-1,Final
7,10/12/2022,03:00,Sydney FC,Melbourne City FC,2-1,Final
7,10/12/2022,03:00,Perth Glory,Western United,2-1,Final
7,11/12/2022,03:00,Central Coast Mariners,Newcastle United Jets,1-2,Final
7,11/12/2022,03:00,Macarthur FC,Melbourne Victory,0-1,Final
8,16/12/2022,03:00,Newcastle United Jets,Brisbane Roar,0-1,Final
8,17/12/2022,03:00,Wellington Phoenix,Adelaide United,3-1,Final
8,17/12/2022,03:00,Central Coast Mariners,Sydney FC,2-1,Final
8,18/12/2022,03:00,Western United,Western Sydney Wanderers,1-0,Final
8,18/12/2022,03:00,Macarthur FC,Perth Glory,1-0,Final
8,05/04/2023,03:00,Melbourne City FC,Melbourne Victory,2-1,Final
9,23/12/2022,03:00,Brisbane Roar,Western Sydney Wanderers,1-1,Final
9,23/12/2022,03:00,Perth Glory,Wellington Phoenix,1-1,Final
9,24/12/2022,03:00,Sydney FC,Macarthur FC,0-3,Final
9,26/12/2022,03:00,Western United,Melbourne Victory,1-0,Final
9,27/12/2022,03:00,Melbourne City FC,Central Coast Mariners,1-0,Final
9,27/12/2022,03:00,Adelaide United,Newcastle United Jets,0-1,Final
10,30/12/2022,03:00,Western United,Brisbane Roar,1-1,Final
10,31/12/2022,03:00,Central Coast Mariners,Melbourne Victory,2-1,Final
10,01/01/2023,03:00,Newcastle United Jets,Sydney FC,0-2,Final
10,01/01/2023,03:00,Western Sydney Wanderers,Macarthur FC,4-0,Final
10,02/01/2023,03:00,Wellington Phoenix,Melbourne City FC,1-3,Final
10,02/01/2023,03:00,Adelaide United,Perth Glory,2-0,Final
11,06/01/2023,03:00,Melbourne Victory,Brisbane Roar,0-1,Final
11,06/01/2023,03:00,Perth Glory,Western Sydney Wanderers,1-0,Final
11,07/01/2023,03:00,Sydney FC,Wellington Phoenix,0-1,Final
11,07/01/2023,03:00,Central Coast Mariners,Adelaide United,4-0,Final
11,07/01/2023,03:00,Melbourne City FC,Western United,4-0,Final
11,08/01/2023,03:00,Macarthur FC,Newcastle United Jets,2-0,Final
12,13/01/2023,03:00,Macarthur FC,Central Coast Mariners,1-2,Final
12,14/01/2023,03:00,Brisbane Roar,Wellington Phoenix,0-1,Final
12,14/01/2023,03:00,Adelaide United,Melbourne Victory,1-1,Final
12,14/01/2023,03:00,Perth Glory,Sydney FC,2-2,Final
12,15/01/2023,03:00,Western Sydney Wanderers,Melbourne City FC,1-1,Final
12,15/01/2023,03:00,Western United,Newcastle United Jets,1-1,Final
13,20/01/2023,03:00,Adelaide United,Macarthur FC,1-0,Final
13,21/01/2023,03:00,Western United,Sydney FC,1-0,Final
13,21/01/2023,03:00,Brisbane Roar,Melbourne City FC,0-0,Final
13,21/01/2023,03:00,Perth Glory,Melbourne Victory,3-1,Final
13,22/01/2023,03:00,Wellington Phoenix,Central Coast Mariners,2-1,Final
13,22/01/2023,03:00,Newcastle United Jets,Western Sydney Wanderers,1-1,Final
14,26/01/2023,03:00,Melbourne Victory,Sydney FC,1-2,Final
14,27/01/2023,03:00,Newcastle United Jets,Brisbane Roar,4-0,Final
14,28/01/2023,03:00,Wellington Phoenix,Perth Glory,2-2,Final
14,28/01/2023,03:00,Macarthur FC,Western United,2-2,Final
14,28/01/2023,03:00,Central Coast Mariners,Western Sydney Wanderers,2-2,Final
14,29/01/2023,03:00,Melbourne City FC,Adelaide United,3-3,Final
15,03/02/2023,03:00,Melbourne Victory,Wellington Phoenix,3-1,Final
15,04/02/2023,03:00,Melbourne City FC,Macarthur FC,6-1,Final
15,04/02/2023,03:00,Sydney FC,Central Coast Mariners,3-2,Final
15,04/02/2023,03:00,Adelaide United,Brisbane Roar,2-1,Final
15,04/02/2023,03:00,Perth Glory,Newcastle United Jets,2-2,Final
15,05/02/2023,03:00,Western Sydney Wanderers,Western United,1-0,Final
16,10/02/2023,03:00,Brisbane Roar,Central Coast Mariners,1-2,Final
16,11/02/2023,03:00,Western United,Adelaide United,2-3,Final
16,11/02/2023,03:00,Western Sydney Wanderers,Sydney FC,0-1,Final
16,11/02/2023,03:00,Perth Glory,Melbourne City FC,2-4,Final
16,12/02/2023,03:00,Newcastle United Jets,Melbourne Victory,2-1,Final
16,12/02/2023,03:00,Macarthur FC,Wellington Phoenix,2-1,Final
17,17/02/2023,03:00,Western United,Wellington Phoenix,0-3,Final
17,18/02/2023,03:00,Sydney FC,Brisbane Roar,1-1,Final
17,18/02/2023,03:00,Macarthur FC,Newcastle United Jets,0-1,Final
17,18/02/2023,03:00,Melbourne Victory,Melbourne City FC,3-2,Final
