Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
07/03/2023,,Audax Italiano,Universidad Católica,3-2
07/03/2023,,Tacuary,General Caballero JLM,4-2
08/03/2023,,River Plate,Peñarol,0-4
08/03/2023,,Caracas FC,Academia Puerto Cabello,0-1
08/03/2023,,LDU Quito,Delfín SC,4-0
08/03/2023,,CD Guabirá,Oriente Petrolero,0-1
08/03/2023,,Guaraní,Sportivo Ameliano,3-1
08/03/2023,,Defensor Sporting,Danubio,3-4
09/03/2023,,Águilas Doradas,Santa Fe,1-2
09/03/2023,,Estudiantes de Mérida,Deportivo Táchira,3-1
09/03/2023,,Universidad Cesar Vallejo,Deportivo Binacional,3-1
09/03/2023,,Blooming,Atlético Palmaflor,6-0
09/03/2023,,Cobresal,Palestino,0-1
10/03/2023,,Deportes Tolima,Atlético Junior,1-0
10/03/2023,,Emelec,Deportivo Cuenca,2-1
10/03/2023,,Universitario de Deportes,Cienciano,2-0
05/04/2023,,Universidad Cesar Vallejo,LDU Quito,1-2
07/04/2023,,CD Magallanes,Botafogo - RJ,2-2
20/04/2023,,LDU Quito,CD Magallanes,4-0
21/04/2023,,Botafogo - RJ,Universidad Cesar Vallejo,4-0
03/05/2023,,CD Magallanes,Universidad Cesar Vallejo,2-2
05/05/2023,,Botafogo - RJ,LDU Quito,0-0
24/05/2023,,CD Magallanes,LDU Quito,1-1
26/05/2023,,Universidad Cesar Vallejo,Botafogo - RJ,2-3
07/06/2023,,LDU Quito,Botafogo - RJ,0-0
09/06/2023,,Universidad Cesar Vallejo,CD Magallanes,3-2
30/06/2023,,Botafogo - RJ,CD Magallanes,1-1
30/06/2023,,LDU Quito,Universidad Cesar Vallejo,3-0
06/04/2023,,Danubio,Emelec,2-0
07/04/2023,,Huracán,Guaraní,4-1
20/04/2023,,Guaraní,Danubio,2-1
21/04/2023,,Emelec,Huracán,1-0
03/05/2023,,Huracán,Danubio,1-1
04/05/2023,,Guaraní,Emelec,1-1
26/05/2023,,Danubio,Guaraní,0-2
26/05/2023,,Huracán,Emelec,2-2
08/06/2023,,Emelec,Guaraní,1-1
09/06/2023,,Danubio,Huracán,1-0
29/06/2023,,Guaraní,Huracán,2-0
29/06/2023,,Emelec,Danubio,2-1
