matchday,date,time,home_team,away_team,result,status
1,15/07/2022,03:00,Raków Częstochowa,Warta Poznań,1-0,Final
1,15/07/2022,03:00,Zagłębie Lubin,Śląsk Wrocław,0-0,Final
1,16/07/2022,03:00,Lech Poznań,FKS Stal Mielec,0-2,Final
1,16/07/2022,03:00,Jagiellonia Białystok,Piast Gliwice,2-0,Final
1,16/07/2022,03:00,Korona Kielce,Legia Warszawa,1-1,Final
1,17/07/2022,03:00,Radomiak Radom,Miedź Legnica,1-1,Final
1,17/07/2022,03:00,Wisła Płock,Lechia Gdańsk,3-0,Final
1,17/07/2022,03:00,Pogoń Szczecin,Widzew Łódź,2-1,Final
1,18/07/2022,03:00,Górnik Zabrze,KS Cracovia,0-2,Final
2,22/07/2022,03:00,Warta Poznań,Wisła Płock,0-4,Final
2,22/07/2022,03:00,Jagiellonia Białystok,Widzew Łódź,0-2,Final
2,23/07/2022,03:00,KS Cracovia,Korona Kielce,2-0,Final
2,23/07/2022,03:00,Legia Warszawa,Zagłębie Lubin,2-0,Final
2,24/07/2022,03:00,Śląsk Wrocław,Pogoń Szczecin,2-1,Final
2,25/07/2022,03:00,FKS Stal Mielec,Radomiak Radom,1-1,Final
2,06/10/2022,03:00,Piast Gliwice,Raków Częstochowa,0-1,Final
2,18/11/2022,03:00,Lechia Gdańsk,Górnik Zabrze,2-1,Final
2,01/02/2023,03:00,Miedź Legnica,Lech Poznań,2-2,Final
3,29/07/2022,03:00,Piast Gliwice,Zagłębie Lubin,0-1,Final
3,29/07/2022,03:00,KS Cracovia,Legia Warszawa,3-0,Final
3,30/07/2022,03:00,Radomiak Radom,Górnik Zabrze,0-3,Final
3,30/07/2022,03:00,Miedź Legnica,Warta Poznań,1-2,Final
3,31/07/2022,03:00,Pogoń Szczecin,Jagiellonia Białystok,1-0,Final
3,31/07/2022,03:00,Lech Poznań,Wisła Płock,1-3,Final
3,31/07/2022,03:00,Raków Częstochowa,FKS Stal Mielec,3-2,Final
3,31/07/2022,03:00,Widzew Łódź,Lechia Gdańsk,2-3,Final
3,01/08/2022,03:00,Korona Kielce,Śląsk Wrocław,3-1,Final
4,05/08/2022,03:00,FKS Stal Mielec,KS Cracovia,2-0,Final
4,05/08/2022,03:00,Legia Warszawa,Piast Gliwice,2-0,Final
4,06/08/2022,03:00,Lechia Gdańsk,Korona Kielce,0-1,Final
