matchday,date,time,home_team,away_team,result,status
1,22/07/2022,03:00,Standard Lieja,KAA Gent,2-2,Final
1,23/07/2022,03:00,Sporting Charleroi,KAS Eupen,3-1,Final
1,23/07/2022,03:00,KV Kortrijk,Oud-Heverlee Leuven,0-2,Final
1,23/07/2022,03:00,SV Zulte Waregem,RFC Seraing,2-0,Final
1,23/07/2022,03:00,Sint-Truidense VV,Union Saint-Gilloise,1-1,Final
1,24/07/2022,03:00,Club Brugge KV,KRC Genk,3-2,Final
1,24/07/2022,03:00,KV Mechelen,Royal Antwerp FC,0-2,Final
1,24/07/2022,03:00,RSC Anderlecht,KV Oostende,2-0,Final
1,24/07/2022,03:00,KVC Westerlo,Cercle Brugge,2-0,Final
2,29/07/2022,03:00,Union Saint-Gilloise,Sporting Charleroi,1-0,Final
2,30/07/2022,03:00,Cercle Brugge,RSC Anderlecht,1-0,Final
2,30/07/2022,03:00,KV Oostende,KV Mechelen,2-1,Final
2,30/07/2022,03:00,Oud-Heverlee Leuven,KVC Westerlo,2-0,Final
2,30/07/2022,03:00,KAA Gent,Sint-Truidense VV,1-1,Final
2,31/07/2022,03:00,KRC Genk,Standard Lieja,3-1,Final
2,31/07/2022,03:00,KAS Eupen,Club Brugge KV,2-1,Final
2,31/07/2022,03:00,RFC Seraing,KV Kortrijk,0-1,Final
2,31/07/2022,03:00,Royal Antwerp FC,SV Zulte Waregem,1-0,Final
3,05/08/2022,03:00,Club Brugge KV,SV Zulte Waregem,1-1,Final
3,06/08/2022,03:00,KRC Genk,KAS Eupen,4-2,Final
3,06/08/2022,03:00,KV Kortrijk,Sint-Truidense VV,0-0,Final
3,06/08/2022,03:00,Sporting Charleroi,KV Oostende,1-3,Final
3,06/08/2022,03:00,KV Mechelen,Union Saint-Gilloise,3-0,Final
3,07/08/2022,03:00,Standard Lieja,Cercle Brugge,2-0,Final
3,07/08/2022,03:00,KAA Gent,KVC Westerlo,2-1,Final
3,07/08/2022,03:00,RSC Anderlecht,RFC Seraing,3-1,Final
3,07/08/2022,03:00,Royal Antwerp FC,Oud-Heverlee Leuven,4-2,Final
4,12/08/2022,03:00,KV Oostende,KAA Gent,1-3,Final
4,13/08/2022,03:00,KVC Westerlo,Standard Lieja,4-2,Final
4,13/08/2022,03:00,Cercle Brugge,KV Mechelen,0-0,Final
4,13/08/2022,03:00,RFC Seraing,Sporting Charleroi,0-1,Final
4,13/08/2022,03:00,Union Saint-Gilloise,KV Kortrijk,2-1,Final
4,14/08/2022,03:00,Sint-Truidense VV,RSC Anderlecht,0-3,Final
4,14/08/2022,03:00,KAS Eupen,Royal Antwerp FC,0-1,Final
