Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
19/08/2022,1,FK Kukësi,KF Tiranë,1-1
20/08/2022,1,Erzeni Shijak,FK Vllaznia,1-0
20/08/2022,1,FK Partizani,Egnatia Rrogozhine,2-1
21/08/2022,1,KF Laçi,KF Teuta Durrës,3-1
21/08/2022,1,KF Bylis Ballsh,KS Kastrioti,2-0
27/08/2022,2,KS Kastrioti,Erzeni Shijak,0-0
27/08/2022,2,KF Teuta Durrës,KF Bylis Ballsh,1-1
28/08/2022,2,Egnatia Rrogozhine,KF Tiranë,0-2
28/08/2022,2,FK Vllaznia,FK Kukësi,2-1
29/08/2022,2,FK Partizani,KF Laçi,1-0
02/09/2022,3,KF Tiranë,FK Vllaznia,1-2
03/09/2022,3,Erzeni Shijak,KF Teuta Durrës,0-0
03/09/2022,3,FK Kukësi,KS Kastrioti,1-2
04/09/2022,3,KF Laçi,Egnatia Rrogozhine,0-1
04/09/2022,3,KF Bylis Ballsh,FK Partizani,0-1
09/09/2022,4,KF Teuta Durrës,FK Kukësi,0-0
10/09/2022,4,Egnatia Rrogozhine,FK Vllaznia,3-0
10/09/2022,4,KS Kastrioti,KF Tiranë,0-0
11/09/2022,4,KF Laçi,KF Bylis Ballsh,0-1
11/09/2022,4,FK Partizani,Erzeni Shijak,0-1
16/09/2022,5,KF Tiranë,KF Teuta Durrës,4-0
17/09/2022,5,KF Bylis Ballsh,Egnatia Rrogozhine,0-0
17/09/2022,5,Erzeni Shijak,KF Laçi,1-0
18/09/2022,5,FK Vllaznia,KS Kastrioti,1-0
19/09/2022,5,FK Kukësi,FK Partizani,1-2
30/09/2022,6,KF Bylis Ballsh,Erzeni Shijak,4-1
30/09/2022,6,KF Teuta Durrës,FK Vllaznia,0-0
01/10/2022,6,Egnatia Rrogozhine,KS Kastrioti,0-0
01/10/2022,6,KF Laçi,FK Kukësi,0-1
02/10/2022,6,FK Partizani,KF Tiranë,0-2
07/10/2022,7,Erzeni Shijak,Egnatia Rrogozhine,0-0
07/10/2022,7,KF Tiranë,KF Laçi,3-3
07/10/2022,7,FK Vllaznia,FK Partizani,1-2
08/10/2022,7,FK Kukësi,KF Bylis Ballsh,2-0
08/10/2022,7,KS Kastrioti,KF Teuta Durrës,2-1
15/10/2022,8,Egnatia Rrogozhine,KF Teuta Durrës,1-2
16/10/2022,8,KF Laçi,FK Vllaznia,1-1
16/10/2022,8,KF Bylis Ballsh,KF Tiranë,0-1
16/10/2022,8,FK Partizani,KS Kastrioti,0-0
17/10/2022,8,Erzeni Shijak,FK Kukësi,0-2
21/10/2022,9,KF Teuta Durrës,FK Partizani,1-4
21/10/2022,9,FK Vllaznia,KF Bylis Ballsh,2-1
22/10/2022,9,FK Kukësi,Egnatia Rrogozhine,0-1
22/10/2022,9,KS Kastrioti,KF Laçi,0-1
22/10/2022,9,KF Tiranë,Erzeni Shijak,0-1
29/10/2022,10,KS Kastrioti,KF Bylis Ballsh,3-0
29/10/2022,10,KF Teuta Durrës,KF Laçi,0-1
29/10/2022,10,FK Vllaznia,Erzeni Shijak,2-2
30/10/2022,10,Egnatia Rrogozhine,FK Partizani,3-0
30/10/2022,10,KF Tiranë,FK Kukësi,4-1
02/11/2022,11,Erzeni Shijak,KS Kastrioti,1-1
02/11/2022,11,KF Bylis Ballsh,KF Teuta Durrës,0-0
03/11/2022,11,FK Kukësi,FK Vllaznia,0-1
03/11/2022,11,KF Laçi,FK Partizani,1-0
03/11/2022,11,KF Tiranë,Egnatia Rrogozhine,1-0
13/11/2022,12,Egnatia Rrogozhine,KF Laçi,2-0
13/11/2022,12,KS Kastrioti,FK Kukësi,1-1
13/11/2022,12,FK Vllaznia,KF Tiranë,0-0
14/11/2022,12,KF Teuta Durrës,Erzeni Shijak,1-2
14/11/2022,12,FK Partizani,KF Bylis Ballsh,2-1
11/12/2022,13,FK Kukësi,KF Teuta Durrës,0-1
11/12/2022,13,KF Bylis Ballsh,KF Laçi,0-1
11/12/2022,13,Erzeni Shijak,FK Partizani,3-3
12/12/2022,13,FK Vllaznia,Egnatia Rrogozhine,0-1
12/12/2022,13,KF Tiranë,KS Kastrioti,4-0
15/12/2022,14,KF Laçi,Erzeni Shijak,1-0
15/12/2022,14,FK Partizani,FK Kukësi,2-1
16/12/2022,14,Egnatia Rrogozhine,KF Bylis Ballsh,0-1
16/12/2022,14,KS Kastrioti,FK Vllaznia,1-0
16/12/2022,14,KF Teuta Durrës,KF Tiranë,1-0
21/12/2022,15,FK Kukësi,KF Laçi,1-0
21/12/2022,15,KF Tiranë,FK Partizani,0-1
22/12/2022,15,Erzeni Shijak,KF Bylis Ballsh,1-1
22/12/2022,15,KS Kastrioti,Egnatia Rrogozhine,2-3
22/12/2022,15,FK Vllaznia,KF Teuta Durrës,4-0
13/01/2023,16,KF Laçi,KF Tiranë,1-2
13/01/2023,16,KF Bylis Ballsh,FK Kukësi,0-0
13/01/2023,16,FK Partizani,FK Vllaznia,1-2
14/01/2023,16,Egnatia Rrogozhine,Erzeni Shijak,1-1
14/01/2023,16,KF Teuta Durrës,KS Kastrioti,2-0
21/01/2023,17,KS Kastrioti,FK Partizani,1-1
21/01/2023,17,KF Tiranë,KF Bylis Ballsh,4-1
21/01/2023,17,FK Vllaznia,KF Laçi,4-1
22/01/2023,17,FK Kukësi,Erzeni Shijak,0-2
22/01/2023,17,KF Teuta Durrës,Egnatia Rrogozhine,1-1
25/01/2023,18,KF Laçi,KS Kastrioti,4-1
25/01/2023,18,KF Bylis Ballsh,FK Vllaznia,1-0
26/01/2023,18,Egnatia Rrogozhine,FK Kukësi,1-2
26/01/2023,18,FK Partizani,KF Teuta Durrës,0-2
26/01/2023,18,Erzeni Shijak,KF Tiranë,0-2
29/01/2023,19,FK Kukësi,KF Tiranë,2-0
