Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
09/10/2022,,UANL Tigres,Club Necaxa,2-0
09/10/2022,,Cruz Azul,Club León,1-0
09/10/2022,,Deportivo Toluca,FC Juárez,3-0
09/10/2022,,Puebla FC,Deportivo Guadalajara,5-4
13/10/2022,,Puebla FC,CF América,1-6
13/10/2022,,Cruz Azul,CF Monterrey,0-0
14/10/2022,,Deportivo Toluca,Santos Laguna,4-3
14/10/2022,,UANL Tigres,CF Pachuca,1-0
16/10/2022,,CF Monterrey,Cruz Azul,3-0
16/10/2022,,CF América,Puebla FC,5-1
17/10/2022,,Santos Laguna,Deportivo Toluca,1-2
17/10/2022,,CF Pachuca,UANL Tigres,2-1
20/10/2022,,Deportivo Toluca,CF América,2-1
21/10/2022,,CF Pachuca,CF Monterrey,5-2
23/10/2022,,CF América,Deportivo Toluca,1-1
24/10/2022,,CF Monterrey,CF Pachuca,0-1
28/10/2022,,Deportivo Toluca,CF Pachuca,1-5
31/10/2022,,CF Pachuca,Deportivo Toluca,3-1
