Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
07/05/2023,,Cruz Azul,Atlas Guadalajara,0-1
07/05/2023,,CF Pachuca,Santos Laguna,4-4
08/05/2023,,Club León,Atlético San Luis,1-3
08/05/2023,,UANL Tigres,Puebla FC,1-0
11/05/2023,,Santos Laguna,CF Monterrey,0-0
11/05/2023,,Atlético San Luis,CF América,1-3
12/05/2023,,Atlas Guadalajara,Deportivo Guadalajara,1-0
12/05/2023,,UANL Tigres,Deportivo Toluca,4-1
14/05/2023,,CF Monterrey,Santos Laguna,2-0
14/05/2023,,CF América,Atlético San Luis,1-2
14/05/2023,,Deportivo Toluca,UANL Tigres,3-1
15/05/2023,,Deportivo Guadalajara,Atlas Guadalajara,1-0
18/05/2023,,UANL Tigres,CF Monterrey,1-1
19/05/2023,,Deportivo Guadalajara,CF América,0-1
21/05/2023,,CF Monterrey,UANL Tigres,0-1
22/05/2023,,CF América,Deportivo Guadalajara,1-3
26/05/2023,,UANL Tigres,Deportivo Guadalajara,0-0
29/05/2023,,Deportivo Guadalajara,UANL Tigres,2-3
