Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
26/08/2022,1,CS Constantine,USM Khenchela,3-1
26/08/2022,1,ASO Chlef,JS Kabylie,1-0
26/08/2022,1,CR Bélouizdad,HB Chelghoum Laïd,4-1
26/08/2022,1,RC Arbaâ,MC Oran,3-1
27/08/2022,1,NC Magra,Paradou AC,1-2
27/08/2022,1,USM Alger,MC El Bayadh,1-0
27/08/2022,1,US Biskra,ES Sétif,2-2
27/08/2022,1,JS Saoura,MC Alger,2-0
01/09/2022,2,JS Kabylie,CS Constantine,0-1
02/09/2022,2,USM Khenchela,USM Alger,0-1
02/09/2022,2,Paradou AC,CR Bélouizdad,0-1
02/09/2022,2,MC Oran,NC Magra,0-0
03/09/2022,2,HB Chelghoum Laïd,ASO Chlef,0-0
03/09/2022,2,MC Alger,US Biskra,0-0
03/09/2022,2,MC El Bayadh,JS Saoura,2-0
03/09/2022,2,ES Sétif,RC Arbaâ,1-0
06/09/2022,3,USM Alger,JS Kabylie,1-0
06/09/2022,3,CR Bélouizdad,MC Oran,2-0
09/09/2022,3,NC Magra,ES Sétif,0-1
09/09/2022,3,RC Arbaâ,MC Alger,0-0
09/09/2022,3,MC El Bayadh,USM Khenchela,2-0
10/09/2022,3,CS Constantine,HB Chelghoum Laïd,2-0
10/09/2022,3,ASO Chlef,Paradou AC,1-1
10/09/2022,3,US Biskra,JS Saoura,0-0
16/09/2022,4,MC Alger,NC Magra,2-1
16/09/2022,4,JS Saoura,RC Arbaâ,1-0
16/09/2022,4,US Biskra,MC El Bayadh,1-0
17/09/2022,4,HB Chelghoum Laïd,USM Alger,1-3
17/09/2022,4,Paradou AC,CS Constantine,0-1
17/09/2022,4,MC Oran,ASO Chlef,0-0
25/10/2022,4,JS Kabylie,USM Khenchela,0-0
25/10/2022,4,ES Sétif,CR Bélouizdad,1-1
24/09/2022,5,RC Arbaâ,US Biskra,2-0
24/09/2022,5,CS Constantine,MC Oran,0-0
24/09/2022,5,ASO Chlef,ES Sétif,4-0
24/09/2022,5,NC Magra,JS Saoura,1-0
24/09/2022,5,MC El Bayadh,JS Kabylie,0-0
24/09/2022,5,USM Khenchela,HB Chelghoum Laïd,2-0
25/10/2022,5,USM Alger,Paradou AC,2-1
03/12/2022,5,CR Bélouizdad,MC Alger,0-0
30/09/2022,6,RC Arbaâ,MC El Bayadh,3-1
30/09/2022,6,US Biskra,NC Magra,1-1
02/10/2022,6,Paradou AC,USM Khenchela,0-1
02/10/2022,6,HB Chelghoum Laïd,JS Kabylie,0-2
02/10/2022,6,ES Sétif,CS Constantine,0-0
02/10/2022,6,MC Oran,USM Alger,1-0
02/10/2022,6,JS Saoura,CR Bélouizdad,0-1
03/10/2022,6,MC Alger,ASO Chlef,2-1
07/10/2022,7,NC Magra,RC Arbaâ,0-0
08/10/2022,7,CS Constantine,MC Alger,0-2
08/10/2022,7,USM Khenchela,MC Oran,1-0
08/10/2022,7,MC El Bayadh,HB Chelghoum Laïd,1-0
25/10/2022,7,ASO Chlef,JS Saoura,2-1
03/12/2022,7,USM Alger,ES Sétif,1-1
03/12/2022,7,JS Kabylie,Paradou AC,2-1
20/12/2022,7,CR Bélouizdad,US Biskra,1-1
13/10/2022,8,ES Sétif,USM Khenchela,1-2
14/10/2022,8,Paradou AC,HB Chelghoum Laïd,2-1
14/10/2022,8,US Biskra,ASO Chlef,2-0
15/10/2022,8,NC Magra,MC El Bayadh,1-0
03/12/2022,8,JS Saoura,CS Constantine,3-1
20/12/2022,8,MC Alger,USM Alger,1-0
20/12/2022,8,MC Oran,JS Kabylie,2-1
28/12/2022,8,RC Arbaâ,CR Bélouizdad,0-4
21/10/2022,9,USM Alger,JS Saoura,1-1
21/10/2022,9,ASO Chlef,RC Arbaâ,1-1
21/10/2022,9,CR Bélouizdad,NC Magra,3-1
21/10/2022,9,MC El Bayadh,Paradou AC,0-0
21/10/2022,9,USM Khenchela,MC Alger,2-0
21/10/2022,9,CS Constantine,US Biskra,2-1
21/10/2022,9,JS Kabylie,ES Sétif,2-3
22/10/2022,9,HB Chelghoum Laïd,MC Oran,1-2
05/11/2022,10,RC Arbaâ,CS Constantine,1-2
05/11/2022,10,NC Magra,ASO Chlef,4-2
05/11/2022,10,CR Bélouizdad,MC El Bayadh,1-0
05/11/2022,10,ES Sétif,HB Chelghoum Laïd,4-0
05/11/2022,10,MC Oran,Paradou AC,1-0
06/11/2022,10,MC Alger,JS Kabylie,1-0
06/11/2022,10,JS Saoura,USM Khenchela,1-0
28/12/2022,10,US Biskra,USM Alger,1-0
09/11/2022,11,CS Constantine,NC Magra,1-0
09/11/2022,11,ASO Chlef,CR Bélouizdad,0-1
09/11/2022,11,HB Chelghoum Laïd,MC Alger,0-1
09/11/2022,11,Paradou AC,ES Sétif,1-3
12/11/2022,11,MC El Bayadh,MC Oran,1-1
12/11/2022,11,USM Khenchela,US Biskra,1-0
12/11/2022,11,JS Kabylie,JS Saoura,1-2
08/02/2023,11,USM Alger,RC Arbaâ,3-0
29/11/2022,12,NC Magra,USM Alger,1-1
29/11/2022,12,CR Bélouizdad,CS Constantine,2-1
29/11/2022,12,ASO Chlef,MC El Bayadh,0-0
29/11/2022,12,RC Arbaâ,USM Khenchela,5-1
29/11/2022,12,US Biskra,JS Kabylie,1-1
29/11/2022,12,MC Alger,Paradou AC,2-2
29/11/2022,12,JS Saoura,HB Chelghoum Laïd,5-0
29/11/2022,12,ES Sétif,MC Oran,4-0
07/12/2022,13,USM Alger,CR Bélouizdad,2-2
07/12/2022,13,CS Constantine,ASO Chlef,3-0
07/12/2022,13,MC El Bayadh,ES Sétif,2-0
07/12/2022,13,USM Khenchela,NC Magra,1-1
07/12/2022,13,HB Chelghoum Laïd,US Biskra,0-1
07/12/2022,13,Paradou AC,JS Saoura,2-1
07/12/2022,13,JS Kabylie,RC Arbaâ,4-0
07/12/2022,13,MC Oran,MC Alger,3-0
11/12/2022,14,ASO Chlef,USM Alger,2-1
11/12/2022,14,CS Constantine,MC El Bayadh,3-1
11/12/2022,14,CR Bélouizdad,USM Khenchela,2-0
11/12/2022,14,NC Magra,JS Kabylie,2-1
11/12/2022,14,RC Arbaâ,HB Chelghoum Laïd,3-1
11/12/2022,14,US Biskra,Paradou AC,2-1
11/12/2022,14,MC Alger,ES Sétif,1-0
11/12/2022,14,JS Saoura,MC Oran,1-0
24/12/2022,15,USM Alger,CS Constantine,2-1
24/12/2022,15,USM Khenchela,ASO Chlef,2-0
24/12/2022,15,HB Chelghoum Laïd,NC Magra,0-5
24/12/2022,15,Paradou AC,RC Arbaâ,1-1
24/12/2022,15,MC El Bayadh,MC Alger,1-0
24/12/2022,15,MC Oran,US Biskra,1-0
24/12/2022,15,JS Kabylie,CR Bélouizdad,1-2
24/12/2022,15,ES Sétif,JS Saoura,0-0
10/02/2023,16,USM Khenchela,CS Constantine,1-1
10/02/2023,16,Paradou AC,NC Magra,3-1
10/02/2023,16,MC Alger,JS Saoura,1-1
10/02/2023,16,ES Sétif,US Biskra,3-1
