Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
25/02/2023,1,Nashville SC,New York City FC,2-0
26/02/2023,1,Atlanta United FC,San Jose Earthquakes,2-1
26/02/2023,1,Charlotte FC,New England Revolution,0-1
26/02/2023,1,FC Cincinnati,Houston Dynamo,2-1
26/02/2023,1,D.C. United,Toronto FC,3-2
26/02/2023,1,Inter Miami CF,CF Montréal,2-0
26/02/2023,1,Orlando City,New York RB,1-0
26/02/2023,1,Philadelphia Union,Columbus Crew,4-1
26/02/2023,1,Austin FC,St. Louis City SC,2-3
26/02/2023,1,FC Dallas,Minnesota United FC,0-1
26/02/2023,1,Vancouver Whitecaps,Real Salt Lake,1-2
27/02/2023,1,Seattle Sounders,Colorado Rapids,4-0
28/02/2023,1,Portland Timbers,Sporting Kansas City,1-0
04/03/2023,2,Los Angeles FC,Portland Timbers,3-2
05/03/2023,2,Atlanta United FC,Toronto FC,1-1
05/03/2023,2,Columbus Crew,D.C. United,2-0
05/03/2023,2,Inter Miami CF,Philadelphia Union,2-0
05/03/2023,2,New England Revolution,Houston Dynamo,3-0
05/03/2023,2,New York RB,Nashville SC,0-0
05/03/2023,2,Orlando City,FC Cincinnati,0-0
05/03/2023,2,Austin FC,CF Montréal,1-0
05/03/2023,2,Chicago Fire,New York City FC,1-1
05/03/2023,2,FC Dallas,Los Angeles Galaxy,3-1
05/03/2023,2,St. Louis City SC,Charlotte FC,3-1
05/03/2023,2,Colorado Rapids,Sporting Kansas City,0-0
05/03/2023,2,San Jose Earthquakes,Vancouver Whitecaps,2-1
05/03/2023,2,Seattle Sounders,Real Salt Lake,2-0
11/03/2023,2,Charlotte FC,Atlanta United FC,0-3
11/03/2023,2,Vancouver Whitecaps,FC Dallas,1-1
12/03/2023,2,FC Cincinnati,Seattle Sounders,1-0
12/03/2023,2,D.C. United,Orlando City,1-1
12/03/2023,2,New York City FC,Inter Miami CF,1-0
12/03/2023,2,Philadelphia Union,Chicago Fire,1-0
12/03/2023,2,Toronto FC,Columbus Crew,1-1
12/03/2023,2,Sporting Kansas City,Los Angeles Galaxy,0-0
12/03/2023,2,Minnesota United FC,New York RB,1-1
12/03/2023,2,Nashville SC,CF Montréal,2-0
12/03/2023,2,Real Salt Lake,Austin FC,1-2
12/03/2023,2,Portland Timbers,St. Louis City SC,1-2
