Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
06/05/2023,34,Motherwell FC,Kilmarnock FC,2-0
06/05/2023,34,Ross County FC,Livingston FC,2-0
06/05/2023,34,St. Johnstone FC,Dundee United,1-0
13/05/2023,35,Dundee United,Ross County FC,1-3
13/05/2023,35,Kilmarnock FC,Livingston FC,2-0
13/05/2023,35,St. Johnstone FC,Motherwell FC,0-2
20/05/2023,36,Kilmarnock FC,St. Johnstone FC,0-1
20/05/2023,36,Livingston FC,Dundee United,2-1
20/05/2023,36,Motherwell FC,Ross County FC,1-0
24/05/2023,37,Dundee United,Kilmarnock FC,0-3
24/05/2023,37,Livingston FC,Motherwell FC,1-1
24/05/2023,37,Ross County FC,St. Johnstone FC,3-3
28/05/2023,38,Kilmarnock FC,Ross County FC,3-1
28/05/2023,38,Motherwell FC,Dundee United,3-2
28/05/2023,38,St. Johnstone FC,Livingston FC,2-0
