matchday,date,time,home_team,away_team,result,status
1,30/07/2022,03:00,Livingston FC,Rangers FC,1-2,Final
1,30/07/2022,03:00,Kilmarnock FC,Dundee United,1-1,Final
1,30/07/2022,03:00,Heart of Midlothian,Ross County FC,2-1,Final
1,30/07/2022,03:00,St. Johnstone FC,Hibernian FC,0-1,Final
1,31/07/2022,03:00,St. Mirren FC,Motherwell FC,0-1,Final
1,31/07/2022,03:00,Celtic FC,Aberdeen FC,2-0,Final
2,06/08/2022,03:00,Aberdeen FC,St. Mirren FC,4-1,Final
2,06/08/2022,03:00,Rangers FC,Kilmarnock FC,2-0,Final
2,06/08/2022,03:00,Motherwell FC,St. Johnstone FC,1-2,Final
2,06/08/2022,03:00,Ross County FC,Celtic FC,1-3,Final
2,07/08/2022,03:00,Hibernian FC,Heart of Midlothian,1-1,Final
2,07/08/2022,03:00,Dundee United,Livingston FC,0-1,Final
3,13/08/2022,03:00,Aberdeen FC,Motherwell FC,2-3,Final
3,13/08/2022,03:00,Rangers FC,St. Johnstone FC,4-0,Final
3,13/08/2022,03:00,Livingston FC,Hibernian FC,2-1,Final
3,13/08/2022,03:00,St. Mirren FC,Ross County FC,1-0,Final
3,14/08/2022,03:00,Kilmarnock FC,Celtic FC,0-5,Final
3,14/08/2022,03:00,Heart of Midlothian,Dundee United,4-1,Final
4,20/08/2022,03:00,Hibernian FC,Rangers FC,2-2,Final
4,20/08/2022,03:00,Dundee United,St. Mirren FC,0-3,Final
4,20/08/2022,03:00,Motherwell FC,Livingston FC,1-0,Final
4,20/08/2022,03:00,Ross County FC,Kilmarnock FC,1-0,Final
4,20/08/2022,03:00,St. Johnstone FC,Aberdeen FC,0-1,Final
4,21/08/2022,03:00,Celtic FC,Heart of Midlothian,2-0,Final
5,27/08/2022,03:00,Aberdeen FC,Livingston FC,5-0,Final
5,27/08/2022,03:00,Kilmarnock FC,Motherwell FC,2-1,Final
5,27/08/2022,03:00,Rangers FC,Ross County FC,4-0,Final
5,27/08/2022,03:00,St. Mirren FC,Hibernian FC,1-0,Final
5,28/08/2022,03:00,Dundee United,Celtic FC,0-9,Final
5,28/08/2022,03:00,Heart of Midlothian,St. Johnstone FC,3-2,Final
6,03/09/2022,03:00,Celtic FC,Rangers FC,4-0,Final
6,03/09/2022,03:00,Hibernian FC,Kilmarnock FC,1-0,Final
6,03/09/2022,03:00,Livingston FC,Heart of Midlothian,1-0,Final
6,03/09/2022,03:00,Motherwell FC,Dundee United,0-0,Final
6,03/09/2022,03:00,Ross County FC,Aberdeen FC,1-1,Final
6,03/09/2022,03:00,St. Johnstone FC,St. Mirren FC,3-0,Final
7,04/10/2022,03:00,Ross County FC,Motherwell FC,0-5,Final
7,05/10/2022,03:00,Kilmarnock FC,St. Johnstone FC,2-1,Final
7,11/10/2022,03:00,Dundee United,Hibernian FC,1-0,Final
7,20/12/2022,03:00,Aberdeen FC,Rangers FC,2-3,Final
7,21/12/2022,03:00,Celtic FC,Livingston FC,2-1,Final
7,13/01/2023,03:00,Heart of Midlothian,St. Mirren FC,1-0,Final
8,17/09/2022,03:00,Rangers FC,Dundee United,2-1,Final
8,17/09/2022,03:00,Hibernian FC,Aberdeen FC,3-1,Final
8,17/09/2022,03:00,Livingston FC,Kilmarnock FC,1-0,Final
8,17/09/2022,03:00,St. Johnstone FC,Ross County FC,0-0,Final
8,18/09/2022,03:00,St. Mirren FC,Celtic FC,2-0,Final
8,18/09/2022,03:00,Motherwell FC,Heart of Midlothian,0-3,Final
9,01/10/2022,03:00,Heart of Midlothian,Rangers FC,0-4,Final
9,01/10/2022,03:00,Celtic FC,Motherwell FC,2-1,Final
9,01/10/2022,03:00,Dundee United,St. Johnstone FC,1-2,Final
9,01/10/2022,03:00,Aberdeen FC,Kilmarnock FC,4-1,Final
9,01/10/2022,03:00,Ross County FC,Hibernian FC,0-2,Final
9,01/10/2022,03:00,St. Mirren FC,Livingston FC,2-1,Final
10,08/10/2022,03:00,St. Johnstone FC,Celtic FC,1-2,Final
10,08/10/2022,03:00,Rangers FC,St. Mirren FC,4-0,Final
10,08/10/2022,03:00,Hibernian FC,Motherwell FC,1-0,Final
10,08/10/2022,03:00,Livingston FC,Ross County FC,0-1,Final
10,08/10/2022,03:00,Dundee United,Aberdeen FC,4-0,Final
10,09/10/2022,03:00,Kilmarnock FC,Heart of Midlothian,2-2,Final
11,15/10/2022,03:00,Celtic FC,Hibernian FC,6-1,Final
11,15/10/2022,03:00,Livingston FC,St. Johnstone FC,1-0,Final
11,15/10/2022,03:00,Ross County FC,Dundee United,1-1,Final
11,15/10/2022,03:00,St. Mirren FC,Kilmarnock FC,0-0,Final
11,16/10/2022,03:00,Motherwell FC,Rangers FC,1-2,Final
11,16/10/2022,03:00,Aberdeen FC,Heart of Midlothian,2-0,Final
12,21/10/2022,03:00,Hibernian FC,St. Johnstone FC,1-2,Final
12,22/10/2022,03:00,Heart of Midlothian,Celtic FC,3-4,Final
12,22/10/2022,03:00,Kilmarnock FC,Ross County FC,1-0,Final
12,22/10/2022,03:00,Rangers FC,Livingston FC,1-1,Final
12,22/10/2022,03:00,Motherwell FC,Aberdeen FC,1-2,Final
12,22/10/2022,03:00,St. Mirren FC,Dundee United,2-1,Final
13,29/10/2022,03:00,Dundee United,Motherwell FC,0-1,Final
