matchday,date,time,home_team,away_team,result,status
1,23/08/2022,03:00,Shajtar Donetsk,Metalist 1925 Kharkiv,0-0,Final
1,23/08/2022,03:00,Zorya Lugansk,Vorskla Poltava,3-1,Final
1,23/08/2022,03:00,Chernomorets Odessa,NK Veres,0-1,Final
1,23/08/2022,03:00,Kolos Kovalivka,Kryvbas Kryvyi Rih,1-0,Final
1,24/08/2022,03:00,Rukh Lviv,Metalist Kharkiv,1-2,Final
1,25/09/2022,03:00,FC Mynai,FK Lviv,0-1,Final
1,17/11/2022,03:00,Inhulets Petrove,Dinamo Kiev,1-2,Final
1,11/05/2023,03:00,SK Dnipro-1,FK Oleksandriya,1-1,Final
2,27/08/2022,03:00,FK Lviv,Zorya Lugansk,2-3,Final
2,27/08/2022,03:00,Vorskla Poltava,NK Veres,1-2,Final
2,27/08/2022,03:00,Metalist 1925 Kharkiv,Chernomorets Odessa,0-0,Final
2,28/08/2022,03:00,Kolos Kovalivka,Rukh Lviv,2-0,Final
2,28/08/2022,03:00,Shajtar Donetsk,Kryvbas Kryvyi Rih,1-0,Final
2,28/08/2022,03:00,Dinamo Kiev,SK Dnipro-1,0-3,Final
2,29/08/2022,03:00,Metalist Kharkiv,Inhulets Petrove,1-1,Final
2,29/08/2022,03:00,FK Oleksandriya,FC Mynai,2-1,Final
3,02/09/2022,03:00,Rukh Lviv,Shajtar Donetsk,0-1,Final
3,03/09/2022,03:00,SK Dnipro-1,NK Veres,2-0,Final
3,03/09/2022,03:00,Zorya Lugansk,Dinamo Kiev,3-2,Final
3,03/09/2022,03:00,Metalist 1925 Kharkiv,Vorskla Poltava,3-2,Final
3,04/09/2022,03:00,Chernomorets Odessa,Inhulets Petrove,1-1,Final
3,04/09/2022,03:00,Kryvbas Kryvyi Rih,FK Lviv,0-0,Final
3,05/09/2022,03:00,FC Mynai,Kolos Kovalivka,1-1,Final
3,05/09/2022,03:00,FK Oleksandriya,Metalist Kharkiv,1-3,Final
4,09/09/2022,03:00,Rukh Lviv,Zorya Lugansk,3-1,Final
4,10/09/2022,03:00,Kryvbas Kryvyi Rih,NK Veres,0-1,Final
4,10/09/2022,03:00,Shajtar Donetsk,Chernomorets Odessa,2-1,Final
4,11/09/2022,03:00,SK Dnipro-1,Metalist 1925 Kharkiv,3-0,Final
