Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
04/02/2023,1,Deportivo Morón,Almagro,0-1
04/02/2023,1,Estudiantes de Río Cuarto,San Martín de Tucumán,0-1
04/02/2023,1,All Boys,Nueva Chicago,1-1
04/02/2023,1,Patronato de Paraná,Guillermo Brown,0-0
05/02/2023,1,Alvarado,San Martín de San Juan,0-0
05/02/2023,1,Defensores de Belgrano,Temperley,1-1
05/02/2023,1,Gimnasia de Mendoza,Defensores Unidos de Zárate,1-1
05/02/2023,1,Almirante Brown,San Telmo,1-0
05/02/2023,1,Güemes de SdE,Agropecuario Argentino,0-1
11/02/2023,2,Almagro,Almirante Brown,0-1
11/02/2023,2,Temperley,Estudiantes de Río Cuarto,2-0
11/02/2023,2,Flandria,Alvarado,0-0
11/02/2023,2,San Telmo,Defensores de Belgrano,2-2
11/02/2023,2,San Martín de Tucumán,All Boys,2-1
12/02/2023,2,San Martín de San Juan,Gimnasia de Mendoza,0-1
12/02/2023,2,Defensores Unidos de Zárate,Patronato de Paraná,1-1
12/02/2023,2,Guillermo Brown,Güemes de SdE,4-1
14/02/2023,2,Agropecuario Argentino,Deportivo Morón,3-1
17/02/2023,3,Patronato de Paraná,San Martín de San Juan,1-2
18/02/2023,3,All Boys,Temperley,1-1
18/02/2023,3,Estudiantes de Río Cuarto,San Telmo,2-2
19/02/2023,3,Gimnasia de Mendoza,Flandria,0-0
19/02/2023,3,Defensores de Belgrano,Almagro,1-0
19/02/2023,3,Güemes de SdE,Defensores Unidos de Zárate,1-1
20/02/2023,3,Deportivo Morón,Guillermo Brown,0-0
20/02/2023,3,Almirante Brown,Agropecuario Argentino,4-1
20/02/2023,3,Nueva Chicago,San Martín de Tucumán,1-0
24/02/2023,4,San Telmo,All Boys,0-1
25/02/2023,4,Almagro,Estudiantes de Río Cuarto,1-0
25/02/2023,4,Flandria,Patronato de Paraná,1-1
25/02/2023,4,Temperley,Nueva Chicago,1-0
26/02/2023,4,San Martín de San Juan,Güemes de SdE,0-0
26/02/2023,4,Alvarado,Gimnasia de Mendoza,1-1
26/02/2023,4,Defensores Unidos de Zárate,Deportivo Morón,2-0
26/02/2023,4,Guillermo Brown,Almirante Brown,0-0
28/02/2023,4,Agropecuario Argentino,Defensores de Belgrano,2-1
04/03/2023,5,All Boys,Almagro,0-0
04/03/2023,5,Nueva Chicago,San Telmo,2-0
04/03/2023,5,Güemes de SdE,Flandria,1-1
05/03/2023,5,Deportivo Morón,San Martín de San Juan,1-0
05/03/2023,5,Almirante Brown,Defensores Unidos de Zárate,0-0
05/03/2023,5,San Martín de Tucumán,Temperley,1-1
06/03/2023,5,Estudiantes de Río Cuarto,Agropecuario Argentino,2-1
06/03/2023,5,Defensores de Belgrano,Guillermo Brown,4-1
06/03/2023,5,Patronato de Paraná,Alvarado,6-0
11/03/2023,6,Defensores Unidos de Zárate,Defensores de Belgrano,1-0
11/03/2023,6,Alvarado,Güemes de SdE,2-1
11/03/2023,6,San Martín de San Juan,Almirante Brown,1-1
12/03/2023,6,Agropecuario Argentino,All Boys,1-1
12/03/2023,6,Gimnasia de Mendoza,Patronato de Paraná,0-0
12/03/2023,6,Flandria,Deportivo Morón,2-0
12/03/2023,6,Guillermo Brown,Estudiantes de Río Cuarto,0-1
12/03/2023,6,Almagro,Nueva Chicago,0-0
13/03/2023,6,San Telmo,San Martín de Tucumán,2-1
18/03/2023,7,Almirante Brown,Flandria,3-1
18/03/2023,7,Nueva Chicago,Agropecuario Argentino,0-1
