Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
10/02/2023,1,Aldosivi,Independiente Rivadavia,1-2
11/02/2023,1,Atlético Rafaela,Tristan Suárez,3-0
11/02/2023,1,Gimnasia de Jujuy,Ferro Carril Oeste,1-1
11/02/2023,1,Estudiantes de Caseros,Atlanta,2-0
11/02/2023,1,Brown de Adrogué,Racing de Córdoba,1-2
11/02/2023,1,Deportivo Madryn,Chacarita Juniors,0-0
11/02/2023,1,Villa Dálmine,Mitre de SdE,0-0
12/02/2023,1,Deportivo Maipú,Chaco For Ever,2-0
12/02/2023,1,Quilmes,Deportivo Riestra,3-1
18/02/2023,2,Gimnasia de Jujuy,Aldosivi,1-1
18/02/2023,2,Racing de Córdoba,Estudiantes de Caseros,0-1
18/02/2023,2,Ferro Carril Oeste,Quilmes,2-3
18/02/2023,2,Chacarita Juniors,Villa Dálmine,3-0
18/02/2023,2,Deportivo Riestra,Brown de Adrogué,2-1
19/02/2023,2,Tristan Suárez,Deportivo Madryn,1-2
19/02/2023,2,Mitre de SdE,Deportivo Maipú,1-0
19/02/2023,2,Chaco For Ever,Independiente Rivadavia,2-1
21/02/2023,2,Atlanta,Atlético Rafaela,0-0
24/02/2023,3,Villa Dálmine,Tristan Suárez,3-1
25/02/2023,3,Estudiantes de Caseros,Deportivo Riestra,1-0
25/02/2023,3,Brown de Adrogué,Ferro Carril Oeste,1-1
25/02/2023,3,Deportivo Madryn,Atlanta,0-1
25/02/2023,3,Quilmes,Gimnasia de Jujuy,2-1
26/02/2023,3,Aldosivi,Chaco For Ever,2-0
26/02/2023,3,Deportivo Maipú,Chacarita Juniors,0-2
27/02/2023,3,Atlético Rafaela,Racing de Córdoba,2-1
27/02/2023,3,Independiente Rivadavia,Mitre de SdE,4-1
03/03/2023,4,Deportivo Riestra,Atlético Rafaela,0-2
03/03/2023,4,Racing de Córdoba,Deportivo Madryn,3-1
04/03/2023,4,Tristan Suárez,Deportivo Maipú,0-4
04/03/2023,4,Chacarita Juniors,Independiente Rivadavia,3-0
04/03/2023,4,Gimnasia de Jujuy,Brown de Adrogué,1-1
04/03/2023,4,Mitre de SdE,Chaco For Ever,2-0
05/03/2023,4,Ferro Carril Oeste,Estudiantes de Caseros,0-2
05/03/2023,4,Atlanta,Villa Dálmine,2-1
06/03/2023,4,Quilmes,Aldosivi,4-1
11/03/2023,5,Atlético Rafaela,Ferro Carril Oeste,1-2
11/03/2023,5,Brown de Adrogué,Quilmes,1-0
11/03/2023,5,Deportivo Madryn,Deportivo Riestra,0-3
12/03/2023,5,Estudiantes de Caseros,Gimnasia de Jujuy,1-2
12/03/2023,5,Deportivo Maipú,Atlanta,1-0
12/03/2023,5,Chaco For Ever,Chacarita Juniors,1-1
12/03/2023,5,Villa Dálmine,Racing de Córdoba,2-1
13/03/2023,5,Independiente Rivadavia,Tristan Suárez,1-3
14/03/2023,5,Aldosivi,Mitre de SdE,3-1
17/03/2023,6,Ferro Carril Oeste,Deportivo Madryn,0-0
18/03/2023,6,Gimnasia de Jujuy,Atlético Rafaela,1-0
18/03/2023,6,Brown de Adrogué,Aldosivi,2-0
18/03/2023,6,Tristan Suárez,Chaco For Ever,2-1
18/03/2023,6,Chacarita Juniors,Mitre de SdE,1-1
19/03/2023,6,Quilmes,Estudiantes de Caseros,2-0
19/03/2023,6,Atlanta,Independiente Rivadavia,2-2
19/03/2023,6,Racing de Córdoba,Deportivo Maipú,1-0
20/03/2023,6,Deportivo Riestra,Villa Dálmine,2-1
25/03/2023,7,Estudiantes de Caseros,Brown de Adrogué,1-1
25/03/2023,7,Deportivo Madryn,Gimnasia de Jujuy,3-1
25/03/2023,7,Villa Dálmine,Ferro Carril Oeste,2-0
26/03/2023,7,Aldosivi,Chacarita Juniors,0-1
26/03/2023,7,Mitre de SdE,Tristan Suárez,0-1
26/03/2023,7,Chaco For Ever,Atlanta,1-1
26/03/2023,7,Deportivo Maipú,Deportivo Riestra,1-1
27/03/2023,7,Atlético Rafaela,Quilmes,1-0
28/03/2023,7,Independiente Rivadavia,Racing de Córdoba,1-1
01/04/2023,8,Gimnasia de Jujuy,Villa Dálmine,2-0
02/04/2023,8,Tristan Suárez,Chacarita Juniors,1-3
02/04/2023,8,Estudiantes de Caseros,Aldosivi,0-1
02/04/2023,8,Deportivo Riestra,Independiente Rivadavia,3-3
02/04/2023,8,Racing de Córdoba,Chaco For Ever,2-0
02/04/2023,8,Ferro Carril Oeste,Deportivo Maipú,0-1
03/04/2023,8,Brown de Adrogué,Atlético Rafaela,1-1
03/04/2023,8,Atlanta,Mitre de SdE,0-1
04/04/2023,8,Quilmes,Deportivo Madryn,2-0
07/04/2023,9,Deportivo Maipú,Gimnasia de Jujuy,3-2
