Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
28/10/2023,,San Martín de Tucumán,Deportivo Riestra,0-1
28/10/2023,,Chacarita Juniors,Temperley,1-2
28/10/2023,,Agropecuario Argentino,Ferro Carril Oeste,0-2
29/10/2023,,Deportivo Maipú,San Martín de San Juan,1-0
29/10/2023,,Estudiantes de Río Cuarto,Mitre de SdE,1-0
31/10/2023,,Atlético Rafaela,Defensores de Belgrano,1-0
04/11/2023,,Quilmes,Gimnasia de Mendoza,1-0
05/11/2023,,Temperley,Deportivo Maipú,2-1
05/11/2023,,Ferro Carril Oeste,Almirante Brown,1-1
07/11/2023,,Deportivo Riestra,Quilmes,1-1
09/11/2023,,Atlético Rafaela,Estudiantes de Río Cuarto,0-0
11/11/2023,,Almirante Brown,Ferro Carril Oeste,0-0
12/11/2023,,Deportivo Maipú,Temperley,2-0
13/11/2023,,Quilmes,Deportivo Riestra,0-1
14/11/2023,,Estudiantes de Río Cuarto,Atlético Rafaela,0-0
20/11/2023,,Deportivo Riestra,Almirante Brown,2-0
22/11/2023,,Estudiantes de Río Cuarto,Deportivo Maipú,0-0
26/11/2023,,Deportivo Maipú,Estudiantes de Río Cuarto,1-1
26/11/2023,,Almirante Brown,Deportivo Riestra,0-2
02/12/2023,,Deportivo Maipú,Deportivo Riestra,0-1
