Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
22/07/2022,1,Standard Lieja,KAA Gent,2-2
23/07/2022,1,Sporting Charleroi,KAS Eupen,3-1
23/07/2022,1,KV Kortrijk,Oud-Heverlee Leuven,0-2
23/07/2022,1,SV Zulte Waregem,RFC Seraing,2-0
23/07/2022,1,Sint-Truidense VV,Union Saint-Gilloise,1-1
24/07/2022,1,Club Brugge KV,KRC Genk,3-2
24/07/2022,1,KV Mechelen,Royal Antwerp FC,0-2
24/07/2022,1,RSC Anderlecht,KV Oostende,2-0
24/07/2022,1,KVC Westerlo,Cercle Brugge,2-0
29/07/2022,2,Union Saint-Gilloise,Sporting Charleroi,1-0
30/07/2022,2,Cercle Brugge,RSC Anderlecht,1-0
30/07/2022,2,KV Oostende,KV Mechelen,2-1
30/07/2022,2,Oud-Heverlee Leuven,KVC Westerlo,2-0
30/07/2022,2,KAA Gent,Sint-Truidense VV,1-1
31/07/2022,2,KRC Genk,Standard Lieja,3-1
31/07/2022,2,KAS Eupen,Club Brugge KV,2-1
31/07/2022,2,RFC Seraing,KV Kortrijk,0-1
31/07/2022,2,Royal Antwerp FC,SV Zulte Waregem,1-0
05/08/2022,3,Club Brugge KV,SV Zulte Waregem,1-1
06/08/2022,3,KRC Genk,KAS Eupen,4-2
06/08/2022,3,KV Kortrijk,Sint-Truidense VV,0-0
06/08/2022,3,Sporting Charleroi,KV Oostende,1-3
06/08/2022,3,KV Mechelen,Union Saint-Gilloise,3-0
07/08/2022,3,Standard Lieja,Cercle Brugge,2-0
07/08/2022,3,KAA Gent,KVC Westerlo,2-1
07/08/2022,3,RSC Anderlecht,RFC Seraing,3-1
07/08/2022,3,Royal Antwerp FC,Oud-Heverlee Leuven,4-2
12/08/2022,4,KV Oostende,KAA Gent,1-3
13/08/2022,4,KVC Westerlo,Standard Lieja,4-2
13/08/2022,4,Cercle Brugge,KV Mechelen,0-0
13/08/2022,4,RFC Seraing,Sporting Charleroi,0-1
13/08/2022,4,Union Saint-Gilloise,KV Kortrijk,2-1
14/08/2022,4,Sint-Truidense VV,RSC Anderlecht,0-3
14/08/2022,4,KAS Eupen,Royal Antwerp FC,0-1
14/08/2022,4,Oud-Heverlee Leuven,Club Brugge KV,0-3
14/08/2022,4,SV Zulte Waregem,KRC Genk,1-4
19/08/2022,5,KAS Eupen,RFC Seraing,1-3
20/08/2022,5,KV Oostende,Sint-Truidense VV,0-1
20/08/2022,5,KRC Genk,Cercle Brugge,2-1
21/08/2022,5,Club Brugge KV,KV Kortrijk,2-1
21/08/2022,5,SV Zulte Waregem,Sporting Charleroi,1-3
21/08/2022,5,Standard Lieja,Oud-Heverlee Leuven,1-3
21/08/2022,5,KV Mechelen,KVC Westerlo,5-4
31/08/2022,5,Royal Antwerp FC,Union Saint-Gilloise,4-2
01/09/2022,5,RSC Anderlecht,KAA Gent,0-1
26/08/2022,6,Sporting Charleroi,Club Brugge KV,1-3
27/08/2022,6,RFC Seraing,KRC Genk,0-4
27/08/2022,6,Cercle Brugge,SV Zulte Waregem,1-1
27/08/2022,6,Oud-Heverlee Leuven,KV Oostende,2-1
27/08/2022,6,Sint-Truidense VV,KV Mechelen,3-1
28/08/2022,6,KAA Gent,Royal Antwerp FC,1-2
28/08/2022,6,KV Kortrijk,Standard Lieja,0-1
28/08/2022,6,Union Saint-Gilloise,RSC Anderlecht,2-1
28/08/2022,6,KVC Westerlo,KAS Eupen,0-1
02/09/2022,7,Club Brugge KV,Cercle Brugge,4-0
03/09/2022,7,KRC Genk,Sint-Truidense VV,0-0
03/09/2022,7,KAS Eupen,KV Kortrijk,0-1
03/09/2022,7,KV Mechelen,RFC Seraing,2-3
03/09/2022,7,Standard Lieja,KV Oostende,1-0
04/09/2022,7,RSC Anderlecht,Oud-Heverlee Leuven,2-2
04/09/2022,7,Royal Antwerp FC,KVC Westerlo,3-0
04/09/2022,7,Sporting Charleroi,KAA Gent,2-1
04/09/2022,7,SV Zulte Waregem,Union Saint-Gilloise,1-3
09/09/2022,8,Sint-Truidense VV,Standard Lieja,1-2
10/09/2022,8,KV Kortrijk,KV Mechelen,1-4
10/09/2022,8,KV Oostende,KAS Eupen,1-0
10/09/2022,8,RFC Seraing,Club Brugge KV,0-2
10/09/2022,8,Oud-Heverlee Leuven,Sporting Charleroi,3-2
11/09/2022,8,KVC Westerlo,RSC Anderlecht,2-1
11/09/2022,8,Cercle Brugge,Royal Antwerp FC,0-2
11/09/2022,8,Union Saint-Gilloise,KRC Genk,1-2
11/09/2022,8,KAA Gent,SV Zulte Waregem,2-0
16/09/2022,9,Royal Antwerp FC,RFC Seraing,2-1
17/09/2022,9,KV Mechelen,Oud-Heverlee Leuven,0-0
17/09/2022,9,Cercle Brugge,KV Oostende,2-2
17/09/2022,9,SV Zulte Waregem,Sint-Truidense VV,0-3
