matchday,date,time,home_team,away_team,result,status
1,06/08/2022,05:00,Farense,Torreense,2-1,Final
1,06/08/2022,08:00,Nacional,Tondela,0-1,Final
1,06/08/2022,08:00,Oliveirense,Mafra,3-1,Final
1,06/08/2022,09:30,Trofense,Belenenses,3-2,Final
1,06/08/2022,12:00,Benfica B,Academico Viseu,1-1,Final
1,07/08/2022,05:00,Feirense,Estrela,1-1,Final
1,07/08/2022,09:30,Moreirense,Vilafranquense,1-0,Final
1,07/08/2022,12:00,FC Porto B,SC Covilha,0-1,Final
1,08/08/2022,12:00,Penafiel,Leixoes,0-0,Final
2,12/08/2022,12:00,Tondela,Benfica B,1-1,Final
2,13/08/2022,05:00,SC Covilha,Feirense,0-2,Final
2,13/08/2022,09:30,Torreense,Nacional,0-2,Final
2,13/08/2022,09:30,Estrela,Farense,1-1,Final
2,14/08/2022,05:00,Academico Viseu,Moreirense,1-3,Final
2,14/08/2022,09:30,Belenenses,FC Porto B,2-3,Final
2,14/08/2022,09:30,Vilafranquense,Oliveirense,2-1,Final
2,15/08/2022,12:00,Mafra,Penafiel,3-0,Final
2,15/08/2022,14:30,Leixoes,Trofense,1-0,Final
3,17/08/2022,05:00,Benfica B,Estrela,1-2,Final
3,19/08/2022,12:00,Tondela,SC Covilha,1-1,Final
3,20/08/2022,05:00,Farense,Academico Viseu,2-2,Final
3,20/08/2022,09:30,Moreirense,Torreense,3-0,Final
3,20/08/2022,12:00,Trofense,Vilafranquense,1-3,Final
3,21/08/2022,05:00,Feirense,Leixoes,1-1,Final
3,21/08/2022,08:00,Nacional,Mafra,0-2,Final
3,21/08/2022,09:30,FC Porto B,Oliveirense,2-0,Final
3,22/08/2022,12:00,Penafiel,Belenenses,3-3,Final
4,26/08/2022,12:00,Vilafranquense,Feirense,1-0,Final
4,27/08/2022,05:00,Academico Viseu,Tondela,2-2,Final
4,27/08/2022,08:00,Belenenses,Moreirense,2-3,Final
4,27/08/2022,09:30,SC Covilha,Penafiel,0-2,Final
4,28/08/2022,05:00,Leixoes,Nacional,3-0,Final
4,28/08/2022,08:00,Torreense,Benfica B,0-0,Final
4,28/08/2022,09:30,Estrela,FC Porto B,1-1,Final
4,28/08/2022,12:00,Oliveirense,Trofense,1-1,Final
4,29/08/2022,12:00,Mafra,Farense,0-3,Final
5,03/09/2022,05:00,Benfica B,Leixoes,2-1,Final
5,03/09/2022,05:00,Academico Viseu,Torreense,1-2,Final
5,03/09/2022,08:00,Moreirense,Oliveirense,4-1,Final
5,03/09/2022,09:30,FC Porto B,Vilafranquense,0-1,Final
5,04/09/2022,05:00,Penafiel,Trofense,3-0,Final
5,04/09/2022,08:00,Feirense,Mafra,0-0,Final
5,04/09/2022,09:30,Nacional,Belenenses,1-3,Final
5,04/09/2022,09:30,Farense,SC Covilha,2-2,Final
5,05/09/2022,12:00,Tondela,Estrela,1-1,Final
6,09/09/2022,12:00,Oliveirense,Penafiel,1-1,Final
6,10/09/2022,05:00,Vilafranquense,Benfica B,3-2,Final
6,10/09/2022,09:30,Mafra,FC Porto B,0-1,Final
6,11/09/2022,05:00,Belenenses,Feirense,1-1,Final
6,11/09/2022,05:00,SC Covilha,Nacional,1-2,Final
6,11/09/2022,08:00,Leixoes,Farense,0-1,Final
6,11/09/2022,09:30,Torreense,Tondela,0-3,Final
6,11/09/2022,12:00,Trofense,Moreirense,0-3,Final
6,12/09/2022,12:00,Estrela,Academico Viseu,2-1,Final
7,16/09/2022,12:00,Tondela,Belenenses,3-1,Final
7,17/09/2022,05:00,Academico Viseu,Mafra,2-0,Final
7,17/09/2022,08:00,Penafiel,Moreirense,1-1,Final
7,17/09/2022,09:30,FC Porto B,Torreense,2-0,Final
7,18/09/2022,05:00,Benfica B,SC Covilha,4-0,Final
7,18/09/2022,05:00,Farense,Vilafranquense,2-1,Final
7,18/09/2022,08:00,Nacional,Trofense,0-1,Final
7,18/09/2022,09:30,Estrela,Leixoes,2-2,Final
7,19/09/2022,12:00,Feirense,Oliveirense,3-2,Final
8,07/10/2022,12:00,Belenenses,Farense,2-3,Final
8,08/10/2022,05:00,Leixoes,FC Porto B,0-0,Final
8,08/10/2022,06:45,Oliveirense,Benfica B,2-2,Final
8,08/10/2022,09:30,Vilafranquense,Penafiel,0-1,Final
8,08/10/2022,14:30,Torreense,Estrela,1-0,Final
8,09/10/2022,05:00,SC Covilha,Academico Viseu,2-3,Final
8,09/10/2022,08:00,Moreirense,Nacional,3-1,Final
8,09/10/2022,09:30,Mafra,Tondela,1-1,Final
8,10/10/2022,12:00,Trofense,Feirense,0-3,Final
9,15/10/2022,12:00,Estrela,SC Covilha,2-1,Final
9,18/10/2022,12:00,Benfica B,Mafra,5-1,Final
9,18/10/2022,12:00,Torreense,Belenenses,0-1,Final
9,18/10/2022,14:30,Feirense,Moreirense,1-2,Final
9,19/10/2022,09:30,Academico Viseu,Leixoes,2-2,Final
9,19/10/2022,09:30,FC Porto B,Penafiel,0-0,Final
9,19/10/2022,12:00,Nacional,Vilafranquense,1-1,Final
9,19/10/2022,14:30,Tondela,Oliveirense,1-3,Final
10,22/10/2022,05:00,SC Covilha,Torreense,0-3,Final
10,22/10/2022,14:30,Belenenses,Benfica B,0-2,Final
10,23/10/2022,05:00,Trofense,FC Porto B,0-3,Final
10,23/10/2022,08:00,Oliveirense,Nacional,0-0,Final
10,23/10/2022,08:00,Penafiel,Feirense,0-1,Final
10,23/10/2022,09:30,Moreirense,Farense,3-2,Final
10,23/10/2022,09:30,Mafra,Estrela,2-2,Final
10,23/10/2022,12:00,Vilafranquense,Academico Viseu,1-3,Final
10,24/10/2022,12:00,Leixoes,Tondela,1-1,Final
11,29/10/2022,05:00,Torreense,Mafra,0-1,Final
11,29/10/2022,06:45,Nacional,Penafiel,1-1,Final
11,29/10/2022,06:45,FC Porto B,Feirense,0-0,Final
11,29/10/2022,08:00,Benfica B,Moreirense,2-1,Final
11,30/10/2022,06:00,Academico Viseu,Belenenses,2-1,Final
11,30/10/2022,09:00,Farense,Oliveirense,2-0,Final
11,30/10/2022,10:30,SC Covilha,Leixoes,1-2,Final
11,30/10/2022,13:00,Tondela,Trofense,0-0,Final
11,31/10/2022,13:00,Estrela,Vilafranquense,1-1,Final
12,04/11/2022,13:00,Mafra,SC Covilha,3-2,Final
12,05/11/2022,06:00,Moreirense,FC Porto B,3-2,Final
12,05/11/2022,09:00,Leixoes,Torreense,1-0,Final
12,05/11/2022,09:00,Vilafranquense,Tondela,1-1,Final
12,05/11/2022,10:30,Penafiel,Farense,0-2,Final
12,05/11/2022,13:00,Oliveirense,Academico Viseu,1-1,Final
12,06/11/2022,06:00,Feirense,Nacional,1-1,Final
12,06/11/2022,10:30,Belenenses,Estrela,1-3,Final
