Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado
25/02/2023,1,Deportivo Cuenca,LDU Quito,2-0
25/02/2023,1,Independiente del Valle,Mushuc Runa,3-1
25/02/2023,1,Guayaquil City,Cumbayá,1-1
26/02/2023,1,Gualaceo SC,Barcelona,2-1
26/02/2023,1,Técnico Universitario,Universidad Católica,4-1
26/02/2023,1,Aucas,El Nacional,0-2
27/02/2023,1,Emelec,Libertad de Loja,2-0
28/02/2023,1,Delfín SC,Orense SC,1-1
04/03/2023,2,Libertad de Loja,Deportivo Cuenca,3-1
04/03/2023,2,El Nacional,Técnico Universitario,3-2
04/03/2023,2,LDU Quito,Aucas,1-1
05/03/2023,2,Barcelona,Delfín SC,5-0
05/03/2023,2,Mushuc Runa,Gualaceo SC,2-1
05/03/2023,2,Universidad Católica,Guayaquil City,3-0
06/03/2023,2,Orense SC,Emelec,2-1
07/03/2023,2,Cumbayá,Independiente del Valle,1-0
18/03/2023,3,Gualaceo SC,Orense SC,2-1
18/03/2023,3,Delfín SC,Libertad de Loja,3-2
18/03/2023,3,Guayaquil City,Mushuc Runa,4-1
19/03/2023,3,Independiente del Valle,Barcelona,1-0
19/03/2023,3,Aucas,Universidad Católica,4-1
19/03/2023,3,El Nacional,LDU Quito,0-2
20/03/2023,3,Emelec,Técnico Universitario,1-0
21/03/2023,3,Deportivo Cuenca,Cumbayá,1-0
01/04/2023,4,Universidad Católica,Independiente del Valle,2-3
01/04/2023,4,LDU Quito,Gualaceo SC,6-1
01/04/2023,4,Libertad de Loja,Aucas,2-2
01/04/2023,4,Barcelona,Mushuc Runa,1-0
02/04/2023,4,Delfín SC,Emelec,3-2
02/04/2023,4,Técnico Universitario,Deportivo Cuenca,3-0
02/04/2023,4,Cumbayá,El Nacional,2-0
03/04/2023,4,Orense SC,Guayaquil City,3-2
08/04/2023,5,Orense SC,Deportivo Cuenca,2-0
08/04/2023,5,Gualaceo SC,Técnico Universitario,1-1
08/04/2023,5,El Nacional,Universidad Católica,1-2
09/04/2023,5,Independiente del Valle,Delfín SC,3-0
09/04/2023,5,Mushuc Runa,Libertad de Loja,2-1
09/04/2023,5,Guayaquil City,LDU Quito,1-2
10/04/2023,5,Aucas,Emelec,2-1
11/04/2023,5,Barcelona,Cumbayá,4-1
15/04/2023,6,Libertad de Loja,Independiente del Valle,0-0
15/04/2023,6,Técnico Universitario,Aucas,0-1
15/04/2023,6,Deportivo Cuenca,Guayaquil City,4-1
16/04/2023,6,LDU Quito,Barcelona,0-1
16/04/2023,6,Cumbayá,Gualaceo SC,1-0
16/04/2023,6,Delfín SC,Mushuc Runa,3-0
17/04/2023,6,Emelec,El Nacional,1-2
18/04/2023,6,Universidad Católica,Orense SC,1-1
22/04/2023,7,Guayaquil City,Delfín SC,2-1
22/04/2023,7,Gualaceo SC,Universidad Católica,1-0
22/04/2023,7,Independiente del Valle,Técnico Universitario,1-0
23/04/2023,7,Orense SC,LDU Quito,2-1
23/04/2023,7,El Nacional,Libertad de Loja,4-2
23/04/2023,7,Barcelona,Deportivo Cuenca,2-1
24/04/2023,7,Mushuc Runa,Emelec,0-0
25/04/2023,7,Aucas,Cumbayá,2-1
29/04/2023,8,Aucas,Guayaquil City,1-0
29/04/2023,8,Emelec,Independiente del Valle,2-3
29/04/2023,8,Deportivo Cuenca,Gualaceo SC,1-2
29/04/2023,8,Universidad Católica,LDU Quito,0-4
30/04/2023,8,Técnico Universitario,Barcelona,2-2
30/04/2023,8,Cumbayá,Mushuc Runa,1-1
30/04/2023,8,Libertad de Loja,Orense SC,0-0
01/05/2023,8,Delfín SC,El Nacional,2-0
06/05/2023,9,Orense SC,Técnico Universitario,2-1
06/05/2023,9,Universidad Católica,Deportivo Cuenca,1-0
06/05/2023,9,Guayaquil City,Libertad de Loja,1-1
07/05/2023,9,Gualaceo SC,Independiente del Valle,1-2
07/05/2023,9,Mushuc Runa,El Nacional,0-1
07/05/2023,9,Cumbayá,Emelec,0-0
08/05/2023,9,Barcelona,Aucas,5-1
09/05/2023,9,LDU Quito,Delfín SC,1-1
13/05/2023,10,Deportivo Cuenca,Mushuc Runa,3-0
13/05/2023,10,El Nacional,Orense SC,3-1
13/05/2023,10,Aucas,Gualaceo SC,1-0
14/05/2023,10,Libertad de Loja,Barcelona,2-2
14/05/2023,10,Delfín SC,Universidad Católica,0-0
14/05/2023,10,Independiente del Valle,Guayaquil City,4-0
15/05/2023,10,Emelec,LDU Quito,1-1
16/05/2023,10,Técnico Universitario,Cumbayá,0-0
20/05/2023,11,LDU Quito,Técnico Universitario,2-1
20/05/2023,11,Barcelona,Orense SC,2-0
20/05/2023,11,Mushuc Runa,Aucas,0-0
20/05/2023,11,Deportivo Cuenca,Independiente del Valle,1-2
21/05/2023,11,Universidad Católica,Emelec,3-2
21/05/2023,11,Gualaceo SC,Libertad de Loja,1-1
21/05/2023,11,Cumbayá,Delfín SC,0-1
22/05/2023,11,Guayaquil City,El Nacional,3-1
27/05/2023,12,Libertad de Loja,Universidad Católica,2-2
27/05/2023,12,Técnico Universitario,Mushuc Runa,1-0
27/05/2023,12,Orense SC,Cumbayá,1-0
28/05/2023,12,Delfín SC,Gualaceo SC,1-0
28/05/2023,12,Aucas,Deportivo Cuenca,0-2
28/05/2023,12,Independiente del Valle,LDU Quito,2-3
29/05/2023,12,El Nacional,Barcelona,4-1
30/05/2023,12,Emelec,Guayaquil City,0-0
03/06/2023,13,Independiente del Valle,Aucas,2-0
03/06/2023,13,LDU Quito,Libertad de Loja,4-2
